Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Instagram_Handle,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Memoire_Du_Cyclisme_Cyclist_Id,Biography,Nationality,Twitter_Handle,Birthplace,Uci_Rider_Id,Languages,Weight_Kg,Birth_Date,Olympedia_People_Id,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm,Freebase_Id
0,13,49272.0,17881.0,13,10,13864.0,140294.0,13,55349.0,9,5,10,5,76092.0,0,56.0,5,,13,38092.0,4863.0,6,169.0,8
0,5,68529.0,24255.0,4,5,29548.0,181748.0,4,,6,1,2,8,112351.0,2,53.0,13,142858.0,3,105237.0,37378.0,3,173.0,9
0,14,26755.0,13635.0,5,0,,140629.0,5,16710.0,7,1,9,11,23382.0,2,62.0,0,107998.0,4,18419.0,1151.0,6,172.0,2
0,2,,22906.0,2,3,,179072.0,2,,5,1,1,1,91626.0,2,71.0,11,,1,92937.0,22272.0,4,190.0,9
0,8,62142.0,22703.0,11,9,5158.0,164943.0,11,,5,1,8,6,88833.0,2,72.0,10,,10,77956.0,20448.0,6,177.0,9
0,11,,25029.0,14,11,,196900.0,14,,0,7,9,4,88623.0,3,66.0,12,,14,91470.0,52660.0,4,178.0,9
0,0,7764.0,1237.0,3,4,41367.0,140800.0,3,6404.0,8,4,12,7,29164.0,1,70.0,1,120395.0,2,10911.0,706.0,5,183.0,3
0,3,41075.0,10536.0,0,1,8232.0,140489.0,0,42346.0,6,1,0,10,60455.0,2,68.0,2,,0,46549.0,948.0,5,183.0,5
0,10,,26962.0,1,2,,194248.0,1,,6,1,11,2,149163.0,2,80.0,14,,11,116298.0,45620.0,1,190.0,9
0,12,39842.0,12843.0,10,8,1311517.0,140292.0,10,52504.0,2,0,7,12,67388.0,4,58.0,4,141955.0,9,57418.0,2276.0,0,166.0,7
0,4,56664.0,20678.0,12,0,20194.0,132382.0,12,,1,6,13,3,72234.0,1,73.0,9,134003.0,12,66001.0,,7,1.81,4
0,7,43388.0,14319.0,9,6,67673.0,140293.0,9,54517.0,10,5,6,9,68367.0,0,63.0,3,,8,58588.0,2278.0,6,173.0,6
0,1,47885.0,18123.0,7,12,21399.0,139801.0,7,55661.0,3,2,4,14,68832.0,3,71.0,6,1303133.0,6,58401.0,6309.0,6,179.0,0
0,6,60237.0,21439.0,6,7,16255.0,137850.0,6,,6,1,3,0,88951.0,2,69.0,8,,5,92418.0,22268.0,2,184.0,9
0,9,41892.0,19165.0,8,0,16935.0,137797.0,8,,4,3,5,13,66315.0,3,73.0,7,,7,43238.0,11313.0,2,184.0,1
