Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Instagram_Handle,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Memoire_Du_Cyclisme_Cyclist_Id,Biography,Nationality,Twitter_Handle,Birthplace,Uci_Rider_Id,Languages,Weight_Kg,Birth_Date,Olympedia_People_Id,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm,Freebase_Id
0,13,39842.0,12843.0,10,9,1311517.0,140292.0,10,52504.0,2,0,2,11,67388.0,6,58.0,2,141955.0,10,57418.0,2276.0,0,166.0,5
0,3,69634.0,26526.0,13,10,5000.0,194619.0,13,,10,5,6,4,149727.0,5,66.0,12,146565.0,13,115790.0,45992.0,4,176.0,7
0,12,,26492.0,5,0,,194916.0,5,,9,4,3,0,106114.0,4,,10,,5,117196.0,,5,,7
0,5,69983.0,27153.0,1,3,,208878.0,1,,4,1,3,8,98323.0,2,,11,,1,126230.0,51244.0,5,180.0,7
0,8,51602.0,20770.0,7,6,,138672.0,7,63758.0,3,3,10,12,86539.0,4,60.0,6,,7,81864.0,18564.0,7,178.0,7
0,2,16289.0,5.0,0,2,470645.0,140924.0,0,19443.0,11,6,8,6,14575.0,4,61.0,0,103634.0,0,7005.0,38.0,6,177.0,3
1,0,49682.0,17893.0,12,0,39580.0,134456.0,12,58541.0,0,7,4,2,553301.0,1,58.0,4,143135.0,12,65130.0,6242.0,6,172.0,6
0,11,,,3,5,,194640.0,3,,8,2,3,5,149698.0,3,,13,,3,144344.0,46012.0,5,188.0,7
0,10,43388.0,14319.0,9,7,67673.0,140293.0,9,54517.0,12,6,1,7,68367.0,0,63.0,1,,9,58588.0,2278.0,7,173.0,4
0,6,65688.0,24926.0,2,4,465450.0,198937.0,2,,1,0,0,13,95844.0,6,60.0,9,,2,100412.0,58275.0,1,175.0,7
0,1,46381.0,18610.0,6,1,77168.0,137427.0,6,56596.0,5,1,7,10,71557.0,2,62.0,3,133837.0,6,63999.0,12474.0,2,173.0,0
0,9,61866.0,23334.0,8,8,160840.0,185156.0,8,,1,0,5,9,97634.0,6,65.0,7,133265.0,8,100717.0,35077.0,3,170.0,2
0,4,,22909.0,11,0,,163164.0,11,,7,1,3,1,89412.0,2,,8,,11,84023.0,20105.0,5,,7
0,7,52629.0,19903.0,4,0,11686.0,138911.0,4,59978.0,6,1,9,3,75167.0,2,76.0,5,,4,67145.0,12481.0,5,179.0,1
