SportType,HostCountry,PreviousEvent,EventStages,EventDescription,OfficialWebsite,EventClassification,NotableParticipant,EventName,EditionNumber,NextEvent,CommonsCategory,MainCategory,EventImage
1,1,8,13,6,4,1,0,8,104.0,8,6,7,6
1,1,2,4,1,3,2,0,2,101.0,2,5,2,5
1,2,1,3,0,10,1,3,1,97.0,1,1,1,0
1,3,9,10,7,6,2,4,9,13.0,9,2,8,2
1,1,14,16,3,12,1,1,14,106.0,14,8,13,7
1,3,4,5,7,9,2,4,4,5.0,4,2,3,2
1,3,9,10,7,6,2,4,9,13.0,9,2,8,2
1,3,16,17,7,0,2,4,16,5.0,16,2,17,2
1,3,6,8,7,7,2,4,6,12.0,6,2,5,2
1,1,12,15,2,13,1,0,12,105.0,12,7,11,4
1,3,11,12,5,0,2,4,11,7.0,11,2,10,2
1,2,1,3,0,10,1,3,1,97.0,1,1,1,0
1,1,12,15,2,13,1,0,12,105.0,12,7,11,4
1,3,17,17,7,0,2,4,17,6.0,17,2,17,2
1,1,20,0,10,12,0,4,20,,20,3,15,9
1,3,10,11,7,8,2,4,10,13.0,10,2,9,2
1,4,5,7,8,1,1,0,5,70.0,5,10,4,1
0,0,21,18,4,0,2,5,22,,21,0,14,2
1,3,15,17,7,0,2,4,15,4.0,15,2,17,2
1,3,15,17,7,0,2,4,15,4.0,15,2,17,2
1,4,20,1,9,11,0,4,21,,20,9,16,3
1,3,13,14,5,0,2,6,13,8.0,13,2,12,2
1,3,17,17,7,0,2,4,17,6.0,17,2,17,2
1,1,0,2,8,2,2,2,0,92.0,0,4,0,8
1,3,16,17,7,0,2,4,16,5.0,16,2,17,2
1,3,19,17,7,0,2,4,19,8.0,19,2,17,2
1,3,3,6,7,5,2,4,3,11.0,3,2,17,2
1,1,14,16,3,12,1,1,14,106.0,14,8,13,7
1,3,18,17,7,0,2,4,18,7.0,18,2,17,2
1,3,10,11,7,8,2,4,10,13.0,10,2,9,2
1,3,19,17,7,0,2,4,19,8.0,19,2,17,2
1,3,15,17,7,0,2,4,15,4.0,15,2,17,2
1,4,5,7,8,1,1,0,5,70.0,5,10,4,1
1,3,15,17,7,0,2,4,15,4.0,15,2,17,2
1,3,7,9,5,0,2,4,7,6.0,7,2,6,2
0,0,21,18,4,0,2,5,22,,21,0,14,2
1,3,7,9,5,0,2,4,7,6.0,7,2,6,2
