GENDER,SIBLING_NAME,BIRTH_DATE,DEATH_DATE,FULL_NAME,GOOGLE_KNOWLEDGE_GRAPH_ID,MOTHER_NAME,POSTHUMOUS_TITLE
1,0,31,7,31,17,17,75
0,0,79,44,13,53,17,29
1,0,69,53,38,31,15,3
1,0,28,27,33,37,27,59
0,0,42,75,76,62,10,79
0,0,46,80,71,42,3,48
0,0,84,74,75,41,15,39
1,0,41,82,47,10,2,64
1,0,67,17,17,47,9,56
1,0,0,86,1,13,15,48
1,2,55,18,27,34,3,24
1,0,73,64,58,39,0,4
1,0,45,34,41,22,15,71
1,0,56,36,30,76,8,78
1,0,59,43,43,2,13,26
0,0,70,79,11,51,15,48
0,0,39,77,77,81,7,36
0,0,6,2,83,71,14,66
0,0,14,56,62,73,17,31
1,0,17,61,46,27,23,15
1,0,12,24,42,6,6,74
1,0,81,76,16,18,10,69
0,0,18,12,84,57,1,60
1,0,80,52,28,19,15,72
0,0,43,46,82,74,9,44
0,0,9,63,15,83,6,32
1,0,51,41,52,35,9,17
0,0,66,28,8,85,0,61
0,0,54,25,6,69,25,46
1,0,48,15,20,33,9,68
0,0,4,0,60,26,14,0
0,0,11,67,9,49,1,42
0,0,71,29,64,54,13,70
1,0,40,13,49,4,1,23
1,1,24,39,48,84,22,1
0,0,33,65,72,52,8,48
1,0,49,49,36,8,3,11
1,0,63,78,45,38,18,48
0,0,75,85,61,63,17,48
1,0,37,47,22,20,11,9
1,1,15,72,44,77,4,65
0,0,7,4,66,1,5,25
1,0,2,45,32,21,22,73
0,0,32,6,73,44,4,22
0,0,29,66,85,80,7,18
0,0,5,35,12,59,14,54
0,0,58,15,63,68,17,55
0,0,32,21,69,40,3,47
1,0,38,31,26,25,5,76
1,0,22,23,53,28,15,50
0,0,52,9,4,43,20,48
1,0,35,86,23,7,15,48
0,0,66,58,65,60,13,40
1,0,74,59,24,75,26,5
0,0,19,73,87,45,11,41
0,0,25,55,5,85,24,37
1,0,44,71,50,30,12,14
1,0,53,37,35,11,13,20
1,0,83,20,34,32,17,48
0,0,64,22,80,65,9,45
1,0,47,54,21,14,26,12
0,0,65,51,70,85,17,43
1,0,78,48,37,12,9,8
0,0,20,38,86,70,5,49
1,0,62,69,57,24,8,6
1,0,60,70,55,29,26,2
0,0,72,16,0,66,9,62
1,0,3,1,25,15,14,52
1,0,61,68,54,5,14,10
0,0,57,19,68,67,9,51
1,0,13,42,40,78,7,63
1,0,27,10,19,23,11,77
1,0,23,5,51,16,2,19
1,1,16,14,17,79,2,16
1,0,36,30,29,3,10,27
0,0,82,83,78,64,0,33
0,0,34,26,2,72,21,58
0,0,42,8,81,61,17,57
0,0,68,84,7,85,17,38
0,0,30,81,67,48,15,48
0,0,50,62,14,46,26,34
1,0,8,50,39,0,11,7
1,0,76,60,18,9,10,13
0,0,85,33,74,50,15,30
0,0,10,32,79,56,19,53
1,0,1,57,59,82,16,67
0,0,77,40,10,55,13,35
1,0,21,11,56,36,15,28
0,0,26,3,3,58,26,21
