GENDER,SIBLING_NAME,BIRTH_DATE,DEATH_DATE,FULL_NAME,GOOGLE_KNOWLEDGE_GRAPH_ID,MOTHER_NAME,POSTHUMOUS_TITLE
1,0,30,6,30,17,17,75
0,0,79,44,12,54,17,28
1,0,69,53,37,31,15,3
1,0,27,26,32,37,27,59
0,0,41,75,77,63,10,79
0,0,46,80,72,42,3,47
0,0,84,74,76,41,15,38
1,0,40,82,46,10,2,64
1,0,67,16,16,48,9,55
1,0,0,86,1,13,15,47
1,2,55,17,26,34,3,23
1,0,73,64,57,39,0,4
1,0,45,33,40,22,15,71
1,0,56,36,29,76,8,78
1,0,59,43,42,2,13,25
0,0,70,79,10,52,15,47
0,0,38,77,78,81,7,35
0,0,9,31,80,57,19,52
0,0,14,56,62,73,17,30
1,0,17,61,45,27,23,15
1,0,11,23,41,6,6,74
1,0,81,76,15,18,10,69
0,0,20,38,86,71,5,48
1,0,80,52,27,19,15,72
0,0,42,46,83,74,9,43
0,0,8,63,14,83,6,31
1,0,51,41,51,35,9,17
0,0,66,27,7,85,0,61
0,0,54,24,5,70,25,45
1,0,48,14,19,33,9,68
0,0,4,0,59,26,14,0
0,0,10,67,8,50,1,41
0,0,71,28,65,55,13,70
1,0,39,12,48,4,1,22
1,1,24,39,47,84,22,1
0,0,32,65,73,53,8,47
1,0,49,49,35,8,3,11
1,0,63,78,44,38,18,47
0,0,75,85,60,64,17,47
1,0,36,47,21,20,11,9
1,1,15,72,43,77,4,65
0,0,6,3,67,1,5,24
1,0,2,45,31,21,22,73
0,0,33,25,2,72,21,58
0,0,28,66,85,80,7,18
0,0,5,35,11,60,14,53
0,0,58,14,63,69,17,54
0,0,31,20,70,40,3,46
1,0,37,30,25,25,5,76
1,0,22,22,52,28,15,49
0,0,52,8,3,43,20,47
1,0,34,86,22,7,15,47
0,0,66,58,66,61,13,39
1,0,74,59,23,75,26,5
0,0,19,73,87,46,11,40
0,0,25,55,4,85,24,36
1,0,44,71,49,30,12,14
1,0,53,37,34,11,13,20
1,0,83,19,33,32,17,47
0,0,64,21,81,66,9,44
1,0,47,54,20,14,26,12
0,0,65,51,71,85,17,42
1,0,78,48,36,12,9,8
0,0,12,2,61,45,2,66
1,0,62,69,56,24,8,6
1,0,60,70,54,29,26,2
0,0,72,15,0,67,9,62
1,0,3,1,24,15,14,51
1,0,61,68,53,5,14,10
0,0,57,18,69,68,9,50
1,0,13,42,39,78,7,63
1,0,26,9,18,23,11,77
1,0,23,4,50,16,2,19
1,1,16,13,16,79,2,16
1,0,35,29,28,3,10,26
0,0,82,83,79,65,0,32
0,0,43,34,64,58,25,56
0,0,41,7,82,62,17,57
0,0,68,84,6,85,17,37
0,0,29,81,68,49,15,47
0,0,50,62,13,47,26,33
1,0,7,50,38,0,11,7
1,0,76,60,17,9,10,13
0,0,85,32,75,51,15,29
0,0,18,11,84,59,1,60
1,0,1,57,58,82,16,67
0,0,77,40,9,56,13,34
1,0,21,10,55,36,15,27
0,0,31,5,74,44,4,21
