GeneType,OrthologId,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition,StrandOrientation
0,10,407549,142,15,406749,1
0,55,375897,27,20,375253,0
0,51,316903,135,4,315689,0
0,79,190939,254,5,189335,0
0,26,2173429,195,19,2172779,1
0,101,1188618,206,15,1187623,0
1,74,13960,17,28,13361,1
1,5,432941,216,15,432381,1
0,10,992655,224,15,991897,1
0,55,1745136,203,20,1744339,0
0,75,462427,183,16,461594,0
0,65,1049347,137,15,1048619,0
0,60,25566,239,81,24859,1
0,75,313057,151,16,312338,0
0,95,4472,229,77,3321,0
0,10,1057942,136,15,1056725,0
1,88,15410,240,43,14340,1
0,49,265338,260,5,264103,0
0,3,1047,2,21,259,0
0,82,1222996,114,20,1222181,1
0,49,1588977,128,18,1588012,0
0,73,12897,8,25,11857,1
0,10,997273,225,15,996476,1
0,50,1062126,210,17,1060936,0
0,91,363876,163,13,363610,1
0,7,1075329,5,15,1075195,1
0,51,261357,61,4,260583,0
0,90,33929,176,2,32910,1
0,34,1564778,76,20,1564014,1
0,10,724125,98,15,723133,1
0,79,231201,259,5,230431,0
1,9,445921,22,4,445157,0
1,104,5205,105,58,4201,1
1,97,13702,29,45,12743,0
0,29,227094,23,13,226831,1
0,55,2202990,67,20,2202343,1
0,84,77977,43,3,77144,0
0,34,1905082,71,20,1904309,1
0,62,2162466,68,20,2161639,0
0,10,537352,91,15,536177,1
0,0,11189,50,50,10047,1
0,79,603523,101,5,602549,0
1,44,1790,11,26,1116,1
1,67,884301,143,15,883339,1
0,103,1639752,129,18,1638709,0
0,98,153559,247,82,152606,0
0,0,26139,30,46,25351,1
0,15,1604402,198,19,1603254,0
0,99,750678,159,19,750031,1
0,7,277578,85,15,276769,0
1,13,1592913,77,20,1591840,1
0,37,365512,38,4,364310,1
1,16,25842,212,75,24370,0
0,87,1675,227,39,854,1
0,7,375903,37,4,374896,1
0,53,1153229,252,19,1151997,0
0,7,712890,95,15,712129,1
0,65,492438,215,15,491209,0
0,10,297062,82,15,295851,0
0,21,826530,16,19,825718,1
0,55,1474427,53,20,1473666,0
0,65,387281,14,15,386064,0
1,86,779639,99,15,778437,0
0,65,822069,220,15,821287,0
0,97,38006,211,75,37197,0
1,5,290434,83,15,289571,0
1,8,497406,36,4,496306,0
0,48,499594,262,5,498617,1
1,47,41345,81,32,40839,0
0,10,285745,84,15,284939,0
1,33,2521,117,62,1283,1
1,13,1131697,178,20,1130438,1
0,96,301271,153,16,300510,0
0,100,987733,121,20,987176,1
0,57,599280,217,15,598465,1
0,25,8024,103,56,6789,1
0,82,1218003,115,20,1217665,0
0,25,18090,104,57,17131,0
0,103,1221966,188,18,1220947,0
1,6,2640,180,37,1327,0
1,82,1247221,189,18,1246121,0
0,80,3769,3,22,3023,1
0,26,358168,109,19,357524,0
0,25,614,51,50,222,1
0,75,400728,186,16,399566,0
0,79,510558,263,5,509581,0
0,25,13082,120,64,12327,1
0,100,1241990,112,20,1241022,1
0,53,335,13,27,3,0
0,7,1022329,226,15,1021526,1
0,76,1227756,113,20,1227118,1
1,5,1152958,207,15,1151783,1
1,77,41773,173,72,40529,1
0,86,5309,231,79,4047,1
0,25,1860,168,70,1114,1
0,26,2187940,194,19,2187290,1
0,55,1679298,75,20,1678525,0
0,103,1648331,130,18,1647294,0
