COLOGNE_PHONETICS_CODE,CAVERPHONE_CODE,COMMONS_CATEGORY,DISTINCT_FROM,SOUNDEX_CODE
645.0,43,61,54,45
67.0,48,61,55,51
174.0,58,61,58,10
4758.0,30,16,15,17
7.0,59,77,74,59
458.0,30,32,31,29
7172.0,64,74,71,62
68.0,83,40,37,39
27.0,16,0,58,2
674.0,42,54,50,48
26.0,75,85,81,73
478237.0,33,17,16,16
4758.0,30,16,15,17
446.0,28,30,29,28
46.0,78,41,38,36
37688.0,25,27,26,24
47826.0,32,61,58,16
665.0,44,52,48,47
674.0,42,54,50,48
31.0,20,24,23,21
7172.0,64,74,71,62
568.0,39,51,47,42
17672.0,51,11,10,14
7172.0,64,74,71,62
626.0,10,7,6,6
782.0,14,64,62,55
37688.0,25,27,26,24
626.0,10,7,6,6
4823.0,35,35,33,26
478237.0,33,17,16,16
823.0,69,82,79,67
436256.0,38,36,58,31
865.0,68,78,75,70
452.0,37,48,58,41
83.0,85,46,43,34
8264.0,71,80,77,69
482.0,1,9,8,0
77.0,65,76,73,66
127.0,56,67,65,57
27.0,16,0,58,2
548627.0,5,4,3,4
351.0,18,68,66,58
31.0,20,24,23,21
83.0,85,46,43,34
81.0,15,22,21,20
53.0,3,62,60,53
71.0,63,73,70,60
351.0,18,68,66,58
77.0,65,76,73,66
5172.0,13,2,1,3
26.0,75,85,81,73
26.0,74,84,80,73
457.0,29,18,17,15
874.0,67,79,76,71
474.0,27,33,32,32
747.0,61,75,72,65
127.0,57,66,64,57
47826.0,34,19,18,16
5174.0,12,1,0,3
37688.0,24,28,27,24
865.0,68,78,75,70
537.0,4,61,61,54
474.0,27,33,32,32
6.0,82,39,36,38
71.0,63,73,70,60
81.0,15,22,21,20
548627.0,5,4,3,4
74172.0,62,71,68,64
5627.0,7,3,2,4
452.0,37,48,58,41
22.0,76,83,58,72
46.0,31,31,30,30
548627.0,6,5,4,4
83.0,85,46,43,34
6.0,82,43,40,38
24.0,73,21,20,19
676.0,45,57,58,49
68.0,83,40,37,39
62.0,46,56,52,46
1725.0,54,14,13,12
823.0,69,82,79,67
1426.0,50,13,12,9
62.0,46,55,51,46
37643527.0,22,61,58,24
351.0,18,25,24,23
67.0,48,61,55,51
64.0,47,60,57,50
82.0,86,45,42,35
46.0,79,42,39,36
4823.0,35,35,33,26
64.0,47,59,56,50
4826.0,36,29,28,27
548627.0,5,4,3,4
6.0,81,38,35,38
6.0,82,39,36,38
78.0,66,72,69,63
5627.0,7,3,2,4
56.0,80,47,44,37
232.0,72,20,19,18
64.0,47,59,56,50
316.0,21,23,22,22
645.0,42,58,53,45
78.0,66,72,69,63
56.0,80,47,44,37
26.0,75,85,81,73
1725.0,54,14,13,12
568.0,39,51,47,42
548627.0,5,4,3,4
36862.0,19,86,82,75
356.0,77,88,84,76
626.0,84,44,41,40
3768.0,23,26,25,24
678.0,42,53,49,48
8236.0,70,81,78,68
15.0,49,12,11,11
64.0,47,59,56,50
176.0,53,15,14,13
4372.0,26,34,58,25
6278.0,11,6,5,7
5.0,2,63,59,52
74172.0,62,71,68,64
17672.0,51,11,10,14
727.0,16,8,7,8
115.0,52,65,63,56
645.0,42,58,53,45
645.0,8,89,85,5
127.0,55,69,58,57
4823.0,35,35,33,26
735.0,60,70,67,61
578.0,41,49,45,44
83.0,85,46,43,34
17672.0,51,11,10,14
5672.0,40,50,46,43
6.0,82,39,36,38
127.0,57,66,64,57
485.0,0,10,9,1
26.0,74,84,80,73
35.0,17,87,83,74
68.0,9,37,34,33
