TeamDescription,ProCyclingStatsTeamId,FreebaseId,TeamName,UciTeamCode,CommonsCategory,TeamImage,OfficialTeamName
8,2171.0,7,22,22,16,17,21
17,1366.0,22,21,19,18,19,26
17,,23,23,19,15,15,23
11,1420.0,23,34,28,25,22,33
17,3588.0,23,14,19,15,15,11
17,3588.0,23,14,19,15,15,11
17,2355.0,23,33,19,24,13,32
0,1207.0,18,27,11,14,20,9
15,,23,8,7,5,15,5
5,1383.0,6,26,8,6,6,6
4,,23,30,19,15,15,28
24,1258.0,15,18,17,23,12,16
13,1235.0,2,15,15,17,11,13
17,1330.0,10,29,19,19,2,15
13,1235.0,2,15,15,17,11,13
3,,23,25,23,15,15,27
17,1175.0,9,31,4,21,21,4
6,1607.0,3,35,27,22,15,29
18,1333.0,20,19,21,13,15,22
2,,23,32,25,15,15,31
0,1207.0,18,27,11,14,20,9
22,1109.0,16,5,3,4,8,34
23,1458.0,1,13,24,10,15,30
17,1424.0,21,20,26,15,3,25
4,,23,30,19,15,15,28
17,1969.0,23,2,0,1,15,2
16,1515.0,0,3,2,2,15,3
1,1490.0,14,16,29,27,1,35
17,2736.0,5,10,10,8,15,18
17,,4,1,1,26,16,1
10,2325.0,11,7,18,12,14,17
12,,23,9,9,20,23,7
17,2355.0,23,33,19,24,13,32
21,1187.0,8,12,12,9,10,10
17,2355.0,23,33,19,24,13,32
2,,23,32,25,15,15,31
23,1458.0,1,13,24,10,15,30
2,,23,32,25,15,15,31
22,1109.0,16,5,3,4,8,34
0,1207.0,18,27,11,14,20,9
7,,23,28,14,15,0,12
17,1330.0,10,29,19,19,2,15
18,1333.0,20,19,21,13,15,22
5,1383.0,6,26,8,6,6,6
10,,23,6,6,7,7,8
17,1330.0,10,29,19,19,2,15
10,,23,6,6,7,7,8
17,1328.0,12,24,20,15,18,20
8,2171.0,7,22,22,16,17,21
20,6251.0,23,36,30,15,15,36
9,2925.0,19,11,13,0,4,24
4,,23,30,19,15,15,28
14,,23,0,19,15,15,0
13,1235.0,2,15,15,17,11,13
15,,23,8,7,5,15,5
18,1333.0,20,19,21,13,15,22
17,,23,23,19,15,15,23
17,1328.0,12,24,20,15,18,20
17,1969.0,23,2,0,1,15,2
10,2325.0,11,7,18,12,14,17
17,1411.0,13,4,5,3,5,19
19,,17,17,16,11,9,14
17,3588.0,23,14,19,15,15,11
17,1969.0,23,2,0,1,15,2
17,,23,23,19,15,15,23
17,1328.0,12,24,20,15,18,20
7,,23,28,14,15,0,12
19,,17,17,16,11,9,14
14,,23,0,19,15,15,0
17,1366.0,22,21,19,18,19,26
