TeamDescription,ProCyclingStatsTeamId,FreebaseId,TeamName,UciTeamCode,CommonsCategory,TeamImage,OfficialTeamName
17,2998.0,25,29,32,28,26,10
17,1253.0,24,43,32,33,29,25
17,1328.0,22,36,34,18,25,31
4,1383.0,7,38,13,8,9,13
19,1333.0,33,27,35,15,22,35
17,1141.0,31,12,10,9,10,11
4,1383.0,7,38,13,8,9,13
21,4831.0,35,16,17,10,19,27
25,2702.0,1,35,39,22,22,37
17,1328.0,22,36,34,18,25,31
9,3345.0,30,45,29,4,2,46
17,,35,5,4,3,22,3
15,4961.0,35,22,20,18,22,17
17,1328.0,22,36,34,18,25,31
6,,35,19,8,18,0,15
22,1458.0,0,20,43,12,22,47
8,2925.0,29,17,19,2,5,38
20,2214.0,35,40,12,18,22,48
17,1253.0,24,43,32,33,29,25
5,3831.0,35,14,14,18,23,14
30,1258.0,27,26,26,32,18,26
25,3045.0,35,7,6,18,22,42
11,1103.0,12,10,7,6,22,4
8,2925.0,29,17,19,2,5,38
17,1330.0,21,42,32,27,4,23
17,1328.0,22,36,34,18,25,31
4,1383.0,7,38,13,8,9,13
17,1253.0,24,43,32,33,29,25
30,1258.0,27,26,26,32,18,26
5,,35,41,24,18,1,21
9,1181.0,17,46,23,34,21,18
13,2442.0,4,4,42,18,22,44
17,,16,49,22,13,16,20
17,,16,49,22,13,16,20
17,1328.0,22,36,34,18,25,31
28,2040.0,19,30,32,29,20,33
4,1383.0,7,38,13,8,9,13
15,,35,44,28,18,22,49
17,1122.0,26,32,31,17,22,7
16,,14,6,32,31,28,40
0,4000.0,10,15,16,7,12,43
6,,35,13,11,18,22,12
31,,9,0,15,23,22,8
25,,35,37,40,18,22,41
17,1328.0,22,36,34,18,25,31
0,4000.0,10,15,16,7,12,43
16,,14,6,32,31,28,40
5,3831.0,35,14,14,18,23,14
17,2998.0,25,29,32,28,26,10
27,1136.0,20,11,9,25,8,9
17,2111.0,35,28,41,18,11,5
2,1207.0,28,39,18,16,27,16
30,1258.0,27,26,26,32,18,26
20,2214.0,35,40,12,18,22,48
17,2111.0,35,28,41,18,11,5
24,1800.0,34,47,33,18,22,30
25,2702.0,1,35,39,22,22,37
22,1458.0,0,20,43,12,22,47
25,3045.0,35,7,6,18,22,42
17,,35,5,4,3,22,3
17,1423.0,18,24,21,26,15,39
11,1103.0,12,10,7,6,22,4
29,1264.0,6,25,27,14,22,24
13,2442.0,4,4,42,18,22,44
19,1333.0,33,27,35,15,22,35
27,1136.0,20,11,9,25,8,9
0,4000.0,10,15,16,7,12,43
17,1330.0,21,42,32,27,4,23
25,2702.0,1,35,39,22,22,37
23,1511.0,5,23,32,18,22,19
25,2702.0,1,35,39,22,22,37
17,2998.0,25,29,32,28,26,10
2,1207.0,28,39,18,16,27,16
26,6362.0,35,8,2,18,22,6
25,,35,37,40,18,22,41
14,1235.0,2,21,25,20,14,22
2,1207.0,28,39,18,16,27,16
7,2171.0,8,33,37,19,24,32
17,1423.0,18,24,21,26,15,39
17,2755.0,3,48,44,30,22,45
3,1100.0,15,2,3,0,3,2
17,1411.0,23,9,5,5,7,29
1,,35,31,30,18,22,28
12,1508.0,32,18,38,11,22,36
17,1411.0,23,9,5,5,7,29
5,3831.0,35,14,14,18,23,14
13,2442.0,4,4,42,18,22,44
1,,35,31,30,18,22,28
22,1458.0,0,20,43,12,22,47
18,,35,1,0,1,13,0
2,1207.0,28,39,18,16,27,16
10,3960.0,11,34,36,21,17,34
17,1375.0,13,3,1,24,6,1
17,1253.0,24,43,32,33,29,25
9,1181.0,17,46,23,34,21,18
11,1103.0,12,10,7,6,22,4
