Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Instagram_Username,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Twitter_Username,Birth_Place,Uci_Rider_Id,Native_Name,Weight_Kg,Birth_Date,Sports_Team,Last_Name,First_Name,Citizenship_Country,Google_Knowledge_Graph_Id,Cycling_Archives_Cyclist_Id,Languages_Spoken,First_Cycling_Rider_Id,Events_Participated,Height_Cm,Cycling_Sport,Cycling_Discipline,Sport_Country
1,5,65688.0,24926.0,3,2,465450.0,198937,2,1,14,95844,1,60.0,8,10,0,2,2,2,100412,6,58275,0,175.0,1,0,1
1,14,,27977.0,0,14,,198635,14,2,4,152373,6,,10,0,13,14,9,9,116701,4,56038,3,,1,0,5
1,6,54277.0,19548.0,4,3,2703.0,141131,3,6,13,110814,6,64.0,2,3,3,3,1,12,72903,4,9302,2,184.0,1,1,5
1,9,65227.0,26509.0,0,6,,194909,6,2,2,111440,3,57.0,11,2,4,6,9,5,99609,4,46163,2,173.0,1,1,8
1,2,69978.0,26420.0,1,0,,198040,0,2,0,500320,0,,9,13,6,0,3,8,70760,4,53723,3,177.0,1,0,5
1,1,,30595.0,7,11,,222307,10,2,12,159068,6,,14,5,7,10,8,10,152981,6,67846,3,189.0,1,0,5
1,12,49272.0,17881.0,9,12,13864.0,140294,11,3,5,76092,7,56.0,0,9,1,11,8,13,38092,0,4863,4,169.0,1,1,7
1,13,,22744.0,11,9,1543.0,132419,9,8,3,747569,5,68.0,4,4,11,9,0,3,70980,4,16576,4,180.0,1,0,0
1,11,84444.0,,10,10,,209865,12,2,6,266691,6,,12,7,2,12,10,11,140707,2,51252,3,182.0,1,0,9
0,10,48143.0,21971.0,8,7,205449.0,168754,7,7,8,79462,4,,5,1,14,7,6,13,64280,4,16672,3,184.0,0,1,4
1,7,69190.0,25740.0,6,5,,196424,5,5,7,112082,6,,7,14,12,5,3,4,115868,1,38195,3,175.0,1,1,2
1,8,,21163.0,0,8,,174487,8,2,11,87485,6,,1,8,5,8,8,1,84304,6,18241,4,185.0,1,1,5
1,3,62259.0,24110.0,2,1,1447.0,181212,1,0,1,250807,6,,6,6,9,1,4,7,94988,2,27301,3,184.0,1,1,5
1,0,69634.0,26526.0,12,13,5000.0,194619,13,4,9,149727,8,66.0,13,12,10,13,7,6,115790,5,45992,2,176.0,1,0,6
1,4,59981.0,22676.0,5,4,,170164,4,2,10,95753,2,69.0,3,11,8,4,5,0,81741,3,28781,1,182.0,1,1,3
