GENE_SUBCLASS,GENOMIC_END_POSITION,GENE_ID,GENE_DB_ID,ENCODED_PROTEIN,GENE_TYPE,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION
0,1786847,66,66,0,0,0,1785821,1
0,2175621,227,227,0,0,9,2174909,0
0,1951267,179,179,0,0,6,1950308,0
1,2005679,75,75,1,1,0,2004696,1
0,545737,18,18,0,0,0,544797,1
0,727451,27,27,0,0,0,726416,0
0,1771461,163,163,0,0,4,1770454,0
0,2196287,229,229,0,0,9,2195330,0
0,2659219,246,246,0,0,12,2658195,0
1,1528688,55,55,1,1,0,1527763,1
0,13907,142,142,0,0,2,12933,1
0,3185796,109,109,0,0,0,3184809,0
0,1211877,137,137,0,0,1,1210906,1
1,2741232,209,209,1,1,7,2740189,0
0,3350446,112,112,0,0,0,3349469,0
0,81446,173,173,0,0,6,80444,1
0,2236648,80,80,0,0,0,2235660,0
1,2958958,256,256,1,1,12,2958174,0
0,3374873,113,113,0,0,0,3373889,0
1,2126124,78,78,1,1,0,2125348,0
0,845231,33,33,0,0,0,844259,0
0,130190,234,234,0,0,10,129258,1
0,148899,264,264,0,0,13,147857,1
0,1314686,149,149,0,0,2,1313668,0
1,914773,35,35,1,1,0,913902,0
0,3087645,107,107,0,0,0,3086711,0
0,1317363,140,140,0,0,1,1316438,0
0,1775441,65,65,0,0,0,1774454,1
1,2604343,243,243,1,1,12,2603401,0
0,434763,14,14,0,0,0,433749,0
0,240684,6,6,0,0,0,239723,0
0,117913,233,233,0,0,10,116867,1
0,2700655,208,208,0,0,7,2699685,0
0,2708277,92,92,0,0,0,2707301,1
0,841681,32,32,0,0,0,840713,0
0,694956,25,25,0,0,0,693924,0
1,2960312,101,101,1,1,0,2959559,1
1,292637,159,159,1,1,4,291670,1
0,1701321,62,62,0,0,0,1700384,1
0,69437,172,172,0,0,6,68407,1
0,312759,8,8,0,0,0,311723,0
0,89815,220,220,0,0,9,88823,0
0,61311,231,231,0,0,10,60333,1
0,2269235,82,82,0,0,0,2268255,0
0,1782786,164,164,0,0,4,1781826,0
0,1123510,44,44,0,0,0,1122552,1
0,2579902,242,242,0,0,12,2578929,0
0,2987289,103,103,0,0,0,2986294,1
1,407514,12,12,1,1,0,406664,0
0,127076,191,191,0,0,7,126066,1
1,155111,217,217,1,1,8,154099,1
0,3591099,120,120,0,0,0,3590238,1
0,3943402,132,132,0,0,0,3942518,1
0,1925586,71,71,0,0,0,1924600,1
0,2751961,210,210,0,0,7,2751003,0
0,566514,19,19,0,0,0,565550,1
0,196073,194,194,0,0,7,195096,1
0,65837,260,260,0,0,13,64781,1
0,1253998,146,146,0,0,2,1253021,0
0,605384,20,20,0,0,0,604369,1
0,232090,195,195,0,0,7,231104,1
0,2664333,90,90,0,0,0,2663373,1
0,1989967,74,74,0,0,0,1988968,1
0,2663503,207,207,0,0,7,2662569,0
0,2811023,94,94,0,0,0,2810056,1
0,2825953,95,95,0,0,0,2825009,1
0,2885211,252,252,0,0,12,2884260,0
0,1962233,73,73,0,0,0,1961243,1
0,705383,26,26,0,0,0,704423,0
0,1036988,41,41,0,0,0,1036017,1
0,2950391,255,255,0,0,12,2949454,0
0,1951701,72,72,0,0,0,1950744,1
1,621314,22,22,1,1,0,620361,0
0,1234677,138,138,0,0,1,1233707,1
0,3554822,118,118,0,0,0,3554085,1
0,42295,171,171,0,0,6,41246,1
0,2580660,85,85,0,0,0,2579676,1
1,2687685,91,91,1,1,0,2686888,1
0,1276401,147,147,0,0,2,1275562,0
1,2923780,98,98,1,1,0,2922814,1
1,2218428,230,230,1,1,9,2217492,0
0,132449,263,263,0,0,13,131407,1
0,278997,158,158,0,0,4,278392,1
0,2093905,225,225,0,0,9,2092884,0
0,143681,151,151,0,0,3,142743,1
0,96817,221,221,0,0,9,95832,0
0,3675676,123,123,0,0,0,3674736,1
0,1043987,42,42,0,0,0,1043027,1
0,2631052,245,245,0,0,12,2630098,0
0,2642245,206,206,0,0,7,2641489,0
1,1789660,165,165,1,1,4,1788675,0
0,3178788,108,108,0,0,0,3177802,0
0,2363219,200,200,0,0,7,2362256,0
0,162872,192,192,0,0,7,161859,1
0,3244723,111,111,0,0,0,3243964,0
1,320709,199,199,1,1,7,319707,0
1,250517,237,237,1,1,10,249557,1
1,1894910,177,177,1,1,6,1894237,0
0,1725242,161,161,0,0,4,1724254,0
1,8035,152,152,1,1,4,7042,1
1,311627,160,160,1,1,4,310667,1
0,1287410,148,148,0,0,2,1286397,0
1,613465,21,21,1,1,0,612696,1
0,63052,3,3,0,0,0,62038,0
0,3192903,110,110,0,0,0,3191963,1
0,2083278,224,224,0,0,9,2082312,0
0,2922898,253,253,0,0,12,2921940,0
0,3411054,114,114,0,0,0,3410011,0
0,315605,267,267,0,0,13,314638,1
1,1302731,139,139,1,1,1,1301798,0
0,3615342,121,121,0,0,0,3614358,1
0,2137083,79,79,0,0,0,2136116,0
0,829945,31,31,0,0,0,828981,0
0,2310802,83,83,0,0,0,2309816,0
1,1661637,61,61,1,1,0,1660898,1
0,3070241,106,106,0,0,0,3069280,0
0,90623,189,189,0,0,7,89650,1
1,1975350,222,222,1,1,9,1974370,0
0,3781213,126,126,0,0,0,3780167,1
0,2000482,180,180,0,0,6,1999413,0
0,2410931,239,239,0,0,12,2409980,0
0,1227129,48,48,0,0,0,1226153,0
1,2191993,228,228,1,1,9,2191163,0
0,1896974,70,70,0,0,0,1895961,1
1,196537,176,176,1,1,6,195815,1
0,2569200,84,84,0,0,0,2568416,1
0,2037842,181,181,0,0,6,2036855,0
0,2012514,76,76,0,0,0,2011537,1
0,36053,153,153,0,0,4,35076,1
0,350270,10,10,0,0,0,349232,0
0,961008,37,37,0,0,0,960057,0
0,818515,30,30,0,0,0,817520,0
0,1819402,167,167,0,0,4,1818421,0
0,74070,136,136,0,0,1,73103,1
