Languages,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Nationality,Birthplace,Uci_Rider_Id,Weight_Kg,Birth_Date,Sports_Team,Olympedia_People_Id,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm,Sport_Country
1,6,47066.0,16881.0,4,41605.0,140633,4,1,10,59614.0,,4,3,,1,4,32178,2530.0,7,175.0,1
5,5,62573.0,23503.0,3,54522.0,181270,3,0,6,92264.0,63.0,8,9,141954.0,6,3,91205,27124.0,2,174.0,0
2,2,80654.0,,0,,202483,0,2,7,157221.0,60.0,10,7,,0,0,121401,65240.0,5,176.0,2
4,8,56041.0,20719.0,5,127549.0,174582,5,4,8,88889.0,65.0,2,8,135863.0,10,5,72449,18655.0,3,177.0,3
3,0,43386.0,14310.0,6,35954.0,140509,6,3,9,53804.0,62.0,1,6,135495.0,5,6,36343,3991.0,1,173.0,4
1,7,,,10,,217665,10,1,0,675098.0,,11,2,,7,10,151104,97944.0,5,,3
0,11,68254.0,25653.0,7,22010.0,195439,7,5,1,88346.0,64.0,5,4,,3,7,105482,48008.0,7,180.0,6
4,1,69634.0,26526.0,8,5000.0,194619,8,4,2,149727.0,66.0,9,5,146565.0,9,8,115790,45992.0,4,176.0,5
1,10,62257.0,26197.0,11,,181203,11,1,4,136296.0,65.0,6,1,,4,11,105159,38937.0,5,177.0,1
1,9,41885.0,13080.0,9,142323.0,140628,9,1,3,64737.0,65.0,3,3,,8,9,58535,860.0,6,180.0,1
2,4,22917.0,6177.0,2,25109.0,140232,2,2,5,45643.0,65.0,0,0,134607.0,2,2,20659,1006.0,0,179.0,2
1,3,62259.0,24110.0,1,1447.0,181212,1,1,0,250807.0,,7,2,,7,1,94988,27301.0,5,184.0,3
0,11,68254.0,25653.0,7,22010.0,195439,7,5,1,88346.0,64.0,5,4,,3,7,105482,48008.0,7,180.0,6
