Languages,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Nationality,Birthplace,Uci_Rider_Id,Weight_Kg,Birth_Date,Sports_Team,Olympedia_People_Id,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm,Sport_Country
2,5,4986.0,367,2,60909.0,140756,2,1,14,15463.0,76.0,3,6,103678.0,5,1,584,93.0,6,183.0,5
5,9,26009.0,12193,11,1940308.0,140797,11,7,15,54603.0,78.0,11,3,125137.0,12,10,30229,784.0,0,184.0,5
7,4,11153.0,759,5,27851.0,140281,5,9,5,30888.0,59.0,5,5,,10,4,12917,335.0,6,173.0,5
1,14,6154.0,267,13,110646.0,140757,13,0,6,25781.0,64.0,2,4,111595.0,7,12,3175,339.0,6,170.0,0
0,10,19320.0,4282,7,,140801,7,3,13,32696.0,58.0,9,9,127142.0,14,6,20356,6589.0,5,170.0,2
4,7,27794.0,12923,9,156620.0,140821,9,6,2,58528.0,65.0,13,7,120895.0,8,8,36053,2961.0,5,176.0,5
1,8,38259.0,13066,8,26443.0,140384,8,0,0,62919.0,72.0,14,8,,9,7,39964,2211.0,4,178.0,0
6,15,15225.0,2437,14,,140630,14,8,11,30369.0,68.0,8,9,111612.0,15,12,13510,147.0,5,176.0,6
1,12,3516.0,1303,15,31384.0,140584,15,10,4,,75.0,4,6,106895.0,3,13,12756,271.0,6,190.0,8
1,0,56942.0,21014,6,,171846,6,10,9,518585.0,63.0,15,2,,2,5,84392,18059.0,3,193.0,5
7,11,14222.0,47,12,,140355,12,9,8,22860.0,65.0,0,1,111579.0,13,11,5198,202.0,6,178.0,7
3,6,28995.0,7268,1,14079.0,140230,1,4,10,30942.0,67.0,7,1,134605.0,4,0,36522,3103.0,5,181.0,3
3,1,785.0,989,0,,140417,0,4,1,26797.0,73.0,1,9,,0,0,9898,45.0,5,190.0,3
7,13,39842.0,12843,10,1311517.0,140292,10,2,12,67388.0,58.0,12,0,141955.0,11,9,57418,2276.0,1,166.0,1
7,2,43469.0,15041,3,83688.0,139556,3,2,3,69162.0,59.0,10,5,,1,2,31363,1001.0,6,167.0,5
3,3,22663.0,5789,4,1529344.0,140869,4,5,7,43936.0,69.0,6,4,126950.0,6,3,22017,713.0,2,186.0,4
