CyclingDiscipline,ProfileImage,BirthDate,CycleBaseCyclistId,CqRankingMaleCyclistId,LastName,FirstName,FirstCyclingRiderId,HeightCm,CommonsCategory,ProCyclingStatsCyclistId,BirthPlace,UciRiderId,CyclingArchivesCyclistId
2,9,4,27757.0,8555.0,10,5,783.0,187.0,7,140279,5,40322,37083
1,10,10,48143.0,21971.0,12,9,16672.0,184.0,10,168754,4,79462,64280
0,8,1,16884.0,1166.0,10,4,157.0,176.0,6,140390,1,22148,7721
2,14,12,62257.0,26197.0,7,13,38937.0,177.0,14,181203,7,136296,105159
2,3,14,74592.0,31263.0,11,1,72919.0,173.0,1,241011,8,101278,122630
2,0,8,52879.0,19448.0,9,6,7695.0,184.0,8,132428,10,73817,71390
2,1,5,8760.0,4179.0,6,0,406.0,181.0,0,140749,11,32691,19407
3,12,0,,17011.0,0,11,,,12,134430,9,75578,65908
2,15,11,86654.0,29568.0,10,8,88703.0,184.0,4,235390,13,148689,154976
0,7,3,3858.0,1831.0,1,4,549.0,188.0,5,140642,14,32112,11105
2,2,7,55192.0,19941.0,8,14,10971.0,180.0,15,135398,3,86228,59790
2,4,2,3935.0,1015.0,10,7,1029.0,182.0,9,140117,2,93403,10543
4,5,9,53630.0,19651.0,3,2,16573.0,165.0,2,168753,12,78094,71432
2,6,13,68529.0,24255.0,4,3,37378.0,173.0,3,181748,6,112351,105237
2,13,15,83295.0,28377.0,2,12,84019.0,171.0,13,212377,0,587366,141854
2,11,6,,9803.0,5,10,700.0,183.0,11,139811,15,582454,30128
