GeneType,GenomicEndPosition,GeneDbId,GenomicStartPosition,StrandOrientation
1,3818,116,2061,1
0,497232,53,497002,0
1,1362603,66,1360342,0
1,10034,9,9492,0
1,705460,54,703286,0
1,720,117,1,0
1,560632,57,560198,0
1,160581,125,159610,1
1,2942,37,882,1
1,53693,61,52560,1
1,1058918,107,1056777,0
1,1193345,104,1191366,0
1,590889,94,588715,1
1,2356776,5,2355799,0
1,5081,19,2874,1
1,82404,8,80149,1
1,3053,22,873,0
1,501852,63,499696,1
1,195717,4,194815,0
1,454212,110,451945,1
1,1166328,32,1164352,1
1,114991,84,114542,1
1,161676,78,160684,1
1,2832,56,619,0
1,26356,45,24182,1
1,603844,95,602780,1
1,18169,7,16115,1
1,508321,36,506186,0
1,29015,29,27780,1
1,646319,101,643902,0
1,395040,109,392911,1
1,2179419,98,2176948,1
1,742170,80,739927,0
1,203063,81,200871,0
1,9199,103,7001,1
1,606833,39,604902,0
1,53186,23,51024,0
0,12912,2,12295,0
1,5374,106,4073,1
1,346367,44,344166,1
0,551749,34,551012,0
1,656983,74,654773,0
0,302402,48,301785,1
1,628874,60,628374,1
1,2355697,99,2354525,0
1,141673,126,140918,1
1,38921,64,36609,1
0,356850,24,356083,1
1,246323,70,244452,1
1,258202,87,255983,1
1,802663,62,801878,0
1,628270,40,627785,1
1,1105132,105,1103840,1
0,1157244,30,1157023,0
1,2001346,68,1998842,0
1,122127,119,120202,0
1,32651,28,31587,1
1,576256,1,575726,0
1,13846,11,12761,0
1,69895,3,67685,1
1,292285,128,290090,1
1,479217,79,477172,0
1,967593,58,965515,1
1,18788,27,16752,1
1,1431,21,1,0
1,843337,67,841178,0
1,27802,123,25553,1
0,521,0,3,1
1,149082,120,147823,0
1,630544,12,630077,0
1,85717,42,84713,1
1,2356,6,188,0
0,116089,77,115388,1
1,5373,102,3175,0
1,414917,90,412986,0
1,551038,41,548948,0
1,879776,20,877512,0
1,16562,25,16113,1
1,522056,129,520707,0
1,573072,92,571858,0
1,8796,47,6766,1
1,194168,88,192141,0
1,804175,49,801998,0
1,7341,15,5542,1
1,1092022,122,1090076,1
1,853635,113,852247,0
1,6731,38,4560,1
1,24063,89,21859,0
0,569,76,3,1
1,605835,112,604711,1
1,20468,93,18309,1
1,47761,115,45575,0
1,80858,13,80019,1
1,143770,130,141896,0
1,40865,17,38190,1
1,17708,31,16425,1
1,107570,33,105642,1
1,238993,71,236726,1
1,5239,52,3059,1
1,2117,26,3,1
1,45873,85,43711,1
1,305003,100,302736,0
1,724179,14,722086,0
1,564263,35,562332,1
1,487684,132,485708,0
1,9794,121,7884,1
1,395811,51,393328,0
1,399746,91,397836,0
1,510087,18,508918,0
1,640806,111,638620,0
1,630340,43,629867,0
1,45587,118,43530,1
1,12118,55,9896,0
0,591642,59,591283,1
1,28251,114,27310,0
1,15656,50,13635,1
1,551317,82,549344,0
1,2323,69,1850,0
1,17469,86,15220,0
1,2747,83,2046,0
1,1525088,97,1523784,1
1,1220025,96,1218841,0
1,1560715,16,1558235,1
1,8315,10,7779,1
1,415880,46,413892,0
0,352533,108,352018,1
1,429,127,1,0
0,461012,73,460530,0
1,216636,72,214564,1
1,61722,124,61057,1
1,111044,131,109113,0
0,875271,75,874933,0
1,1428134,65,1426182,0
