GeneType,GenomicEndPosition,GeneDbId,GenomicStartPosition,StrandOrientation
1,7608,43,6745,1
1,391707,126,391090,1
1,476915,38,476025,0
0,346408,207,346178,1
1,216862,127,214952,0
1,80177,231,78453,1
1,8014,87,5234,1
1,557,94,3,1
0,12665,71,11931,1
0,346850,206,346512,1
1,890682,192,889150,0
0,1130987,148,1130442,0
1,2216,42,1884,0
1,56787,224,55507,1
0,45867,21,45670,1
1,929,175,3,0
1,25397,153,23602,1
1,36817,151,35931,1
1,578507,187,577500,0
1,30441,198,27628,1
1,1839347,133,1836461,0
0,71748,34,71398,1
1,122795,35,121053,0
1,1122061,146,1121249,0
1,752571,48,750136,0
1,33312,82,32212,1
1,17807,29,16818,1
1,17424,191,14611,1
1,543960,138,542011,0
1,23503,235,21764,1
1,57738,225,56893,1
0,870832,54,869711,0
1,12423,129,10753,1
1,3521,176,564,0
1,640889,124,638082,0
1,119855,182,118959,1
1,351059,66,348930,0
1,4441,72,1115,1
0,218,156,3,0
1,615828,186,612868,0
1,835,4,1,0
1,71222,130,69540,1
1,100170,26,98553,1
1,76293,27,74227,1
1,17384,125,15111,1
1,395,203,3,1
1,1444050,22,1442287,0
1,229154,239,227562,0
1,64517,123,64071,1
0,747484,168,746714,0
1,58454,116,55821,1
1,10805,109,10074,0
1,805101,144,802591,0
0,4265,68,3411,0
1,8105,61,5802,1
1,42976,229,42014,1
0,157631,185,157230,0
1,7838,217,7741,1
1,794,8,3,0
0,1231,13,899,1
1,74182,14,73355,1
1,2332647,201,2330257,0
1,114401,65,112584,1
1,41471,158,39177,1
0,1415811,19,1415230,0
1,6985,85,4031,1
1,46358,95,44298,1
1,1129891,147,1128836,0
1,535,6,1,0
1,11717,177,11061,0
1,1338938,195,1337487,0
0,36096,30,35452,1
1,56420,159,55923,1
1,20561,121,20007,1
1,2400,167,211,0
1,3058,140,647,0
1,33980,165,31590,1
1,358301,173,355485,0
0,202126,79,201683,0
1,83691,199,83233,1
1,1034156,76,1031220,0
1,393196,84,390821,1
1,368350,51,367493,0
1,66037,97,63011,1
1,877,16,2,0
1,1381,106,2,0
1,1153652,149,1152030,0
1,45746,31,45168,1
1,47107,232,46339,1
1,35665,152,33647,1
1,2035,131,1445,0
1,921959,67,919047,0
0,282,119,1,1
1,903359,162,902475,0
1,3364,171,1112,0
1,8634,62,6310,0
1,6051,113,3256,0
1,223303,157,221369,0
1,147,10,1,0
1,706956,36,704473,0
1,15156,24,14362,1
1,944659,163,941918,1
1,513917,237,513297,0
1,24472,188,23342,1
1,46075,233,44094,1
1,1050263,160,1049748,0
1,1991,179,321,1
1,7580,90,6150,1
1,317768,194,315381,0
0,587282,70,586959,0
1,10942,202,10619,1
1,929,17,492,0
1,6341,63,3546,0
1,50252,212,48096,1
1,751195,190,748829,0
0,2270,60,1968,1
1,629366,210,627348,0
1,609376,209,606950,0
1,2735,218,1362,1
1,4117,226,1346,1
1,6226,11,4295,0
1,481120,111,478592,0
1,215,5,3,0
1,2208,145,1,1
1,857583,112,854629,0
1,4959,103,2632,0
1,38673,93,38134,1
1,2184398,89,2181870,1
1,821170,102,818471,0
1,46181,184,45609,1
1,699100,74,696140,0
0,2029693,141,2028950,0
1,4564,46,2810,1
1,1582,12,692,1
1,3052,58,605,0
1,498493,236,497942,0
1,6017,222,3066,0
1,4965,128,2173,1
1,585603,189,583600,0
1,2706,91,1,1
1,89160,183,86623,1
1,475584,99,473026,0
1,101201,25,100433,1
1,6087,15,4936,1
1,1639600,200,1637255,0
1,1686,2,1,1
1,10351,178,7736,1
1,1399795,23,1397420,0
1,651190,196,650348,0
0,17833,32,17345,1
1,612,73,103,1
1,32383,204,29822,0
1,69602,86,68706,1
1,182518,44,180932,1
1,18217,120,15659,0
1,88109,221,87465,0
1,540826,37,537914,0
1,5666,170,3972,0
1,267665,227,267153,0
1,28634,143,28311,1
1,1121147,216,1120731,0
1,583,161,2,0
1,2783,39,909,1
1,67398,223,66466,1
1,453362,134,452610,0
1,11981,107,9216,0
1,935665,193,933350,0
1,9109,154,6119,1
1,228,18,1,0
0,2248,20,1520,1
1,74451,230,72187,1
1,3080,56,735,1
1,45115,205,42281,0
1,2190,101,1,1
1,922,9,412,0
1,521339,136,518895,0
1,663276,135,662509,0
1,783875,69,783721,0
1,24991,117,22313,0
0,1238,215,288,1
1,4197,150,3526,1
