Gene_Type,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,3818,117,2061,0,1
0,497232,54,497002,4,0
1,1362603,67,1360342,0,0
1,10034,9,9492,0,0
1,705460,55,703286,0,0
1,720,118,1,0,0
1,560632,58,560198,0,0
1,160581,126,159610,0,1
1,2942,38,882,0,1
1,53693,62,52560,0,1
1,1058918,108,1056777,0,0
1,1193345,105,1191366,0,0
0,591642,60,591283,4,1
1,2356776,5,2355799,0,0
1,5081,19,2874,0,1
1,82404,8,80149,0,1
1,3053,22,873,0,0
1,501852,64,499696,0,1
1,195717,4,194815,0,0
1,454212,111,451945,0,1
1,1166328,33,1164352,0,1
1,114991,85,114542,0,1
1,161676,79,160684,0,1
1,2832,57,619,0,0
1,26356,46,24182,0,1
1,628270,41,627785,0,1
1,60797,32,58671,0,1
1,508321,37,506186,0,0
1,29015,29,27780,0,1
1,646319,102,643902,0,0
1,395040,110,392911,0,1
1,2179419,99,2176948,0,1
1,742170,81,739927,0,0
1,203063,82,200871,0,0
1,9199,104,7001,0,1
1,606833,40,604902,0,0
1,53186,23,51024,0,0
0,12912,2,12295,1,0
1,5374,107,4073,0,1
1,346367,45,344166,0,1
0,551749,35,551012,4,0
1,656983,75,654773,0,0
0,302402,49,301785,4,1
1,18169,7,16115,0,1
1,2355697,100,2354525,0,0
1,141673,127,140918,0,1
1,38921,65,36609,0,1
0,356850,24,356083,4,1
1,246323,71,244452,0,1
1,258202,88,255983,0,1
1,802663,63,801878,0,0
1,628874,61,628374,0,1
1,1105132,106,1103840,0,1
0,1157244,30,1157023,3,0
1,2001346,69,1998842,0,0
1,122127,120,120202,0,0
1,32651,28,31587,0,1
1,576256,1,575726,0,0
1,13846,11,12761,0,0
1,69895,3,67685,0,1
1,292285,129,290090,0,1
1,479217,80,477172,0,0
1,967593,59,965515,0,1
1,18788,27,16752,0,1
1,1431,21,1,0,0
1,843337,68,841178,0,0
1,27802,124,25553,0,1
0,521,0,3,4,1
1,149082,121,147823,0,0
1,630544,12,630077,0,0
1,85717,43,84713,0,1
1,2356,6,188,0,0
0,116089,78,115388,4,1
1,5373,103,3175,0,0
1,414917,91,412986,0,0
1,590889,95,588715,0,1
1,879776,20,877512,0,0
1,16562,25,16113,0,1
1,551038,42,548948,0,0
1,573072,93,571858,0,0
1,8796,48,6766,0,1
1,194168,89,192141,0,0
1,804175,50,801998,0,0
1,7341,15,5542,0,1
1,1092022,123,1090076,0,1
1,853635,114,852247,0,0
1,6731,39,4560,0,1
1,24063,90,21859,0,0
0,569,77,3,4,1
1,605835,113,604711,0,1
1,20468,94,18309,0,1
1,47761,116,45575,0,0
1,80858,13,80019,0,1
1,143770,130,141896,0,0
1,40865,17,38190,0,1
1,17708,31,16425,0,1
1,107570,34,105642,0,1
1,238993,72,236726,0,1
1,5239,53,3059,0,1
1,2117,26,3,0,1
1,45873,86,43711,0,1
1,305003,101,302736,0,0
1,724179,14,722086,0,0
1,564263,36,562332,0,1
1,487684,132,485708,0,0
1,9794,122,7884,0,1
1,395811,52,393328,0,0
1,399746,92,397836,0,0
1,510087,18,508918,0,0
1,640806,112,638620,0,0
1,630340,44,629867,0,0
1,45587,119,43530,0,1
1,12118,56,9896,0,0
1,603844,96,602780,0,1
1,28251,115,27310,0,0
1,15656,51,13635,0,1
1,551317,83,549344,0,0
1,2323,70,1850,0,0
1,17469,87,15220,0,0
1,2747,84,2046,0,0
1,1525088,98,1523784,0,1
1,1220025,97,1218841,0,0
1,1560715,16,1558235,0,1
1,8315,10,7779,0,1
1,415880,47,413892,0,0
0,352533,109,352018,4,1
1,429,128,1,0,0
0,461012,74,460530,3,0
1,216636,73,214564,0,1
1,61722,125,61057,0,1
1,111044,131,109113,0,0
0,875271,76,874933,2,0
1,1428134,66,1426182,0,0
