Gene_Type,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,2058,40,1,5,0
1,326018,98,323649,5,0
1,476915,37,476025,5,0
1,114401,60,112584,5,1
1,2332647,195,2330257,5,0
1,80177,230,78453,5,1
1,8014,80,5234,5,1
1,38673,85,38134,5,1
1,74182,14,73355,5,1
0,346408,201,346178,4,1
1,921959,61,919047,5,0
1,1129891,141,1128836,5,0
1,1242,4,1100,5,0
1,40192,221,38090,5,1
1,612,67,103,5,1
1,929,170,3,5,0
1,9109,148,6119,5,1
1,35665,146,33647,5,1
1,223303,151,221369,5,0
1,30441,191,27628,5,1
1,1639600,194,1637255,5,0
1,67398,219,66466,5,1
1,122795,35,121053,5,0
1,1121147,211,1120731,5,0
1,216652,229,216302,5,1
1,53404,239,53066,5,1
1,20561,116,20007,5,1
1,215357,59,214062,5,1
1,543960,133,542011,5,0
1,23503,234,21764,5,1
1,56787,222,55507,5,1
1,857583,105,854629,5,0
1,615828,182,612868,5,0
0,282,114,1,2,1
1,640889,120,638082,5,0
1,119855,177,118959,5,1
0,202126,73,201683,2,0
0,157631,180,157230,2,0
0,218,150,3,1,0
1,578507,183,577500,5,0
0,1238,209,288,1,1
1,12423,124,10753,5,1
1,100170,26,98553,5,1
1,74123,119,73479,5,1
1,18217,115,15659,5,0
1,3521,171,564,5,0
0,1415811,19,1415230,1,0
1,229154,238,227562,5,0
1,47729,118,46503,5,1
1,10942,196,10619,5,1
1,45868,108,44981,5,1
1,11981,100,9216,5,0
1,706956,36,704473,5,0
1,6341,58,3546,5,0
0,2270,55,1968,0,1
1,1034156,71,1031220,5,0
1,1842055,205,1840004,5,0
1,7838,212,7741,5,1
1,4117,6,2168,5,1
0,1411,1,1097,2,0
1,51751,103,49106,5,0
1,2184398,82,2181870,5,1
1,76293,27,74227,5,1
1,28437,215,25624,5,1
1,1399795,23,1397420,5,0
1,8610,75,7165,5,0
1,46358,88,44298,5,1
1,1122061,140,1121249,5,0
1,57738,223,56893,5,1
1,11717,172,11061,5,0
1,629366,204,627348,5,0
1,34648,28,31775,5,1
1,41471,152,39177,5,1
1,42976,227,42014,5,1
1,2400,162,211,5,0
1,3058,134,647,5,0
0,71748,32,71398,0,1
0,202086,210,201577,2,0
1,368350,47,367493,5,0
1,83691,192,83233,5,1
1,33312,76,32212,5,1
1,1050263,154,1049748,5,0
1,358301,168,355485,5,0
1,23148,135,20869,5,1
1,1686,2,1,5,1
1,4959,96,2632,5,0
0,1130987,142,1130442,1,0
1,33975,34,32362,5,1
1,47107,231,46339,5,1
1,25397,147,23602,5,1
1,215,5,3,5,0
1,254233,176,251879,5,1
1,6051,106,3256,5,0
1,270124,225,267929,5,0
1,3364,166,1112,5,0
1,8105,56,5802,5,1
1,27721,87,25157,5,0
1,88109,216,87465,5,0
1,794,8,3,5,0
1,36817,145,35931,5,1
0,2248,20,1520,1,1
1,903359,156,902475,5,0
1,513917,236,513297,5,0
1,24472,184,23342,5,1
1,46075,232,44094,5,1
1,4117,224,1346,5,1
1,1991,174,321,5,1
1,6985,78,4031,5,1
1,281858,149,279111,5,0
0,581031,237,580762,2,0
