Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position
0,0,301826,242,242,2,299487
1,0,32772,96,96,1,29866
1,0,373899,29,29,2,371611
1,0,721934,74,74,2,719244
0,0,428427,86,86,3,425755
1,0,1516533,43,43,2,1514173
0,0,465591,161,161,2,462814
1,0,54199,32,32,2,51578
1,0,988200,207,207,2,985546
1,0,1062895,234,234,2,1060310
1,0,199898,36,36,1,197364
0,0,404584,118,118,2,402206
0,0,473501,202,202,3,470631
0,0,246580,85,85,2,243767
0,0,33755,27,27,2,30969
0,0,355891,244,244,2,353552
1,0,993191,44,44,2,990858
1,0,1150558,192,192,1,1147775
0,0,1152306,222,222,2,1149583
0,0,1161129,166,166,2,1158613
1,0,32977,216,216,1,30248
1,0,33431,26,26,2,30843
0,0,184674,6,6,2,182293
1,0,1757922,188,188,2,1755496
0,0,553480,173,173,3,550610
0,0,16153,30,30,2,13502
1,0,292921,245,245,2,290183
0,0,256062,178,178,2,253732
0,0,25495,50,50,2,22811
1,0,8691,195,195,2,6085
1,0,180436,213,213,2,177890
1,0,15222,212,212,2,12538
0,0,867065,115,115,2,864531
1,0,1966199,102,102,2,1963551
0,0,546874,142,142,2,544250
0,0,1024944,233,233,2,1022305
0,0,519004,251,251,2,516413
0,0,1176004,165,165,2,1173581
1,0,82609,137,137,3,79808
1,0,447956,176,176,2,445458
0,0,735391,128,128,2,733043
0,0,1102343,226,226,2,1099539
0,0,1314205,88,88,2,1311887
1,0,1034195,209,209,2,1031508
1,0,204433,62,62,2,201761
1,0,1800605,107,107,2,1797939
1,0,125132,79,79,2,122370
0,0,17633,22,22,1,14982
0,0,4209,121,121,2,1423
0,0,187941,232,232,2,185287
0,0,1065877,198,198,2,1063010
0,0,425184,135,135,2,422410
0,0,513629,257,257,3,510834
1,0,568671,172,172,2,566338
0,0,1123469,221,221,1,1120611
0,0,432436,158,158,1,429818
1,0,218715,55,55,2,215884
1,0,86749,152,152,1,84020
0,0,396102,69,69,1,393418
0,0,107074,254,254,1,104540
0,0,622377,41,41,2,620053
0,0,389747,163,163,1,387120
0,0,422008,200,200,2,419294
