DrivingSide,SapaId,YsaId,GeoNamesId,WikiKidsId,TheWorldFactbookCountryId,PostimeesTopicId,EuKnowledgeGraphItemId,WorldCatEntitiesId,ZhihuTopicId,BabelNetId,GovernmentForm,TasteAtlasId,JewishEncyclopediaIdRussian,TotalFertilityRate,LibraryOfCongressAuthorityId,WorldEncyclopediaOfPuppetryArtsId,HappyPlanetIndexScore,NicoNicoPediaId,Iso31661Alpha3Code,BrockhausEnzyklopadieOnlineId,IocCountryCode,NlCrAutId,NdlAuthorityId,NationalHistoricalMuseumsOfSwedenId,SuicideRate,IabCode,InseeCode,Fips104Code,NorthernmostPointLatitude,BbcThingsId,HeadOfStateOffice,GranEnciclopediaCatalanaId,YsoId,OfficialWebsite,OnlinePwnEncyclopediaId,SchoenbergDatabaseOfManuscriptsPlaceId,GettyThesaurusOfGeographicNamesId,EncyclopediaOfChinaThirdEditionId,AgeOfMajority,InequalityAdjustedHdi,QuoraTopicId,GreatRussianEncyclopediaOnlineIdOldVersion,TheTopTensId,HeadOfGovernment,UmlsCui,BibliothequeNationaleDeFranceId,SouthernmostPointLongitude,WorldCatIdentitiesIdSuperseded,Continent,TreccanisDizionarioDiStoriaId,CivicusMonitorEntry,GroveArtOnlineId,StatoidsId,MeShDescriptorId,EditionHumboldtDigitalId,LocatorMapImage,OfficialLanguage,WordNet31SynsetId,Pm20GeoCode,NationalLibraryOfIsraelIdOld,InterlingualIndexId,NominalGdp,UkParliamentThesaurusId,BbcNewsTopicId,UkParliamentId,EasternmostPointLongitude,LarousseId,GiniCoefficient,CurlieId,Iso31661Alpha2Code,GitHubTopic,ViafId,Iso31661NumericCode,IdRefId,ReroIdObsolete,GuardianTopicId,EncyclopdiaBritannicaOnlineId,EuroVocId,TimeZone,IDaIgazetteerId,LegislativeBody,MainsVoltage,ItuLetterCode,NamuwikiId,NationalLibraryOfSpainId,OpenDataPortal,ArchInformLocationId,FrenchVikidiaId,LocationMap,JocondeLocationId,WesternmostPointLongitude,KBpediaId,UrbanElectricTransitCountryId,AnalysisPolicyObservatoryTermId,LeMondeDiplomatiqueSubjectId,FastId,DemocracyIndex,KlexikonArticleId,NorthernmostPointLongitude,NaltId,OboGazetteerId,MarineRegionsGeographicId,GacsId,WesternmostPointLatitude,INaturalistPlaceId,GndId,ColonClassification,DeweyDecimalClassification,EnglishVikidiaId,FactGridItemId,DenStoreDanskeId,SouthernmostPointLatitude,FreebaseId,CatholicEncyclopediaId,MainWikimediaPortal,OmegaWikiDefinedMeaning,MuseumDigitalPlaceId,CommonsCategory,UnescoThesaurusId,YleTopicId,WikisimpsonsArticleId,CiNiiResearchId,CatalanVikidiaId,GeoNlpIdObsolete,OpenStreetMapNodeId,CountryName,CentralBank,Gs1CountryCode,AssociatedPeopleCategory,MainTemplate,NationalLibraryOfIrelandId,EncyclopediaOfKoreanCultureId,WhosOnFirstId,DerSpiegelTopicId,StwThesaurusForEconomicsId,HeadOfGovernmentOffice,MainCategory,HumanDevelopmentIndex,NationalLibraryOfIsraelJ9uId,WikimediaOutline,SpanishVikidiaId,NEseId,OpenStreetMapRelationId,BorderingCountries,RkdThesaurusId,NacsisCatAuthorId,DrTopicId,MusicBrainzAreaId,AscLeidenThesaurusId,TreccaniId,MaritimeIdentificationDigits,LoCAndMarcVocabulariesId,ItuisoiecObjectId,EasternmostPointLatitude,CoatOfArmsImage,HdsId,NewYorkTimesTopicId,IcpsrGeographicNamesThesaurusId,GranEnciclopediaCatalanaIdFormerScheme,StoreNorskeLeksikonId
1,0,7,1149361.0,0,1,4270.0,10,2,19655206.0,0,0,0,10329.0,4.843,4,0,29.4,0,0,0,0,10,560077.0,4,4.7,1229.0,99212.0,0,38.4908611111,3,0,0,106202.0,4,4168989.0,1531.0,7016612.0,,18.0,0.323,0,4053221.0,18.0,0,6,7,62.4691666667,0,1,0,0,1,0,0,1,1,5,0,6,975636.0,0,14583135237.0,8255.0,6,10,74.8898611111,1,27.8,1,0,0,253870196.0,4.0,27944069.0,9,1,0,261.0,4,2042934.0,9,240.0,7,8,2,0,5456.0,0,3,5,60.8560833333,0,52.0,2971.0,0,1205406.0,0.32,0,70.9890555556,4792.0,6882.0,2256.0,94.0,31.4865277778,7341.0,0,1,5,0,4,0,29.3886944444,10,8,0,5753.0,1805.0,0,5,8,48372.0,,0,8,26847706.0,0,8,10,0,6,0,8,85632229.0,0,5,7,0,0.478,9.870075643560051e+17,0,0,1,303427.0,10,3551.0,9,0,8,,1,401.0,0,6,37.2340833333,1,3402.0,0,14055.0,854.0,0
1,5,1,3996063.0,9,9,3558.0,7,10,19609417.0,10,2,9,12697.0,2.243,11,8,54.3,11,11,9,10,0,567575.0,5,5.3,1355.0,99405.0,9,32.7188888889,6,9,10,105032.0,0,4169101.0,1012.0,7005560.0,558995.0,18.0,0.621,9,2201540.0,103.0,1,3,3,-92.2286111111,6,3,9,9,9,11,9,6,11,7,3,7,983119.0,3,1272838810896.0,11641.0,9,7,-86.74072981,8,45.4,8,11,9,154775570.0,484.0,26392577.0,7,8,9,1899.0,0,2293102.0,3,127.0,10,2,9,4,3017.0,10,6,1,-117.12464333,9,54.0,6713.0,10,1211700.0,6.07,9,-114.7197222222,44103.0,2852.0,2224.0,673.0,32.52293411,6793.0,9,8,7,8,7,8,14.5305555556,8,6,9,155305.0,1028.0,9,4,4,20934.0,1.140563741765168e+18,9,11,9286798510.0,9,5,3,8,9,8,2,85633293.0,8,7,5,9,0.758,9.870075481680051e+17,9,10,8,114686.0,6,876.0,5,8,4,294925465.0,9,345.0,9,7,21.135385,8,3379.0,9,14527.0,42296.0,8
1,7,3,2921044.0,5,0,1865.0,3,4,19554996.0,5,5,6,11122.0,1.39,10,5,52.7,7,6,4,7,11,561571.0,2,8.3,1300.0,99109.0,6,55.0584,4,11,1,105087.0,7,4169110.0,66.0,7000084.0,184853.0,18.0,0.883,6,2354371.0,,9,2,9,10.17844677,0,2,6,6,0,6,6,4,9,2,4,0,981369.0,4,4121200000000.0,10438.0,3,5,15.04178122,2,31.7,3,6,5,189116956.0,276.0,30685435.0,3,5,6,1318.0,3,2044274.0,1,230.0,4,1,6,3,2979.0,1,1,9,5.86636662,6,10.0,3002.0,1,1210272.0,8.67,4,8.4193,15494.0,2646.0,2101.0,601.0,51.05110016,7207.0,4,6,11,5,2,11,47.2700279,3,4,6,7118.0,209.0,6,7,3,21469.0,,1,9,1683325355.0,6,9,1,9,5,0,1,85633111.0,3,11,0,6,0.942,9.870075597787052e+17,6,1,10,51477.0,1,456.0,9,11,7,294913572.0,6,211.0,7,2,51.27279981,6,3352.0,6,14333.0,220737.0,11
1,1,4,3175395.0,8,8,2463.0,0,5,19571981.0,9,4,8,11873.0,1.2,2,7,50.7,2,10,7,9,5,564289.0,0,4.3,1326.0,99127.0,8,47.1,0,8,9,105111.0,2,4169179.0,7.0,1000080.0,,18.0,0.791,8,2026445.0,47.0,3,4,2,15.07981896,2,2,8,8,8,10,8,5,10,4,6,4,974608.0,6,2114355756914.0,11075.0,8,9,18.52043867,7,35.2,5,10,8,152361066.0,380.0,26389908.0,9,7,8,1519.0,1,2309807.0,8,230.0,9,9,4,7,2996.0,9,6,7,6.62677288,8,32.0,10099.0,9,1204565.0,7.74,7,12.18,1813.0,2650.0,2133.0,547.0,45.10336498,6973.0,7,3,1,7,0,7,36.64674684,5,8,8,5748.0,197.0,8,9,1,16278.0,1.1408452166692369e+18,8,1,26347360.0,8,4,8,7,0,5,9,85633253.0,6,1,10,8,0.895,9.870075549582052e+17,8,9,7,365331.0,8,287.0,2,7,9,294918175.0,8,247.0,8,5,40.10725766,10,11196.0,8,14409.0,34099.0,7
1,3,5,2510769.0,10,10,3290.0,11,3,19592266.0,7,3,10,11856.0,1.27,1,9,52.3,6,7,11,5,7,571694.0,11,,1412.0,99134.0,10,43.7912222222,10,2,6,105209.0,3,4169050.0,30.0,1000095.0,,18.0,0.788,10,2632850.0,64.0,10,5,1,-17.9808333333,1,2,10,10,10,7,10,8,7,7,10,2,974222.0,10,1427380681295.0,12960.0,0,0,4.327,5,34.3,6,7,10,133609710.0,724.0,26376296.0,4,9,10,863.0,2,2074390.0,4,230.0,5,6,1,8,3043.0,6,7,10,-18.133333,10,23.0,9496.0,6,1204303.0,8.12,11,-7.6892777778,21750.0,591.0,2185.0,295.0,27.704167,6774.0,11,5,2,10,0,10,27.6419444444,6,8,10,7965.0,2333.0,10,10,2,48451.0,1.1402822666254188e+18,6,7,148332300.0,10,10,9,10,8,2,6,85633129.0,10,2,11,10,0.905,9.870075525318052e+17,10,6,9,1311341.0,5,386.0,4,10,5,294938850.0,10,224.0,10,9,39.8767222222,11,3372.0,10,14802.0,24810.0,9
0,0,8,933860.0,2,3,41684.0,8,7,20007454.0,2,5,2,,2.836,6,0,31.9,10,3,2,2,2,560911.0,6,9.3,1258.0,99347.0,2,-17.78,1,4,3,106268.0,1,4169013.0,,1000150.0,,,0.426,2,4125521.0,,8,6,8,20.68744,4,0,2,2,3,3,2,10,3,0,7,11,976088.0,7,18737066307.0,8749.0,5,3,29.3733,0,53.3,0,3,2,128459392.0,72.0,185752322.0,0,0,2,5029.0,3,2378986.0,10,230.0,2,3,8,5,2973.0,3,6,0,22.0,2,,15421.0,3,1205793.0,7.62,2,25.17,18861.0,1097.0,2164.0,571.0,-23.0,7105.0,2,0,6,9,0,2,-26.90614,1,8,2,8342.0,20178.0,2,0,10,48590.0,,3,10,424313751.0,2,1,10,2,0,9,3,85632235.0,0,6,2,2,0.693,9.870075477983052e+17,2,3,0,1889339.0,9,24317.0,9,2,10,294902325.0,3,611.0,3,8,-22.19552,3,3437.0,2,14149.0,11736.0,2
1,8,2,390903.0,7,7,1209.0,1,8,19628131.0,6,4,7,11302.0,1.3,9,6,48.8,3,9,6,8,9,562473.0,3,3.6,1303.0,99126.0,7,41.74886,9,7,8,105037.0,10,4169041.0,868.0,1000074.0,,18.0,0.791,7,2378081.0,55.0,6,6,6,24.09585,0,2,7,7,7,9,7,9,6,3,5,5,979098.0,5,214873879834.0,10535.0,2,8,29.7291,0,33.1,4,9,7,131265011.0,300.0,26488523.0,6,6,7,1182.0,3,2070079.0,7,230.0,8,0,5,10,2986.0,8,2,6,20.0084424,7,22.0,11346.0,8,1208380.0,7.39,6,26.17267,15646.0,2945.0,2099.0,733.0,39.69181618,7094.0,6,2,4,6,8,6,34.69698,4,5,7,7958.0,1959.0,7,8,0,48776.0,1.1402822667791977e+18,10,2,432424989.0,7,3,2,6,1,7,0,85633171.0,5,3,9,7,0.887,9.870075643244051e+17,7,8,6,192307.0,11,4946.0,3,6,6,294914226.0,7,237.0,6,3,35.9229,7,3355.0,7,14344.0,31027.0,6
1,2,11,3469034.0,3,4,2047.0,5,9,19559865.0,3,2,3,10720.0,1.74,8,2,54.6,9,2,3,3,3,561061.0,1,6.4,1260.0,99416.0,3,5.27,2,5,4,108126.0,8,4169014.0,5024.0,1000047.0,534710.0,18.0,0.576,3,1881226.0,102.0,7,1,5,-53.3902777778,0,4,3,3,4,2,3,3,2,6,8,10,977286.0,8,1649622972159.0,8780.0,7,6,-34.7930555556,3,48.9,10,2,3,129679518.0,76.0,,1,0,3,5040.0,5,2285871.0,11,127.0,1,4,11,2,2974.0,4,5,3,-73.98274899,3,58.0,6483.0,4,1206830.0,6.86,3,-60.2041666667,3005.0,2828.0,2143.0,184.0,-7.53472218,6878.0,3,11,8,2,3,3,-33.75,0,1,3,8303.0,63.0,3,2,6,16225.0,1.1400007916901745e+18,4,0,,3,7,7,3,0,3,4,85633009.0,2,9,3,3,0.754,9.870075549459052e+17,3,4,3,59470.0,4,3668.0,8,3,11,,4,710.0,2,11,-7.1555555556,4,3393.0,3,14153.0,12068.0,3
1,6,10,3865483.0,1,2,2672.0,6,0,19653366.0,1,2,1,10274.0,2.322,5,1,50.0,1,1,1,1,1,560367.0,10,8.1,1239.0,99415.0,1,-21.8,11,3,2,108007.0,6,4168996.0,4932.0,7006477.0,551853.0,18.0,0.72,1,3252173.0,120.0,5,0,0,-66.44649049,3,4,1,1,2,1,1,10,0,7,1,9,975864.0,1,487227125386.0,8401.0,4,1,-53.63749757,10,423.0,9,1,1,146499420.0,32.0,26359537.0,9,2,1,2525.0,7,2087761.0,0,220.0,0,7,10,1,2964.0,2,4,2,-73.56030107,1,44.0,19395.0,2,1205614.0,6.81,1,-66.22,12077.0,2928.0,2149.0,205.0,-49.94475793,7190.0,1,9,9,1,6,1,-55.05727809,11,0,1,5774.0,6866.0,1,1,9,48338.0,1.1408452165228673e+18,2,3,249399280.0,1,6,6,1,2,4,7,85632505.0,1,8,1,1,0.842,9.870075643487052e+17,1,2,2,286393.0,0,446.0,6,1,2,294899065.0,2,701.0,1,4,-26.24965082,2,3391.0,1,14087.0,5048.0,1
1,9,9,3686110.0,4,5,5580.0,9,6,19901840.0,4,5,4,,1.897,7,3,60.2,4,5,8,4,6,566643.0,7,3.7,1274.0,99419.0,4,13.38,5,6,5,106419.0,9,4169072.0,,1000050.0,551908.0,18.0,0.589,4,2082520.0,127.0,4,6,11,-69.94792,5,4,4,4,5,5,4,0,4,7,2,8,976238.0,2,318511813577.0,9260.0,10,4,-66.8512,4,54.2,11,5,4,127757650.0,170.0,27230430.0,2,3,4,6036.0,6,2379102.0,2,110.0,3,10,3,6,3005.0,5,6,4,-81.7,4,76.0,19279.0,5,1205916.0,6.48,8,-81.37,7411.0,2929.0,2175.0,334.0,12.58333333,7196.0,8,10,10,3,5,4,-4.23167,2,2,4,7995.0,6752.0,4,3,11,48345.0,1.1402822665898729e+18,5,6,424314631.0,4,0,5,4,4,1,10,85632519.0,7,10,4,4,0.752,9.870075480763052e+17,4,5,4,120027.0,2,13450.0,7,4,0,,5,730.0,4,0,1.229,5,3396.0,4,14219.0,18793.0,4
