GeneClassification,GenomicEndPosition,GeneDbId,ChromosomeLocation,EncodedProtein,GenomicStartPosition,StrandOrientation
0,10550795,24,2,2,10549533,1
0,8955745,21,2,2,8954438,0
0,1330435,3,2,2,1329140,0
1,4544675,10,2,2,4543395,1
0,1260503,1,2,2,1259214,1
0,213618,0,2,2,212347,1
0,12870005,30,2,4,12868705,0
0,8074467,18,2,4,8073640,0
0,14462836,35,2,2,14461577,1
0,14285728,34,2,2,14284430,0
0,15779469,39,2,2,15778162,1
1,3706840,8,2,2,3705592,0
1,1393682,4,2,2,1392384,1
0,4453835,9,2,2,4452435,0
0,7247866,16,2,2,7246598,0
0,9003941,22,2,2,9002649,0
0,15859471,40,2,2,15858206,1
0,15302326,36,2,2,15301028,1
0,7574892,17,2,2,7573573,1
0,2051179,6,2,2,2049908,0
0,9628274,23,2,2,9627336,0
0,15507060,37,2,2,15505801,0
0,11001601,26,2,0,11000303,1
1,8468877,20,2,2,8467455,1
1,12759119,29,2,2,12757911,1
0,7510,43,0,1,6188,0
0,6557999,13,2,2,6556620,1
0,306847,42,1,0,305528,0
0,12980932,32,2,2,12979673,0
0,12645770,28,2,2,12645120,1
1,10577353,25,2,3,10576252,1
0,6837545,15,2,0,6836211,1
0,14137126,33,2,2,14135861,1
1,1797332,5,2,2,1796058,1
1,6559602,14,2,5,6558326,1
0,4801169,11,2,2,4799859,1
0,15863998,41,2,2,15862724,1
0,6030244,12,2,4,6029330,1
0,1281908,2,2,4,1280728,1
0,12930054,31,2,2,12928786,1
0,3271872,7,2,2,3270613,1
0,8116487,19,2,2,8115183,1
0,15762185,38,2,2,15760788,1
0,11862072,27,2,2,11860804,1
