GeneClassification,GenomicEndPosition,GeneDbId,ChromosomeLocation,EncodedProtein,GenomicStartPosition,StrandOrientation
0,15968355,53,1,3,15967177,1
1,6550429,21,1,0,6549194,1
1,13158288,43,1,3,13157044,0
1,7195759,24,1,3,7194552,1
0,13013167,42,1,3,13011974,1
1,10140661,34,1,3,10139481,1
0,3282063,9,1,3,3280804,1
1,7184623,23,1,3,7183572,1
0,9708808,31,1,3,9707594,0
0,6201729,19,1,3,6200545,0
0,1741456,3,1,3,1740215,0
1,14007806,46,1,3,14006533,1
0,8839024,29,1,3,8837837,1
0,10646871,37,1,6,10645700,1
0,10070201,33,1,3,10069047,1
0,4924465,11,1,2,4923975,1
1,12977733,41,1,3,12976550,0
0,8276722,28,1,3,8275475,1
1,5895880,16,1,3,5894765,0
0,8272035,27,1,3,8270767,1
1,2616150,6,1,3,2614963,1
1,10519352,36,1,3,10518027,1
0,1080808,1,1,3,1079654,1
0,3325457,10,1,0,3324789,0
0,1974599,4,1,3,1973406,1
0,12853647,40,1,3,12852475,1
0,1519185,2,1,0,1518307,0
0,7241274,25,1,3,7239865,0
0,14828015,48,1,3,14826831,1
0,15552188,52,1,3,15550968,1
0,2918848,8,1,6,2917660,1
0,6175757,18,1,3,6174537,0
0,9083532,30,1,3,9082333,1
1,6099718,17,1,3,6098318,0
1,10480453,35,1,3,10479266,1
0,5891438,15,1,3,5890188,0
1,13262843,44,1,5,13261701,0
0,14316665,47,1,2,14316147,0
1,2326226,5,1,3,2324928,1
0,6873373,22,1,1,6872888,0
0,15398854,50,1,3,15397607,1
0,15481361,51,1,3,15480117,0
0,7315726,26,1,3,7314470,0
0,6547830,20,1,3,6546874,1
1,10042115,32,1,4,10040921,1
0,15182681,49,1,0,15182151,0
0,1236022,54,0,0,1234772,1
1,11413117,39,1,7,11411811,1
0,5094411,13,1,3,5093167,0
0,759778,0,1,1,759182,1
0,5796288,14,1,6,5795077,1
0,5051792,12,1,3,5050623,0
1,13679678,45,1,3,13678531,0
0,2620502,7,1,3,2619321,0
0,11295389,38,1,3,11294226,1
