PROFESSION,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,CYCLIST_DESCRIPTION,MEMOIRE_DU_CYCLISME_CYCLIST_ID,GTAA_ID,TWITTER_USERNAME,BIRTHPLACE,UCI_RIDER_ID,NATIVE_NAME,MUNZINGER_SPORT_ID,WEIGHT_KG,BIRTH_DATE,SPORTS_TEAM,OLYMPEDIA_PEOPLE_ID,LAST_NAME,FIRST_NAME,SPORTS_REFERENCECOM_OLYMPIC_ATHLETE_ID_ARCHIVED,CYCLING_ARCHIVES_CYCLIST_ID,PARTICIPATED_EVENTS,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,FREEBASE_ID,SPORT_COUNTRY
0,8,13721,119.0,6,140200,6,9,17637.0,223868.0,0,0,14971.0,3,1000008053.0,59.0,4,2,133660.0,9,6,7,4579,0,246,169,2,8
0,4,11153,759.0,3,140281,3,9,7835.0,237192.0,4,6,30888.0,1,,59.0,6,5,,7,3,0,12917,4,335,173,6,4
0,13,15225,2437.0,12,140630,12,10,9635.0,235910.0,0,13,30369.0,5,,68.0,11,10,111612.0,14,12,9,13510,3,147,176,4,7
0,12,3654,938.0,13,140346,13,10,2815.0,,0,3,28364.0,5,,58.5,3,4,,1,13,0,2587,4,299,177,5,4
0,11,30026,7147.0,9,140611,9,0,42655.0,235627.0,5,5,57601.0,7,1000009699.0,62.0,8,0,132499.0,8,9,6,32008,4,563,172,12,4
0,10,56041,20719.0,8,174582,8,7,66232.0,1672796.0,6,14,88889.0,6,1000009959.0,65.0,13,9,135863.0,10,8,8,72449,1,18655,177,13,4
0,0,10227,3360.0,14,140843,14,2,15207.0,214044.0,7,1,28586.0,5,1000007646.0,75.0,9,7,125462.0,5,14,4,18086,4,95,185,3,1
0,5,4508,26.0,4,140669,4,4,3565.0,125652.0,0,12,,2,1000006864.0,61.0,1,2,90424.0,3,4,2,8259,4,177,174,8,3
0,3,73687,27198.0,2,205784,2,3,,,0,2,98207.0,0,,65.0,14,6,143677.0,11,2,0,120019,2,69890,186,14,2
0,2,8480,25.0,1,140544,1,1,13978.0,119338.0,3,8,12826.0,5,1000005632.0,63.0,0,8,90395.0,4,1,3,9121,3,39,183,9,1
0,9,16497,599.0,7,140525,7,10,19595.0,214151.0,0,4,25274.0,4,,69.0,7,2,111588.0,13,7,11,7415,4,151,186,1,0
0,6,10637,27.0,5,140854,5,6,15453.0,131905.0,0,10,12426.0,10,1000007112.0,65.0,2,5,103672.0,6,5,5,5873,4,37,180,11,6
0,7,20041,6807.0,10,140781,10,5,28206.0,229019.0,1,11,32596.0,8,1000008650.0,67.0,12,10,125028.0,0,10,1,21225,3,114,182,7,5
0,14,4504,2045.0,11,140359,11,10,3561.0,232702.0,0,7,30789.0,9,,67.0,10,1,,2,11,0,14361,4,105,180,0,4
0,1,16289,5.0,0,140924,0,8,19443.0,163334.0,2,9,14575.0,5,1000006677.0,61.0,5,3,103634.0,12,0,10,7005,3,38,177,10,8
