PROFESSION,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,CYCLIST_DESCRIPTION,MEMOIRE_DU_CYCLISME_CYCLIST_ID,GTAA_ID,TWITTER_USERNAME,BIRTHPLACE,UCI_RIDER_ID,NATIVE_NAME,MUNZINGER_SPORT_ID,WEIGHT_KG,BIRTH_DATE,SPORTS_TEAM,OLYMPEDIA_PEOPLE_ID,LAST_NAME,FIRST_NAME,SPORTS_REFERENCECOM_OLYMPIC_ATHLETE_ID_ARCHIVED,CYCLING_ARCHIVES_CYCLIST_ID,PARTICIPATED_EVENTS,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,FREEBASE_ID,SPORT_COUNTRY
1,1,49682.0,17893,28,134456,28,5,58541.0,,13,2,553301,15,1000009895.0,58.0,26,18,143135.0,35,26,0,65130,16,6242,172.0,30,15
0,33,57500.0,21405,22,170313,22,22,,,10,28,86710,9,,65.0,30,1,,11,20,0,82089,17,17252,180.0,2,10
0,15,44733.0,16677,36,140118,36,12,55213.0,225975.0,29,12,73892,19,1000009348.0,69.0,23,17,135249.0,10,33,7,64982,6,2324,185.0,25,8
0,2,3262.0,387,1,137456,1,27,2513.0,90251.0,19,13,518429,0,1000007314.0,62.0,5,20,111578.0,6,1,5,1567,16,3,176.0,21,13
0,21,11713.0,1041,18,140802,18,21,16183.0,,10,33,32155,8,,63.0,6,10,111609.0,25,15,14,15413,17,408,176.0,12,10
0,11,5172.0,161,6,140762,6,1,11434.0,97772.0,10,9,13388,8,1000006900.0,68.0,0,12,14276.0,12,19,8,5689,17,86,174.0,8,0
0,27,30026.0,7147,24,140611,24,0,42655.0,235627.0,24,10,57601,11,1000009699.0,62.0,8,3,132499.0,27,22,15,32008,17,563,172.0,18,9
0,25,,27671,14,206811,14,20,,,10,23,155026,8,,,36,22,,17,12,0,121990,13,67824,,33,9
0,26,56041.0,20719,23,174582,23,25,66232.0,1672796.0,25,31,88889,10,1000009959.0,65.0,18,19,135863.0,29,21,16,72449,10,18655,177.0,32,9
0,31,56666.0,18975,0,133024,0,4,64111.0,,0,2,70590,8,1000009894.0,58.0,26,18,133999.0,35,0,21,65132,11,20147,172.0,31,15
0,12,22663.0,5789,7,140869,7,3,12014.0,229534.0,22,17,43936,2,1000008372.0,69.0,10,10,126950.0,13,6,9,22017,4,713,186.0,10,6
0,19,19558.0,3828,13,140870,13,10,5609.0,229091.0,23,5,34012,8,,69.0,9,20,113255.0,14,11,10,21215,2,264,182.0,13,3
