Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,12460992,117,117,39,8,12457699
1,21664027,170,170,38,12,21662360
1,14716347,126,126,41,13,14714348
0,24261916,182,182,22,18,24259394
1,16959828,143,143,38,5,16958119
0,22507853,175,175,23,5,22506750
1,5808507,86,86,20,11,5806811
0,4347332,75,75,32,18,4345470
1,19111241,156,156,38,12,19109871
1,189059,56,56,38,8,186996
1,7321944,29,29,43,7,7320766
0,5564839,82,82,39,11,5563799
0,16126477,136,136,20,11,16125630
0,16125431,135,135,19,8,16124496
1,6496823,88,88,24,11,6495699
1,22866651,177,177,39,5,22865183
1,6962,185,185,26,14,4240
0,22420594,174,174,38,5,22418891
0,6623857,89,89,20,8,6622859
0,517377,186,186,23,24,516034
1,740910,58,58,38,11,739147
1,4478317,21,21,43,7,4476602
0,6731177,90,90,26,13,6730012
0,8345450,99,99,19,11,8343849
1,1163943,62,62,20,11,1162260
0,166610,3,3,34,10,159343
0,12044915,45,45,44,25,12043926
1,7308392,95,95,23,8,7307190
0,11814846,113,113,21,13,11812601
0,14246569,121,121,38,11,14244689
0,15525233,53,53,0,25,15523344
1,10367781,108,108,38,8,10366297
1,19353997,157,157,19,12,19353143
1,11228364,111,111,20,8,11227465
0,4821949,22,22,3,25,4818629
1,802447,11,11,19,19,797690
0,6404545,26,26,2,25,6402818
1,3890743,20,20,5,25,3888761
1,7536063,33,33,44,25,7534078
0,4110404,74,74,36,8,4109244
1,7085743,94,94,19,11,7084628
0,14417657,125,125,19,11,14416290
1,10471813,41,41,6,7,10470053
1,17169188,145,145,38,5,17167599
1,17204565,146,146,38,5,17202847
0,901193,59,59,23,11,900303
0,7485958,32,32,11,25,7483058
1,5310760,79,79,19,8,5309435
1,11930294,114,114,38,8,11928846
0,1138017,61,61,20,8,1136944
0,11141122,110,110,20,8,11139777
0,3552202,18,18,12,7,3549812
1,14297622,122,122,38,8,14294152
1,16271105,138,138,35,8,16270171
1,19098062,155,155,19,12,19092804
1,1488889,8,8,18,2,1488146
1,720767,1,1,18,4,720270
1,954065,60,60,25,18,950709
0,8446783,36,36,10,7,8444390
1,4986283,78,78,20,11,4984864
0,6830368,91,91,19,11,6828929
0,11411332,112,112,20,11,11410333
1,15699505,132,132,19,8,15698438
0,2395872,70,70,41,18,2393881
1,1946524,66,66,31,8,1945502
0,15368259,129,129,19,11,15366826
0,14309948,123,123,37,8,14308893
1,4787700,76,76,19,8,4786735
1,7223642,27,27,1,25,7222040
0,10863636,109,109,38,8,10862464
0,13110183,49,49,2,7,13108690
0,1537359,16,16,6,7,1535937
1,6917763,93,93,20,11,6916226
1,14082326,120,120,19,11,14081394
0,9633706,104,104,20,11,9632528
1,5758988,24,24,0,25,5757861
1,81654,9,9,18,21,80512
1,23853903,180,180,38,12,23852545
1,16962662,144,144,19,12,16961430
1,174089,4,4,34,22,167799
1,3888303,19,19,43,25,3887290
1,12055523,115,115,20,8,12054483
1,99081,2,2,34,0,91365
1,7438734,97,97,19,8,7437391
0,4822884,23,23,17,25,4821965
0,15575248,131,131,19,11,15573908
0,13113318,50,50,9,25,13110727
1,9950434,107,107,20,8,9949362
1,8353309,100,100,23,11,8351207
1,21338975,167,167,23,12,21337707
1,16290323,139,139,40,26,16287284
1,8749,187,187,23,23,7319
1,24325727,183,183,19,5,24324600
1,14737741,52,52,14,7,14736827
0,8123260,35,35,30,20,8119900
0,22034406,172,172,20,5,22033199
0,7470439,31,31,0,7,7468958
1,8082833,98,98,25,18,8078484
1,1555909,17,17,7,7,1553879
0,18805214,151,151,20,12,18803756
0,16044124,134,134,38,11,16042352
1,1377494,64,64,43,8,1376007
1,7409936,30,30,5,17,7408131
1,19092299,154,154,19,12,19091385
0,8477276,37,37,16,25,8475756
1,3748838,73,73,19,8,3747495
1,16306157,140,140,20,8,16305157
1,7726763,34,34,43,7,7725846
0,12245091,116,116,20,11,12243976
0,20537413,161,161,19,12,20536571
0,3991758,6,6,2,1,3988690
0,5631591,83,83,23,8,5630353
1,11526257,43,43,8,7,11525184
1,9713721,105,105,20,8,9711766
0,21494170,168,168,19,12,21492995
0,16917457,142,142,39,12,16914834
0,22370663,173,173,39,5,22368995
1,9818594,39,39,0,25,9817575
1,15205645,128,128,42,11,15204587
0,1190069,63,63,39,11,1189272
1,6206204,25,25,44,7,6205003
0,196430,5,5,34,10,190759
1,6407978,87,87,19,11,6406782
0,3320883,71,71,23,6,3319447
1,1394797,65,65,20,8,1393953
0,20921047,165,165,39,12,20919837
0,23094018,178,178,20,12,23092635
1,2196289,69,69,32,13,2194207
1,5133342,7,7,34,16,5130638
0,1681418,12,12,20,15,1679283
0,13085487,48,48,13,7,13081270
0,19533804,158,158,21,18,19532201
0,9534947,103,103,27,13,9531795
1,1115867,10,10,20,9,1114074
1,15572469,130,130,20,8,15571309
1,157156,55,55,19,11,156131
0,20629260,162,162,19,12,20624929
0,9897110,106,106,21,13,9895189
0,20644984,164,164,20,12,20643740
0,21910490,171,171,39,12,21909174
1,13184258,51,51,30,20,13181388
1,11528056,44,44,0,7,11526539
0,5694837,85,85,38,8,5693386
1,10166666,40,40,3,25,10162488
1,18902845,152,152,20,5,18901746
1,16194865,137,137,38,11,16193285
1,19068634,153,153,19,5,19067516
1,17510816,149,149,19,5,17509830
1,24166126,181,181,19,5,24164795
1,20643501,163,163,25,13,20641411
1,15718387,133,133,38,8,15717122
0,12991286,47,47,30,20,12990102
1,9281160,38,38,30,20,9279771
0,2148612,68,68,19,11,2147431
0,1535813,15,15,43,7,1533903
1,12080076,46,46,4,25,12076498
0,20186152,160,160,19,12,20185019
1,14784791,127,127,38,11,14783577
1,23555821,179,179,19,5,23554982
0,17302256,147,147,31,12,17300595
0,17931183,150,150,20,5,17930112
1,8501731,101,101,20,11,8500823
0,7252507,28,28,15,20,7251456
0,14313028,124,124,37,8,14311819
1,22703905,176,176,21,13,22702368
1,690524,0,0,18,3,690027
1,10473550,42,42,2,25,10471814
0,13564907,118,118,20,11,13563621
1,9395484,102,102,19,11,9394522
1,13800591,119,119,28,18,13799374
1,5535594,81,81,38,8,5533789
0,4961093,77,77,20,11,4960051
1,6835055,92,92,20,8,6834118
1,1983400,67,67,31,8,1981871
0,19933346,159,159,39,12,19929547
0,578294,57,57,38,8,576495
1,21500635,169,169,38,12,21499448
0,21207146,166,166,19,5,21206232
0,7436601,96,96,29,13,7431780
1,24417944,184,184,38,5,24416316
1,990467,14,14,13,25,986793
1,17430624,148,148,36,12,17429500
0,39504,54,54,20,11,38457
1,5654798,84,84,21,18,5652840
0,1988897,13,13,20,15,1987326
0,3668916,72,72,45,18,3665455
1,16629275,141,141,19,12,16628019
1,5418484,80,80,33,11,5417666
