Gene_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
1,3818,116,0,2061,1
0,497232,54,4,497002,0
1,1362603,66,0,1360342,0
1,10034,9,0,9492,0
1,705460,55,0,703286,0
1,720,117,0,1,0
1,560632,58,0,560198,0
1,160581,125,0,159610,1
1,2942,38,0,882,1
1,53693,61,0,52560,1
1,1058918,107,0,1056777,0
1,1193345,104,0,1191366,0
1,590889,94,0,588715,1
1,2356776,5,0,2355799,0
1,5081,19,0,2874,1
1,82404,8,0,80149,1
1,3053,22,0,873,0
1,501852,63,0,499696,1
1,195717,4,0,194815,0
1,454212,110,0,451945,1
1,1166328,33,0,1164352,1
1,114991,84,0,114542,1
1,161676,78,0,160684,1
1,2832,57,0,619,0
1,26356,46,0,24182,1
1,603844,95,0,602780,1
1,60797,32,0,58671,1
1,508321,37,0,506186,0
1,29015,29,0,27780,1
1,646319,101,0,643902,0
1,395040,109,0,392911,1
1,2179419,98,0,2176948,1
1,742170,80,0,739927,0
1,203063,81,0,200871,0
1,9199,103,0,7001,1
1,606833,40,0,604902,0
1,53186,23,0,51024,0
0,12912,2,1,12295,0
1,5374,106,0,4073,1
1,346367,45,0,344166,1
0,551749,35,4,551012,0
1,656983,74,0,654773,0
0,302402,49,4,301785,1
1,18169,7,0,16115,1
1,2355697,99,0,2354525,0
1,141673,126,0,140918,1
1,38921,64,0,36609,1
0,356850,24,4,356083,1
1,246323,70,0,244452,1
1,258202,87,0,255983,1
1,802663,62,0,801878,0
1,628270,41,0,627785,1
1,1105132,105,0,1103840,1
0,1157244,30,3,1157023,0
1,2001346,68,0,1998842,0
1,122127,119,0,120202,0
1,32651,28,0,31587,1
1,576256,1,0,575726,0
1,13846,11,0,12761,0
1,69895,3,0,67685,1
1,292285,128,0,290090,1
1,479217,79,0,477172,0
1,967593,59,0,965515,1
1,18788,27,0,16752,1
1,1431,21,0,1,0
1,843337,67,0,841178,0
1,27802,123,0,25553,1
0,521,0,4,3,1
1,149082,120,0,147823,0
1,630544,12,0,630077,0
1,85717,43,0,84713,1
1,2356,6,0,188,0
0,116089,77,4,115388,1
1,5373,102,0,3175,0
1,414917,90,0,412986,0
1,551038,42,0,548948,0
1,879776,20,0,877512,0
1,16562,25,0,16113,1
1,522056,129,0,520707,0
1,573072,92,0,571858,0
1,8796,48,0,6766,1
1,194168,88,0,192141,0
1,804175,50,0,801998,0
1,7341,15,0,5542,1
1,1092022,122,0,1090076,1
1,853635,113,0,852247,0
1,6731,39,0,4560,1
1,24063,89,0,21859,0
0,569,76,4,3,1
1,605835,112,0,604711,1
1,20468,93,0,18309,1
1,47761,115,0,45575,0
1,80858,13,0,80019,1
1,143770,130,0,141896,0
1,40865,17,0,38190,1
1,17708,31,0,16425,1
1,107570,34,0,105642,1
1,238993,71,0,236726,1
1,5239,53,0,3059,1
1,2117,26,0,3,1
1,45873,85,0,43711,1
1,305003,100,0,302736,0
1,724179,14,0,722086,0
1,564263,36,0,562332,1
1,487684,132,0,485708,0
1,9794,121,0,7884,1
1,395811,52,0,393328,0
1,399746,91,0,397836,0
1,510087,18,0,508918,0
1,640806,111,0,638620,0
1,630340,44,0,629867,0
1,45587,118,0,43530,1
1,12118,56,0,9896,0
0,591642,60,4,591283,1
1,28251,114,0,27310,0
1,15656,51,0,13635,1
1,551317,82,0,549344,0
1,2323,69,0,1850,0
1,17469,86,0,15220,0
1,2747,83,0,2046,0
1,1525088,97,0,1523784,1
1,1220025,96,0,1218841,0
1,1560715,16,0,1558235,1
1,8315,10,0,7779,1
1,415880,47,0,413892,0
0,352533,108,4,352018,1
1,429,127,0,1,0
0,461012,73,3,460530,0
1,216636,72,0,214564,1
1,61722,124,0,61057,1
1,111044,131,0,109113,0
0,875271,75,2,874933,0
1,1428134,65,0,1426182,0
