Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,0,1097,13,7,1,0
0,0,30308,54,6,27168,1
1,0,81368,21,2,80808,1
0,0,763,10,1,5,0
0,0,703218,19,8,701626,0
1,0,5286,81,2,4336,1
1,0,93861,100,2,92599,1
0,0,716461,50,6,713525,0
0,0,581462,112,5,578019,0
1,0,213521,149,2,212382,0
1,0,38881,133,2,36347,0
0,0,302755,62,8,301802,0
0,0,83014,122,8,81473,1
0,0,720,141,8,1,1
0,0,666404,22,8,665952,0
1,0,30302,0,2,29316,1
1,0,5807,131,2,3882,1
0,0,140526,98,7,137425,1
0,0,9728,43,6,6585,0
0,0,12029,48,8,11478,0
1,0,6579,69,2,5257,1
1,0,4234,77,2,3116,1
0,0,100844,35,7,99663,0
0,1,54155,60,6,50976,1
1,0,929052,124,2,925927,0
0,0,4123,89,5,1628,1
0,0,297517,80,6,294389,0
1,0,8113,66,2,5945,0
0,0,4229,138,6,1371,1
0,0,35758,6,7,35156,1
0,0,1206,16,8,1,0
1,0,789292,96,2,788021,0
1,0,53098,127,2,49949,1
1,0,99066,113,2,97825,1
0,0,506906,101,0,503742,0
0,0,1289,11,8,3,0
0,0,546,143,8,1,1
1,0,383983,5,2,383429,1
0,0,37772,136,6,34755,1
1,0,57661,45,2,55166,1
0,0,642289,108,6,639173,0
1,0,8781,28,2,5653,0
0,0,599,1,7,3,0
1,0,201983,147,2,197949,0
1,0,341238,29,2,338959,1
0,0,227216,78,8,225387,0
1,0,5181,105,2,4192,0
1,0,99079,55,2,97820,1
0,0,43791,73,6,40663,1
1,0,46653,87,2,44743,1
0,0,521345,25,6,518232,0
0,0,81855,146,6,78709,1
1,0,96937,121,2,96035,1
0,0,1771,20,8,5,0
0,0,9252,128,8,7177,0
0,0,1005,18,8,1,1
1,0,573456,49,2,572590,0
1,0,552643,118,2,550361,1
1,0,1017672,51,2,1015075,0
0,0,1291,14,8,11,1
0,0,55385,130,6,52233,1
1,0,6751,106,2,5450,0
1,0,3425,119,2,855,1
0,0,68231,99,6,65097,1
0,0,750258,9,7,748432,0
1,0,201286,39,2,199007,1
0,0,313484,153,6,310344,0
0,0,13944,64,5,11467,1
1,0,118859,97,2,115842,1
0,0,116617,57,6,113450,0
0,0,1126783,132,5,1124243,1
0,0,4790,125,6,1644,1
0,0,304,129,7,2,0
0,0,33235,7,8,30782,1
0,0,19635,115,6,16504,1
0,0,40231,111,7,38468,1
0,0,704,15,3,18,1
1,0,701522,72,2,698580,0
0,0,33620,86,6,30504,1
1,0,673825,83,2,670661,0
1,0,782421,65,2,781378,0
1,0,100486,56,2,98009,0
0,0,632799,52,6,629461,0
0,0,559272,82,6,556483,0
0,0,4270,38,5,1799,1
1,0,673601,75,2,670680,0
0,0,429068,84,6,425925,0
0,0,484,140,8,2,1
1,0,7065,71,2,6076,1
1,0,532553,154,2,531252,0
1,0,28960,2,2,27503,1
1,0,1651,94,2,830,1
0,0,307836,152,8,304756,0
0,0,1330,12,8,2,0
1,0,492209,24,2,489726,0
0,0,704396,17,8,703461,0
0,0,225838,92,6,222980,0
0,0,24175,40,6,21059,1
1,0,1482,107,2,1,0
1,0,3560,33,2,861,0
0,0,40333,120,6,37199,1
0,0,296392,26,6,293633,0
1,0,694715,135,2,691713,0
0,0,212280,148,8,211864,0
1,0,232598,155,2,230508,0
0,0,52289,85,6,48939,1
1,0,796646,63,2,794730,0
1,0,762911,104,2,760413,0
1,0,1815,93,2,1,0
0,0,11460,144,7,9091,1
1,0,767496,95,2,766105,0
1,0,341160,156,2,338881,1
0,0,135805,157,6,132644,0
1,0,458580,59,2,455587,0
1,0,2735,79,2,246,1
1,0,4884,53,2,1753,1
0,0,562767,61,6,559651,0
0,0,720169,30,6,717008,0
0,0,11360,91,6,8184,1
0,0,1011,8,8,1,0
0,0,7732,68,6,4595,0
0,0,696,116,7,1,0
0,0,153763,103,5,151067,1
0,0,329442,67,7,326975,0
0,0,5115,58,5,2545,1
0,0,315827,126,6,312663,0
1,0,36371,142,2,34218,1
0,0,326955,34,6,323962,0
0,0,6322,47,6,3197,1
0,0,772874,150,6,769737,0
1,0,74545,151,2,72053,1
0,0,220362,117,5,217744,0
1,0,40751,44,2,38379,1
0,0,5438,139,7,3198,1
0,0,8449,123,6,5315,1
1,0,99546,110,2,97369,0
1,0,11809,41,2,9641,0
1,0,8362,134,2,5834,0
0,0,96112,114,6,92984,1
1,0,7840,70,2,6842,1
1,0,16287,37,2,13156,1
1,0,371763,4,9,371065,1
0,0,3141,90,7,982,1
1,0,5564,42,2,2433,1
0,0,567659,27,1,567123,0
0,0,634208,32,8,633441,0
0,0,34862,88,1,34431,1
1,0,742903,102,2,741965,0
1,0,11203,46,2,8075,1
1,0,12199,145,2,10430,0
1,0,638513,74,2,636579,0
0,0,2165,137,7,1,1
1,0,676357,31,2,675068,0
0,0,46094,76,5,43491,1
1,0,301337,23,2,298548,1
0,0,48145,3,4,47690,1
0,0,11508,109,5,8902,1
0,0,1015710,36,6,1014604,0
