SportType,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,ParticipantLabel,TwitterUsername,Birthplace,UciRiderId,WeightKg,SportsTeam,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,ParticipantDescription,HeightCm,FreebaseId
0,6,,24316,0,0,,181239,0,15,33,97280,67.0,7,146238.0,33,0,104872,37281,24,186.0,19
2,1,67636.0,25790,0,13,,204366,13,7,19,68384,,17,140885.0,20,12,80872,55807,2,168.0,19
3,19,,17940,17,16,4499.0,138871,16,9,12,507857,59.0,26,135861.0,23,15,60701,6538,25,172.0,1
3,29,55907.0,20793,0,32,2918.0,168755,32,23,27,461093,73.0,23,,1,30,66627,16610,6,178.0,5
3,20,47973.0,17762,12,19,14793.0,140496,19,5,13,75592,52.0,8,142861.0,8,18,53958,4004,12,169.0,15
3,12,19630.0,10023,0,8,28543.0,140233,8,0,4,54679,61.0,26,,30,7,22431,794,22,175.0,7
3,12,19630.0,10023,0,8,28543.0,140233,8,0,4,54679,61.0,26,,30,7,22431,794,22,175.0,7
3,32,65462.0,24902,14,24,5529.0,185580,24,6,24,88143,67.0,9,,24,22,119310,37494,0,183.0,19
3,28,38086.0,5472,0,28,,135803,28,7,22,31273,,10,,6,26,23206,1905,3,,13
2,11,52495.0,19900,5,7,8437.0,141005,7,19,5,58947,65.0,0,134608.0,26,7,57565,14122,16,178.0,0
3,2,69634.0,26526,23,33,5000.0,194619,33,11,11,149727,66.0,13,146565.0,22,31,115790,45992,25,176.0,19
0,9,,9740,0,6,1264.0,138149,6,18,17,61428,,28,,9,6,14214,2141,27,,19
3,16,46958.0,13863,0,11,,140739,11,7,16,58761,72.0,12,,16,10,38022,2982,16,184.0,11
1,0,46381.0,18610,1,18,77168.0,137427,18,14,25,71557,62.0,19,133837.0,0,17,63999,12474,10,173.0,2
3,3,,22662,20,31,,170102,31,28,3,80188,,29,,32,29,79343,27277,15,170.0,19
3,17,66232.0,23948,10,14,,176305,14,4,20,109829,,1,,13,13,81941,37446,1,175.0,19
3,5,,25026,19,30,31358.0,198985,30,3,15,109855,54.0,15,141956.0,12,28,109700,58639,5,163.0,19
3,10,51883.0,19078,15,1,3652.0,130946,1,25,30,66347,60.0,16,,19,1,72799,10996,28,177.0,19
3,10,51883.0,19078,15,1,3652.0,130946,1,25,30,66347,60.0,16,,19,1,72799,10996,28,177.0,19
3,15,40311.0,12254,7,10,22968.0,140150,10,20,18,64445,58.0,24,135361.0,2,9,53220,3352,19,180.0,16
3,2,69634.0,26526,23,33,5000.0,194619,33,11,11,149727,66.0,13,146565.0,22,31,115790,45992,25,176.0,19
3,13,65688.0,24926,6,9,465450.0,198937,9,1,35,95844,60.0,6,,3,8,100412,58275,5,175.0,19
3,24,,27671,11,17,,206811,17,7,23,155026,,27,,15,16,121990,67824,20,,19
3,25,63024.0,23763,2,3,2760.0,193292,3,16,28,97805,66.0,22,,18,3,108136,42186,1,188.0,19
3,14,20041.0,6807,0,29,61270.0,140781,29,10,21,32596,67.0,26,125028.0,7,27,21225,114,21,182.0,8
3,27,22870.0,1646,22,27,,140614,27,7,29,32145,70.0,11,111647.0,29,25,19086,346,9,186.0,6
3,28,38086.0,5472,0,28,,135803,28,7,22,31273,,10,,6,26,23206,1905,3,,13
3,14,20041.0,6807,0,29,61270.0,140781,29,10,21,32596,67.0,26,125028.0,7,27,21225,114,21,182.0,8
3,4,22930.0,7279,8,12,11722.0,140229,12,21,1,58181,57.0,19,,5,11,30554,2741,17,170.0,12
0,35,70754.0,29492,4,5,,227948,5,17,10,236644,,20,145783.0,28,5,134569,82572,18,173.0,19
3,7,73687.0,27198,26,2,,205784,2,7,6,98207,65.0,18,143677.0,31,2,120019,69890,14,186.0,19
3,30,61775.0,23299,21,22,23252.0,164709,22,29,32,89223,68.0,16,,27,20,72207,25726,28,186.0,4
4,26,56041.0,20719,18,26,127549.0,174582,26,26,31,88889,65.0,24,135863.0,25,24,72449,18655,26,177.0,18
3,31,49272.0,17881,16,25,13864.0,140294,25,8,9,76092,56.0,5,,4,23,38092,4863,29,169.0,14
3,23,56938.0,20257,0,23,17205.0,167585,23,27,7,86480,64.0,4,133037.0,35,21,81851,16569,4,175.0,3
2,11,52495.0,19900,5,7,8437.0,141005,7,19,5,58947,65.0,0,134608.0,26,7,57565,14122,16,178.0,0
0,6,,24316,0,0,,181239,0,15,33,97280,67.0,7,146238.0,33,0,104872,37281,24,186.0,19
3,21,61536.0,23427,13,20,10153.0,177662,20,24,34,97741,65.0,21,,17,19,95079,27289,13,181.0,19
2,18,19558.0,3828,9,15,65423.0,140870,15,22,8,34012,69.0,25,113255.0,10,14,21215,264,7,182.0,9
3,34,41885.0,13080,24,34,142323.0,140628,34,12,14,64737,65.0,8,,21,32,58535,860,11,180.0,10
0,33,47214.0,16722,25,35,34792.0,140674,35,13,26,64531,71.0,14,132670.0,34,33,52973,6228,23,183.0,17
3,13,65688.0,24926,6,9,465450.0,198937,9,1,35,95844,60.0,6,,3,8,100412,58275,5,175.0,19
3,22,65227.0,26509,0,21,,194909,21,7,2,111440,57.0,2,146670.0,14,20,99609,46163,30,173.0,19
3,8,,29474,3,4,,215760,4,2,0,638202,,3,2502935.0,11,4,149604,92666,8,184.0,19
