SportType,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,ParticipantLabel,TwitterUsername,Birthplace,UciRiderId,WeightKg,SportsTeam,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,ParticipantDescription,HeightCm,FreebaseId
3,24,30163.0,10644.0,0,23,72926.0,140175,23,10,9,48801.0,62.0,10,126309.0,13,23,27518,,14,173,9
2,5,69634.0,26526.0,22,30,5000.0,194619,30,14,13,149727.0,66.0,13,146565.0,18,29,115790,45992.0,17,176,23
1,19,19558.0,3828.0,10,10,65423.0,140870,10,21,11,34012.0,69.0,20,113255.0,10,10,21215,264.0,10,182,10
2,22,27794.0,12923.0,13,20,156620.0,140821,20,23,7,58528.0,65.0,17,120895.0,14,19,36053,2961.0,15,176,16
3,26,3516.0,1303.0,0,29,31384.0,140584,29,13,8,,75.0,16,106895.0,7,28,12756,271.0,3,190,5
2,20,69190.0,25740.0,12,12,,196424,12,16,12,112082.0,,18,,27,11,115868,38195.0,8,175,23
2,29,60759.0,22794.0,7,6,37069.0,168760,6,3,1,86857.0,61.0,12,,15,6,81087,1527.0,18,177,23
2,25,30026.0,7147.0,17,24,140921.0,140611,24,24,14,57601.0,62.0,4,132499.0,19,24,32008,563.0,0,172,14
2,27,39842.0,12843.0,16,22,1311517.0,140292,22,8,28,67388.0,58.0,3,141955.0,20,21,57418,2276.0,7,166,18
2,20,69190.0,25740.0,12,12,,196424,12,16,12,112082.0,,18,,27,11,115868,38195.0,8,175,23
2,15,43338.0,12719.0,4,3,,140949,3,20,24,71758.0,66.0,17,,31,3,61115,7590.0,18,182,0
2,14,47066.0,16881.0,0,21,41605.0,140633,21,0,31,59614.0,,9,,1,20,32178,2530.0,22,175,17
3,1,49682.0,17893.0,0,28,39580.0,134456,28,12,4,553301.0,58.0,19,143135.0,30,27,65130,6242.0,4,172,20
2,10,22663.0,5789.0,3,2,1529344.0,140869,2,19,20,43936.0,69.0,10,126950.0,9,2,22017,713.0,2,186,8
2,8,60850.0,,0,13,,184787,13,9,5,94843.0,62.0,1,,4,12,83533,,11,164,23
2,20,69190.0,25740.0,12,12,,196424,12,16,12,112082.0,,18,,27,11,115868,38195.0,8,175,23
0,6,47686.0,17534.0,11,11,8603.0,140333,11,22,17,59773.0,72.0,15,142502.0,12,22,37589,2325.0,18,183,21
2,17,14221.0,333.0,14,15,45721.0,140862,15,5,18,24447.0,73.0,5,125333.0,23,14,9905,,20,186,4
0,30,47214.0,16722.0,23,31,34792.0,140674,31,15,25,64531.0,71.0,14,132670.0,28,30,52973,6228.0,16,183,19
2,18,69878.0,26378.0,9,9,,206876,9,9,21,162777.0,,7,,22,9,118440,61639.0,6,168,23
2,9,3132.0,1861.0,0,14,,140928,14,9,26,23069.0,69.0,8,,5,13,1472,288.0,20,175,7
2,3,16289.0,5.0,2,1,470645.0,140924,1,18,19,14575.0,61.0,11,103634.0,25,1,7005,38.0,18,177,12
2,2,3262.0,387.0,1,0,1397142.0,137456,0,17,15,518429.0,62.0,20,111578.0,6,0,1567,3.0,19,176,15
2,22,27794.0,12923.0,13,20,156620.0,140821,20,23,7,58528.0,65.0,17,120895.0,14,19,36053,2961.0,15,176,16
2,31,6154.0,267.0,20,27,110646.0,140757,27,26,16,25781.0,64.0,10,111595.0,11,27,3175,339.0,23,170,13
2,23,56938.0,20257.0,0,19,17205.0,167585,19,25,10,86480.0,64.0,6,133037.0,29,18,81851,16569.0,5,175,1
2,3,16289.0,5.0,2,1,470645.0,140924,1,18,19,14575.0,61.0,11,103634.0,25,1,7005,38.0,18,177,12
3,16,19255.0,3891.0,0,7,508772.0,140196,7,4,6,32532.0,71.0,10,113194.0,24,7,11292,716.0,21,183,6
2,31,6154.0,267.0,20,27,110646.0,140757,27,26,16,25781.0,64.0,10,111595.0,11,27,3175,339.0,23,170,13
2,13,65688.0,24926.0,5,4,465450.0,198937,4,1,30,95844.0,60.0,7,,0,4,100412,58275.0,6,175,23
2,12,59981.0,22676.0,8,8,,170164,8,9,27,95753.0,69.0,10,144170.0,16,8,81741,28781.0,13,182,23
3,0,28095.0,12823.0,18,25,,137337,25,11,0,58891.0,71.0,4,123794.0,8,25,34412,2322.0,0,182,11
2,22,27794.0,12923.0,13,20,156620.0,140821,20,23,7,58528.0,65.0,17,120895.0,14,19,36053,2961.0,15,176,16
2,28,61775.0,23299.0,21,17,23252.0,164709,17,27,29,89223.0,68.0,15,,21,16,72207,25726.0,18,186,2
2,7,52879.0,19448.0,15,16,15757.0,132428,16,6,23,73817.0,,19,1303134.0,17,15,71390,7695.0,9,184,22
2,21,,28521.0,0,18,704.0,206257,18,7,3,154218.0,,14,,26,17,118544,70377.0,1,174,23
2,11,53528.0,18739.0,6,5,7211.0,133831,5,2,22,79882.0,62.0,2,134145.0,2,5,67159,9344.0,12,181,3
3,0,28095.0,12823.0,18,25,,137337,25,11,0,58891.0,71.0,4,123794.0,8,25,34412,2322.0,0,182,11
1,19,19558.0,3828.0,10,10,65423.0,140870,10,21,11,34012.0,69.0,20,113255.0,10,10,21215,264.0,10,182,10
0,30,47214.0,16722.0,23,31,34792.0,140674,31,15,25,64531.0,71.0,14,132670.0,28,30,52973,6228.0,16,183,19
2,4,89309.0,29699.0,19,26,,211947,26,9,2,353375.0,,0,,3,26,144923,81835.0,6,174,23
2,5,69634.0,26526.0,22,30,5000.0,194619,30,14,13,149727.0,66.0,13,146565.0,18,29,115790,45992.0,17,176,23
2,5,69634.0,26526.0,22,30,5000.0,194619,30,14,13,149727.0,66.0,13,146565.0,18,29,115790,45992.0,17,176,23
