Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
1,121,2058,40,1,0
1,114,326018,97,323649,0
1,14,476915,37,476025,0
1,70,114401,59,112584,1
1,91,2332647,195,2330257,0
1,140,80177,230,78453,1
1,92,8014,79,5234,1
1,60,557,85,3,1
1,71,74182,14,73355,1
0,49,346408,201,346178,1
1,77,921959,60,919047,0
1,8,1129891,141,1128836,0
1,82,1242,4,1100,0
1,75,40192,221,38090,1
1,123,612,67,103,1
1,136,929,170,3,0
1,120,9109,148,6119,1
1,120,35665,146,33647,1
1,33,223303,151,221369,0
1,87,30441,191,27628,1
1,74,1639600,194,1637255,0
1,6,67398,219,66466,1
1,63,122795,35,121053,0
1,8,1121147,211,1120731,0
1,132,216652,229,216302,1
1,70,53404,239,53066,1
1,14,20561,115,20007,1
1,7,215357,58,214062,1
1,104,543960,132,542011,0
1,88,23503,234,21764,1
1,75,56787,222,55507,1
1,86,857583,104,854629,0
1,33,615828,182,612868,0
0,47,282,113,1,1
1,113,640889,119,638082,0
1,11,119855,177,118959,1
0,109,202126,72,201683,0
0,35,157631,180,157230,0
0,44,218,150,3,0
1,61,578507,183,577500,0
0,73,1238,209,288,1
1,58,12423,123,10753,1
1,140,100170,26,98553,1
1,19,74123,118,73479,1
1,59,17384,120,15111,1
1,22,3521,171,564,0
0,95,1415811,19,1415230,0
1,133,229154,238,227562,0
1,23,47729,117,46503,1
1,9,10942,196,10619,1
1,69,45868,107,44981,1
1,137,10805,101,10074,0
1,120,706956,36,704473,0
0,129,4265,61,3411,0
1,98,8105,55,5802,1
1,17,1034156,70,1031220,0
1,68,1842055,205,1840004,0
1,20,7838,212,7741,1
1,15,4117,6,2168,1
0,116,1411,1,1097,0
1,71,51751,102,49106,0
1,0,2184398,81,2181870,1
1,19,76293,27,74227,1
1,112,28437,215,25624,1
1,20,1399795,23,1397420,0
1,58,6985,77,4031,1
1,28,46358,87,44298,1
1,108,1122061,140,1121249,0
1,56,57738,223,56893,1
1,123,11717,172,11061,0
1,107,629366,204,627348,0
1,130,34648,28,31775,1
1,91,41471,152,39177,1
1,134,42976,227,42014,1
1,31,2400,162,211,0
1,40,3058,134,647,0
0,24,71748,32,71398,1
0,119,202086,210,201577,0
1,84,368350,47,367493,0
1,56,83691,192,83233,1
1,128,33312,75,32212,1
1,89,1050263,154,1049748,0
1,53,358301,168,355485,0
1,7,23148,135,20869,1
1,130,1686,2,1,1
1,38,1381,98,2,0
0,93,1130987,142,1130442,0
1,132,33975,34,32362,1
1,83,47107,231,46339,1
1,118,25397,147,23602,1
1,6,2035,125,1445,0
1,77,254233,176,251879,1
1,42,6051,105,3256,0
1,3,270124,225,267929,0
1,43,3364,166,1112,0
1,2,8634,56,6310,0
1,121,27721,86,25157,0
1,61,88109,216,87465,0
1,43,794,8,3,0
1,118,36817,145,35931,1
0,32,2248,20,1520,1
1,74,903359,156,902475,0
1,2,513917,236,513297,0
1,50,24472,184,23342,1
1,140,46075,232,44094,1
1,30,4117,224,1346,1
1,115,1991,174,321,1
1,24,7580,82,6150,1
1,0,281858,149,279111,0
0,52,581031,237,580762,0
1,55,783875,65,783721,0
1,46,228,17,1,0
1,139,6341,57,3546,0
