Entity_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,1169344,41,41,1,26,1158920,0
0,7614,2,0,0,2,1030,1
0,609988,158,158,1,124,605538,1
0,1211309,163,163,1,132,1200861,0
0,71128,82,82,1,18,60752,1
1,18759,152,152,3,76,8548,1
0,52109,56,56,1,62,41772,1
0,64484,128,128,2,97,55971,1
0,424181,139,139,1,67,413739,0
0,225503,223,223,1,116,215040,0
1,1026196,142,142,3,36,1015775,0
0,330111,110,110,1,74,322282,0
0,458221,51,51,1,110,447770,1
0,685626,120,120,1,83,675331,0
0,18045,174,174,1,68,7588,0
0,108909,131,131,1,52,98518,1
0,47512,125,125,1,15,39092,1
0,775910,132,132,1,92,765552,0
0,22103,171,171,1,54,14689,1
0,332104,168,168,1,54,321641,0
0,7780,8,8,2,123,2,1
1,11317,87,87,3,41,5433,1
0,573981,159,159,1,124,563530,0
0,459416,62,62,1,139,449073,1
1,5380,25,25,3,27,2,1
1,214744,9,9,3,39,206012,1
0,31572,76,76,1,25,21127,1
0,63253,175,175,1,78,52823,1
0,286931,192,192,1,97,283691,0
0,149649,116,116,2,26,143326,0
0,14171,180,180,2,61,4392,1
0,11492,32,32,1,58,5925,1
0,26884,61,61,1,53,16478,1
0,45907,207,207,2,17,38978,1
0,13390,161,161,1,125,2987,0
0,193120,185,185,2,96,183374,0
0,9732,193,193,1,19,1,0
1,1233807,178,178,3,136,1224493,1
0,62951,95,95,1,87,52593,1
0,970184,186,186,1,85,959784,1
0,138304,216,216,1,51,127910,1
0,13701,153,153,1,81,3220,1
0,689245,14,14,1,15,678794,0
0,5595,6,6,2,137,1,1
0,213628,101,101,1,129,203258,0
1,24168,113,113,3,23,13795,0
0,31191,122,122,1,55,20812,1
0,3034,92,92,2,88,2,0
0,347060,220,220,2,139,339083,1
1,127990,150,150,3,122,117557,1
0,390898,219,219,1,74,380639,1
0,60872,208,208,1,22,50520,1
0,225073,35,35,1,40,217409,1
0,842551,213,213,1,6,832124,0
0,475972,78,78,2,84,470489,0
0,534898,114,114,2,103,529028,1
0,59093,70,70,1,66,53591,1
0,2345983,166,166,1,22,2335691,0
0,33876,201,201,1,72,23431,0
0,2017022,4,4,2,101,2011656,0
1,796435,42,42,3,135,786038,0
0,908777,38,38,1,102,898398,0
1,1020605,202,202,3,20,1014285,0
1,25728,94,94,3,40,21774,1
0,13163,66,66,1,50,2601,0
1,789447,214,214,3,113,779023,0
0,7954,194,194,2,69,2,0
1,743366,12,12,3,93,733188,0
0,1028641,19,19,1,100,1018586,0
0,69531,218,218,1,51,59128,1
0,5243,69,69,1,47,2,0
0,9826,22,22,2,114,2831,0
1,12411,134,134,3,3,1858,1
0,6482,3,3,2,69,3,0
0,78813,198,198,1,140,72588,1
0,12312,197,197,2,7,7990,1
0,40663,199,199,1,125,30197,1
0,51361,102,102,1,40,40991,1
0,288082,210,210,1,94,277652,0
0,328819,65,65,1,71,318764,0
0,127475,172,172,1,90,117093,1
0,32850,188,188,1,100,28143,1
0,207695,53,53,1,111,204667,0
0,36235,217,217,1,52,25871,1
0,11147,33,33,2,117,4143,0
1,1351353,155,155,3,136,1340908,0
0,30892,75,75,1,124,20468,0
0,745319,40,40,1,134,734937,0
0,353296,98,98,2,7,348857,1
0,7476,0,1,2,103,127,0
0,21015,77,77,1,64,14486,1
0,5481,156,156,2,38,1,0
0,5231,27,27,1,133,1,1
0,78745,64,64,1,1,68291,1
1,574518,143,143,3,98,565420,0
1,27113,195,195,3,138,16665,1
1,647211,117,117,3,136,636820,0
0,802151,13,13,1,115,791817,1
0,65194,21,21,1,42,54806,0
0,6388,124,124,1,128,323,1
1,296067,111,111,3,75,288610,0
0,62219,39,39,1,133,51870,0
0,19188,34,34,1,16,11071,1
0,34912,170,170,1,132,27714,1
0,239506,162,162,2,71,231410,0
1,595061,49,49,3,90,584655,0
1,52443,44,44,3,20,42064,1
0,5929,151,151,1,13,3,0
1,35770,43,43,3,63,25298,1
0,5956,20,20,1,134,733,0
0,586972,47,47,1,12,576509,0
0,88568,200,200,1,57,78117,1
1,13525,109,109,3,97,3143,0
0,623676,91,91,1,22,613279,0
0,11537,176,176,1,86,1098,1
0,505288,11,11,1,130,494840,0
0,39653,24,24,1,62,33702,1
0,158064,215,215,1,99,147781,1
0,54831,126,126,1,97,44338,1
0,1392969,106,106,1,0,1382515,1
0,2345195,167,167,1,140,2334792,0
0,5893,36,36,1,14,1,0
0,1174010,190,190,2,100,1168695,0
0,563694,144,144,1,89,556752,1
0,89016,119,119,1,14,78604,1
0,487135,86,86,1,109,478468,1
0,3341,191,191,2,91,3,0
0,5467,74,74,2,77,2,0
0,6015,148,148,2,30,103,1
0,6046,80,80,2,42,2,1
0,24830,103,103,1,40,14646,1
0,548110,154,154,1,80,541838,0
0,8611,118,118,1,49,3,0
0,940675,90,90,1,35,930293,1
1,566844,204,204,3,80,556376,0
0,94486,147,147,1,56,84056,1
0,19647,55,55,1,108,9304,1
0,1142692,89,89,2,29,1136952,1
0,17336,68,68,1,79,6891,1
1,6309,71,71,3,22,1,1
0,6144,63,63,1,43,3,0
0,818767,121,121,1,121,810066,0
0,252780,212,212,1,112,242332,0
1,6275,17,17,3,49,3,0
1,9243,23,23,3,11,3028,1
0,230403,211,211,1,67,222871,0
0,638425,173,173,1,47,628055,0
0,54812,5,5,1,106,50482,1
1,5690,79,79,3,127,3,0
0,6239,136,136,2,62,3,1
1,47046,58,58,3,70,36631,0
0,1352921,108,108,1,48,1342479,0
0,536745,48,48,1,104,531839,0
1,1415129,7,7,3,136,1406220,0
0,53597,31,31,1,0,43140,1
0,6877,30,30,1,83,2,0
0,82139,164,164,1,21,71676,1
1,571446,182,182,3,65,561022,1
0,97751,81,81,2,83,91272,1
1,40882,93,93,3,95,30431,1
0,64329,99,99,1,131,53935,0
0,19778,84,84,1,94,9420,0
0,409474,181,181,1,24,399029,1
0,501262,104,104,1,24,494255,0
0,1441553,107,107,1,35,1431102,0
0,796416,189,189,1,5,789632,0
0,18102,16,16,1,119,7759,0
0,635740,97,97,1,33,625292,0
0,29124,137,137,1,14,18715,1
0,510863,221,221,1,10,500484,0
0,347622,85,85,1,110,337195,0
1,8750,10,10,3,107,352,0
1,12299,146,146,3,49,2049,1
0,816094,67,67,1,92,805796,0
0,746001,145,145,1,8,735628,0
0,18044,37,37,1,10,13358,1
0,902706,96,96,1,32,892584,0
0,656937,157,157,1,1,646543,0
0,406298,26,26,1,7,400980,0
0,490459,112,112,1,49,480062,0
0,188433,129,129,1,124,178087,1
0,191125,46,46,1,13,180626,0
0,400877,72,72,2,7,396354,0
0,571102,15,15,1,105,563645,0
0,508446,160,160,1,67,497998,0
0,22907,1,2,2,22,17262,1
1,192236,130,130,3,46,185259,1
0,7036,196,196,1,126,1,1
0,1048694,138,138,1,37,1038261,0
1,14711,135,135,3,137,4479,1
0,5905,54,54,1,55,1,1
1,8139,179,179,3,59,1,1
1,15047,123,123,3,42,4680,1
0,610602,141,141,1,126,600223,0
0,46671,100,100,1,43,36289,1
0,138943,50,50,2,68,131411,0
0,682115,115,115,1,24,675892,0
0,656716,88,88,1,5,646334,0
0,56068,177,177,1,24,45617,0
0,2370774,165,165,1,94,2360422,0
0,107347,18,18,1,120,100946,1
1,364951,60,60,3,40,356759,1
1,79790,209,209,3,4,69342,1
0,698669,83,83,1,68,688299,0
0,545365,222,222,1,82,535076,0
0,7213,73,73,1,31,1,1
1,12287,133,133,3,6,1776,1
0,572820,184,184,1,128,566630,0
0,1301475,105,105,1,57,1291027,1
0,53674,205,205,1,140,43286,1
0,7785,140,140,2,45,1726,0
0,1049310,59,59,1,44,1038856,0
0,22220,224,224,1,105,11901,1
1,934030,203,203,3,28,926063,1
0,243214,169,169,1,54,232769,0
0,76316,29,29,2,78,71757,1
0,5029,28,28,2,73,2,1
0,780586,127,127,1,9,770171,0
0,12152,206,206,1,118,4158,1
0,102066,45,45,1,128,91621,1
0,19621,52,52,1,120,13649,1
0,72152,149,149,1,60,61794,1
0,600090,183,183,1,103,589645,1
1,9497,187,187,3,34,3,0
0,364064,57,57,1,24,353619,1
