Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Entity_Type,Genomic_Start_Position,Strand_Orientation
0,320234,148,148,0,319014,0
0,81801,40,40,0,80905,1
1,15410,226,226,1,14340,1
0,2162466,66,66,0,2161639,0
0,749937,95,95,0,749176,1
0,1098996,239,239,0,1097833,1
1,432941,203,203,1,432381,1
0,1077230,227,227,0,1076451,0
0,33929,170,170,0,32910,1
0,1422032,55,55,0,1421220,0
1,652441,52,52,1,651695,1
0,402463,87,87,0,401243,0
0,18040,109,109,0,16886,0
0,394684,22,22,0,394031,1
0,1153229,240,240,0,1151997,0
0,750678,157,157,0,750031,1
0,9906,4,4,0,8728,1
0,12258,156,156,0,11053,1
0,2202990,65,65,0,2202343,1
0,1011398,160,160,0,1010715,0
0,375897,23,23,0,375253,0
0,946792,6,6,0,945539,1
0,4632,138,138,0,3406,1
1,563168,91,91,1,561921,1
1,493669,122,122,1,492404,1
0,749602,56,56,0,748862,1
0,1832,61,61,0,591,0
0,217780,244,244,0,216641,0
0,1088191,238,238,0,1087412,1
1,779639,96,96,1,778437,0
1,10709,218,218,1,9531,0
0,23056,194,194,0,22262,0
1,667923,94,94,1,666610,1
1,497406,34,34,1,496306,0
0,365512,36,36,0,364310,1
0,9985,152,152,0,9303,0
1,4174,29,29,1,2966,0
0,1057942,134,134,0,1056725,0
0,589228,206,206,0,588062,0
0,26139,27,27,0,25351,1
1,182780,42,42,1,181743,1
0,196658,242,242,0,195561,0
0,387281,11,11,0,386064,0
0,1897997,129,129,0,1897239,0
0,1860,164,164,0,1114,1
0,581117,205,205,0,580287,0
0,400728,177,177,0,399566,0
0,599280,204,204,0,598465,1
1,745129,163,163,1,744176,0
0,1428734,54,54,0,1428093,0
0,1968229,127,127,0,1967444,1
1,13702,26,26,1,12743,0
0,1193619,232,232,0,1192936,0
0,210588,243,243,0,209491,0
1,17599,79,79,1,16553,0
0,1049347,135,135,0,1048619,0
0,663709,106,106,0,662936,1
0,1471918,184,184,0,1470884,0
0,878597,144,144,0,877761,0
0,18090,98,98,0,17131,0
0,1783506,131,131,0,1782673,1
0,1194158,233,233,0,1193721,0
1,5205,99,99,1,4201,1
1,177073,107,107,1,175745,0
0,153559,235,235,0,152606,0
0,4472,216,216,0,3321,0
0,979496,117,117,0,978543,1
0,1905082,69,69,0,1904309,1
1,27009,45,45,1,25858,1
0,38006,197,197,0,37197,0
0,1221966,179,179,0,1220947,0
0,226729,43,43,0,226322,1
1,76658,39,39,1,76494,0
0,987733,115,115,0,987176,1
1,937169,159,159,1,936387,1
0,416187,123,123,0,415021,1
