PROFESSION,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,NATIONALITY,BIRTH_PLACE,UCI_RIDER_ID,LANGUAGES,WEIGHT_KG,BIRTH_DATE,SPORTS_TEAM,LAST_NAME,FIRST_NAME,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,HEIGHT_CM
0,24,,32766.0,20,,262232,20,3,1,685146.0,2,,24,5,5,20,155297,126678.0,177.0
0,12,,13661.0,13,,125431,13,7,12,81142.0,4,,3,14,6,12,36976,5018.0,
0,11,65209.0,23425.0,14,1546.0,176686,14,7,12,100233.0,4,,16,8,7,13,87208,27230.0,179.0
0,16,58116.0,22910.0,21,15237.0,170625,21,3,2,99713.0,2,78.0,13,9,13,21,81488,27111.0,186.0
0,3,,21930.0,3,2272.0,171075,3,5,22,94033.0,4,,12,15,2,2,89029,31208.0,194.0
0,20,58495.0,22516.0,4,,168779,4,12,21,86813.0,1,72.0,14,6,10,3,78350,16783.0,181.0
0,0,69634.0,26526.0,22,5000.0,194619,22,10,8,149727.0,7,66.0,20,11,15,22,115790,45992.0,176.0
0,2,52038.0,20697.0,1,9866.0,156131,1,4,17,86630.0,3,68.0,8,3,1,0,68186,20584.0,180.0
0,12,,13661.0,13,,125431,13,7,12,81142.0,4,,3,14,6,12,36976,5018.0,
0,5,14221.0,333.0,15,45721.0,140862,15,11,15,24447.0,8,73.0,0,0,19,14,9905,,186.0
0,19,40879.0,10276.0,2,,139967,2,0,10,44437.0,4,66.0,2,21,13,1,18003,1987.0,176.0
0,21,47214.0,16722.0,24,34792.0,140674,24,0,18,64531.0,4,71.0,6,12,22,24,52973,6228.0,183.0
0,6,62165.0,23497.0,8,18436.0,168768,8,11,4,86585.0,8,,15,4,4,7,74156,11828.0,183.0
0,17,26009.0,12193.0,18,1940308.0,140797,18,9,23,54603.0,6,78.0,5,1,17,18,30229,784.0,184.0
0,24,,32766.0,20,,262232,20,3,1,685146.0,2,,24,5,5,20,155297,126678.0,177.0
0,15,57077.0,,11,,177049,11,8,3,,5,,10,23,16,10,67563,18601.0,175.0
0,14,24206.0,3617.0,0,,140392,0,6,20,32602.0,4,80.0,1,2,13,16,21036,3160.0,
0,16,58116.0,22910.0,21,15237.0,170625,21,3,2,99713.0,2,78.0,13,9,13,21,81488,27111.0,186.0
0,0,69634.0,26526.0,22,5000.0,194619,22,10,8,149727.0,7,66.0,20,11,15,22,115790,45992.0,176.0
1,10,39287.0,13240.0,6,66281.0,140835,6,4,7,55029.0,3,67.0,4,7,21,5,21075,1310.0,178.0
0,8,69190.0,25740.0,10,,196424,10,2,6,112082.0,0,,19,18,20,9,115868,38195.0,175.0
0,1,82827.0,30643.0,17,,217465,17,5,16,227110.0,4,,23,19,9,17,151350,97547.0,184.0
0,4,62573.0,23503.0,5,54522.0,181270,5,1,19,92264.0,8,63.0,17,22,11,4,91205,27124.0,174.0
0,4,62573.0,23503.0,5,54522.0,181270,5,1,19,92264.0,8,63.0,17,22,11,4,91205,27124.0,174.0
0,18,83295.0,28377.0,19,84000.0,212377,19,0,0,587366.0,4,62.0,22,17,3,19,141854,84019.0,171.0
0,9,62729.0,23558.0,12,20811.0,181257,12,2,9,97437.0,0,75.0,11,13,0,11,101407,27121.0,192.0
0,22,66570.0,27708.0,23,,202331,23,12,13,109775.0,1,58.0,21,24,14,23,119805,65025.0,170.0
0,13,55710.0,21145.0,16,20655.0,132339,16,10,11,86863.0,7,70.0,9,20,12,15,71405,16687.0,185.0
0,23,49495.0,23426.0,7,29588.0,177246,7,5,5,87061.0,4,,18,16,8,6,88470,37748.0,181.0
0,7,43343.0,18233.0,9,25211.0,140123,9,0,14,68235.0,4,,7,10,18,8,52559,5059.0,186.0
