Entity_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,1174010,188,2,1168695,0
0,7476,0,2,127,0
0,609988,156,1,605538,1
1,1168419,161,3,1158055,1
0,1169344,40,1,1158920,0
1,12299,145,3,2049,1
0,52109,58,1,41772,1
0,18044,36,1,13358,1
0,424181,139,1,413739,0
0,225503,222,1,215040,0
0,940675,89,1,930293,1
0,330111,108,1,322282,0
0,458221,52,1,447770,1
0,328819,66,1,318764,0
0,5481,154,2,1,0
0,83617,101,1,73238,1
1,743366,12,3,733188,0
1,723117,130,3,714922,0
1,796435,42,3,786038,0
1,296067,109,3,288610,0
0,5595,7,2,1,1
0,818767,119,1,810066,0
0,573981,157,1,563530,0
0,390898,218,1,380639,1
0,6832,25,2,2,1
0,46065,190,1,35644,1
0,842551,211,1,832124,0
0,10005,175,2,1,1
0,78813,196,1,72588,1
0,149649,114,2,143326,0
0,816094,68,1,805796,0
1,11516,31,3,2172,0
0,26884,63,1,16478,1
0,22907,1,2,17262,1
0,5929,149,1,3,0
0,193120,183,2,183374,0
0,9732,191,1,1,0
0,970184,184,1,959784,1
0,213628,100,1,203258,0
1,647211,115,3,636820,0
0,138304,215,1,127910,1
1,18759,150,3,8548,1
0,328850,46,1,318795,0
0,6482,4,2,3,0
0,2345195,166,1,2334792,0
1,13525,107,3,3143,0
0,459416,64,1,449073,1
0,13412,85,1,3015,1
0,252973,112,1,245186,1
0,62951,94,1,52593,1
0,347060,219,2,339083,1
0,45907,205,2,38978,1
0,141214,131,1,130814,1
1,789447,212,3,779023,0
0,475972,78,2,470489,0
0,409474,179,1,399029,1
0,47512,123,1,39092,1
0,802151,13,1,791817,1
0,33876,199,1,23431,0
0,1717944,171,2,1709332,1
0,745319,39,1,734937,0
0,891588,19,1,881293,0
1,934030,201,3,926063,1
0,127475,172,1,117093,1
0,6144,65,1,3,0
0,31191,120,1,20812,1
0,7954,192,2,2,0
0,229560,213,1,219184,1
0,571102,14,1,563645,0
0,69531,217,1,59128,1
0,13163,67,1,2601,0
0,5956,21,1,733,0
1,12287,133,3,1776,1
0,7614,2,0,1030,1
0,54831,125,1,44338,1
0,2370774,164,1,2360422,0
0,40663,197,1,30197,1
0,24830,102,1,14646,1
1,79790,207,3,69342,1
0,64484,127,2,55971,1
1,127990,148,3,117557,1
0,32850,186,1,28143,1
0,207695,54,1,204667,0
0,36235,216,1,25871,1
0,11492,32,1,5925,1
1,1233807,177,3,1224493,1
0,30892,75,1,20468,0
0,54812,6,1,50482,1
0,311779,49,1,306168,0
0,53674,203,1,43286,1
0,21015,77,1,14486,1
0,25969,153,1,15590,1
1,9243,23,3,3028,1
0,89016,117,1,78604,1
1,574518,142,3,565420,0
1,27113,193,3,16665,1
0,71128,82,1,60752,1
0,347622,84,1,337195,0
0,65194,22,1,54806,0
1,15047,121,3,4680,1
0,243214,168,1,232769,0
0,42086,37,1,31758,0
0,11147,33,2,4143,0
0,22103,170,1,14689,1
0,239506,160,2,231410,0
1,217558,3,3,208664,0
0,1049310,61,1,1038856,0
0,8611,116,1,3,0
0,62219,38,1,51870,0
0,11755,17,1,1460,0
0,586972,45,1,576509,0
0,88568,198,1,78117,1
1,11231,99,3,2115,1
0,623676,90,1,613279,0
0,63253,174,1,52823,1
0,505288,11,1,494840,0
0,780586,126,1,770171,0
0,158064,214,1,147781,1
0,12312,195,2,7990,1
0,1352921,106,1,1342479,0
0,353296,97,2,348857,1
0,13465,34,1,4539,0
0,1147531,122,1,1137248,0
1,595061,50,3,584655,0
0,1048694,138,1,1038261,0
1,214744,9,3,206012,1
0,3341,189,2,3,0
0,7213,73,1,1,1
0,225073,35,1,217409,1
0,5392,79,1,2,0
0,610602,141,1,600223,0
0,548110,151,1,541838,0
1,47046,60,3,36631,0
0,2017022,5,2,2011656,0
1,566844,202,3,556376,0
0,39653,24,1,33702,1
0,5905,55,1,1,1
1,1020605,200,3,1014285,0
0,17336,69,1,6891,1
0,18048,70,1,7666,0
0,19647,57,1,9304,1
0,796416,187,1,789632,0
0,252780,210,1,242332,0
0,18102,16,1,7759,0
1,8750,10,3,352,0
0,230403,209,1,222871,0
0,638425,173,1,628055,0
0,34341,15,2,26002,1
0,5467,74,2,2,0
1,14711,135,3,4479,1
0,5231,26,1,1,1
0,1301475,104,1,1291027,1
0,536745,47,1,531839,0
1,1351353,152,3,1340908,0
0,107347,18,1,100946,1
0,5029,28,2,2,1
0,82139,163,1,71676,1
0,534898,113,2,529028,1
0,97751,81,2,91272,1
0,1028641,20,1,1018586,0
0,64329,98,1,53935,0
0,6046,80,2,2,1
0,364064,59,1,353619,1
0,501262,103,1,494255,0
0,1392969,105,1,1382515,1
1,736142,224,3,726108,0
0,13390,159,1,2987,0
0,635740,96,1,625292,0
0,6239,136,2,3,1
0,510863,220,1,500484,0
0,288082,208,1,277652,0
0,12200,8,1,1905,1
0,7785,140,2,1726,0
0,775910,132,1,765552,0
0,424985,124,1,418893,0
1,11317,87,3,5433,1
0,487135,86,1,478468,1
0,656937,155,1,646543,0
0,400877,72,2,396354,0
0,490459,110,1,480062,0
0,188433,129,1,178087,1
0,34480,144,1,24017,1
0,76316,29,2,71757,1
0,22220,223,1,11901,1
0,508446,158,1,497998,0
0,1684949,56,1,1674489,1
0,72152,147,1,61794,1
0,7036,194,1,1,1
1,40882,92,3,30431,1
1,12411,134,3,1858,1
0,6131,48,1,890,0
1,8139,178,3,1,1
0,3514,111,1,3,0
0,563694,143,1,556752,1
0,3034,91,2,2,0
0,138943,51,2,131411,0
0,600090,181,1,589645,1
0,656716,88,1,646334,0
0,11537,176,1,1098,1
0,2345983,165,1,2335691,0
0,19621,53,1,13649,1
1,25728,93,3,21774,1
0,60872,206,1,50520,1
0,698669,83,1,688299,0
0,545365,221,1,535076,0
1,6309,71,3,1,1
1,7511,128,3,3,0
0,572820,182,1,566630,0
0,1211309,162,1,1200861,0
0,53597,30,1,43140,1
0,29124,137,1,18715,1
0,1848415,41,1,1838054,0
0,902706,95,1,892584,0
1,52443,43,3,42064,1
0,34912,169,1,27714,1
0,685626,118,1,675331,0
1,11957,27,3,1581,1
0,31572,76,1,21127,1
0,12152,204,1,4158,1
