GENE_SUBCLASS,GENOMIC_END_POSITION,GENE_DB_ID,GENE_LABEL,ENCODED_PROTEIN,GENE_TYPE,ORTHOLOGOUS_GENE,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION,HOST_TAXON
0,49137,88,78,1,0,0,9,46618,1,2
1,245828,93,83,2,1,7,10,243959,0,2
0,82510,103,93,1,0,31,12,79976,1,2
1,338001,131,121,2,1,18,16,335406,0,2
0,38197,128,118,1,0,6,16,35660,0,2
1,2211186,110,100,2,1,32,12,2208647,1,2
0,2284144,45,35,1,0,1,4,2281550,1,2
0,1278685,31,21,1,0,1,4,1276074,1,2
1,3080615,55,45,2,1,16,4,3078052,1,2
0,12057449,185,175,1,0,21,17,12054009,0,3
0,6329603,154,144,1,0,21,17,6326105,0,3
0,1979093,41,31,1,0,1,4,1976646,0,2
0,3402269,119,109,1,0,11,14,3399692,1,2
0,2673236,116,106,1,0,24,13,2670810,1,2
0,2737951,48,38,1,0,1,4,2735494,1,2
1,2697994,117,107,2,1,5,13,2697128,1,2
0,10451901,180,170,1,0,21,17,10450897,1,3
1,2035377,107,97,2,1,32,12,2034479,1,2
0,2783690,49,39,1,0,1,4,2780820,1,2
0,10894172,181,171,1,0,21,17,10893024,0,3
0,12368854,187,177,1,0,21,17,12366216,0,3
0,5264497,146,136,1,0,21,17,5261061,1,3
0,2806168,50,40,1,0,1,4,2803534,0,2
0,3586256,62,52,1,0,1,4,3583623,0,2
0,154298,15,5,1,0,1,4,151736,0,2
0,1042066,7,180,6,0,27,18,1034902,0,4
0,8640587,170,160,1,0,21,17,8637184,0,3
0,3206690,58,48,1,0,1,4,3204136,0,2
0,217482,84,74,1,0,17,8,214914,0,2
0,2395747,96,86,1,0,14,10,2393186,1,2
0,10016782,179,169,1,0,21,17,10013470,1,3
0,1229605,79,69,1,0,29,6,1227838,1,2
1,3143272,56,46,2,1,16,4,3141003,1,2
0,957288,5,0,0,0,20,0,956401,1,1
0,5405632,147,137,1,0,21,17,5405300,1,3
0,1281470,133,123,1,0,21,17,1278816,1,3
0,5828627,151,141,1,0,21,17,5825154,1,3
0,4993321,145,135,1,0,21,17,4990489,0,3
0,6732483,158,148,1,0,21,17,6729794,0,3
0,1241272,30,20,1,0,1,4,1238714,1,2
0,3157485,57,47,1,0,1,4,3154923,1,2
0,2722933,101,91,1,0,14,10,2720348,0,2
0,7813343,166,156,1,0,21,17,7810699,0,3
1,1624446,135,125,2,1,2,17,1623482,1,3
1,2207848,137,127,2,1,2,17,2205195,0,3
0,77693,12,2,1,0,1,4,75118,1,2
0,6715925,157,147,1,0,21,17,6713786,0,3
0,1449271,35,25,1,0,1,4,1446766,1,2
0,1812129,85,75,1,0,17,8,1809556,1,2
0,138648,14,4,1,0,1,4,136021,1,2
0,111772,82,72,1,0,28,7,109101,0,2
0,4461009,143,133,1,0,21,17,4457615,0,3
0,2417561,97,87,1,0,14,10,2415184,1,2
0,2673309,123,113,1,0,8,15,2670702,1,2
1,2910575,52,42,2,1,16,4,2908089,0,2
0,1317662,2,182,9,0,4,2,1309285,0,0
0,74000,1,183,10,0,4,2,65153,1,0
0,111289,13,3,1,0,1,4,109064,1,2
0,7491757,161,151,1,0,21,17,7489223,1,3
0,1391159,34,24,1,0,1,4,1388603,1,2
0,2858514,51,41,1,0,1,4,2855967,0,2
0,70044,83,73,1,0,17,8,67512,0,2
0,70037,112,102,1,0,24,13,67552,0,2
0,792264,26,16,1,0,1,4,789739,0,2
0,554415,21,11,1,0,1,4,551855,0,2
0,2107875,108,98,1,0,31,12,2105290,1,2
0,2544507,99,89,1,0,14,10,2541900,1,2
0,1337697,32,22,1,0,1,4,1335236,1,2
0,6074434,152,142,1,0,21,17,6071781,0,3
0,70005,81,71,1,0,28,7,67486,0,2
0,9288531,175,165,1,0,21,17,9286452,1,3
0,3841080,141,131,1,0,21,17,3837700,1,3
0,3024950,54,44,1,0,1,4,3022395,0,2
0,337900,95,85,1,0,14,10,335281,0,2
0,4009666,68,58,1,0,1,4,4007167,0,2
0,5555629,149,139,1,0,21,17,5554012,1,3
0,1009570,132,122,1,0,21,17,1006293,1,3
1,2515928,121,111,2,1,33,15,2513345,1,2
0,180420,129,119,1,0,6,16,177821,0,2
0,6249,8,183,10,0,26,19,2785,1,4
0,4479071,144,134,1,0,21,17,4475691,0,3
0,1834206,86,76,1,0,17,8,1831628,1,2
0,583789,0,178,3,0,10,1,577704,0,0
0,3364409,60,50,1,0,1,4,3361804,1,2
0,5553159,148,138,1,0,21,17,5550519,1,3
0,48261,111,101,1,0,24,13,45704,0,2
0,9465862,176,166,1,0,21,17,9462959,1,3
0,46969,74,64,1,0,29,6,44424,0,2
0,3797871,64,54,1,0,1,4,3795245,0,2
1,1881401,90,80,2,1,23,9,1878264,1,2
0,2775859,124,114,1,0,8,15,2773477,1,2
0,11491605,182,172,1,0,21,17,11488193,0,3
1,1257770,10,181,8,1,12,19,1251493,0,4
0,9812460,178,168,1,0,21,17,9809345,1,3
0,7301425,160,150,1,0,21,17,7297934,1,3
1,104069,102,92,2,1,30,11,101635,0,2
0,6487134,156,146,1,0,21,17,6483699,1,3
0,3432731,61,51,1,0,1,4,3430143,1,2
0,4096738,142,132,1,0,21,17,4094053,0,3
1,1640646,37,27,2,1,16,4,1638147,1,2
0,195498,114,104,1,0,24,13,192903,0,2
0,278837,17,7,1,0,1,4,276246,1,2
0,6340229,155,145,1,0,21,17,6336787,1,3
1,2546198,46,36,2,1,16,4,2543841,1,2
0,7521259,162,152,1,0,21,17,7518704,0,3
0,974932,29,19,1,0,1,4,972368,0,2
0,2832377,125,115,1,0,8,15,2829856,1,2
0,6798362,159,149,1,0,21,17,6796157,0,3
0,34252,87,77,1,0,0,9,31712,0,2
1,1378057,73,63,2,1,22,5,1375631,1,2
0,3199877,4,179,5,0,3,3,3192675,0,0
0,2075907,42,32,1,0,1,4,2073477,0,2
0,8188446,168,158,1,0,21,17,8185060,0,3
0,126324,69,59,1,0,15,5,123777,0,2
1,2013789,91,81,2,1,23,9,2011921,1,2
0,3018810,127,117,1,0,8,15,3016217,1,2
1,1898659,105,95,2,1,32,12,1897916,1,2
0,7702507,164,154,1,0,21,17,7701485,0,3
0,2012085,106,96,1,0,31,12,2009454,1,2
0,208593,16,6,1,0,25,4,206040,1,2
0,5664331,150,140,1,0,21,17,5660952,0,3
0,1243344,9,182,9,0,26,19,1237210,0,4
0,2634340,47,37,1,0,1,4,2631846,0,2
0,807956,27,17,1,0,1,4,805413,1,2
0,339659,18,8,1,0,1,4,337089,1,2
1,118746,78,68,2,1,9,6,117685,0,2
1,3457,118,108,2,1,13,14,914,0,2
0,782478,25,15,1,0,1,4,779851,1,2
0,3152141,11,179,5,0,19,20,3149505,0,4
0,1525904,134,124,1,0,21,17,1523219,0,3
0,8793953,173,163,1,0,21,17,8792608,0,3
1,3684594,63,53,2,1,16,4,3681970,0,2
0,3966935,67,57,1,0,1,4,3964340,0,2
0,2429577,138,128,1,0,21,17,2428348,0,3
0,2133422,109,99,1,0,31,12,2130841,1,2
0,11554700,184,174,1,0,21,17,11551441,1,3
1,70453,75,65,2,1,9,6,67921,0,2
0,1271019,72,62,1,0,15,5,1268464,0,2
1,113856,77,67,2,1,9,6,111328,0,2
1,2490168,98,88,2,1,7,10,2487763,1,2
0,9727528,177,167,1,0,21,17,9724646,1,3
0,8307364,169,159,1,0,21,17,8305311,1,3
0,2262157,44,34,1,0,1,4,2259551,1,2
0,7783306,165,155,1,0,21,17,7780625,0,3
1,1710182,38,28,2,1,16,4,1707561,0,2
0,2645042,122,112,1,0,8,15,2642440,1,2
1,1939345,40,30,2,1,16,4,1937476,0,2
1,517660,20,10,2,1,16,4,515103,0,2
1,261604,130,120,2,1,18,16,260634,0,2
1,90236,76,66,2,1,9,6,87929,0,2
0,185640,113,103,1,0,24,13,183119,1,2
0,8773791,172,162,1,0,21,17,8773333,1,3
0,7662566,163,153,1,0,21,17,7660260,1,3
0,749277,24,14,1,0,1,4,746678,1,2
0,3808941,140,130,1,0,21,17,3806404,0,3
0,8688786,171,161,1,0,21,17,8685338,0,3
1,1181753,71,61,2,1,22,5,1179211,0,2
0,106931,104,94,1,0,31,12,104331,0,2
1,57262,120,110,2,1,33,15,55095,0,2
1,9024451,174,164,2,1,2,17,9022179,1,3
1,679691,22,12,2,1,16,4,677123,1,2
0,3860538,65,55,1,0,1,4,3858058,0,2
0,6091863,153,143,1,0,21,17,6088898,0,3
0,2707185,100,90,1,0,14,10,2704583,1,2
1,303189,115,105,2,1,5,13,301356,0,2
0,1331626,3,181,7,0,4,2,1324597,0,0
0,8169951,167,157,1,0,21,17,8167613,1,3
0,132726,89,79,1,0,0,9,130220,0,2
0,3931150,66,56,1,0,1,4,3928596,0,2
0,313399,94,84,1,0,14,10,310825,1,2
0,1884925,39,29,1,0,1,4,1882350,0,2
0,1370547,33,23,1,0,1,4,1368049,1,2
0,2999429,53,43,1,0,1,4,2996892,0,2
0,716637,23,13,1,0,1,4,714284,1,2
1,140302,70,60,2,1,22,5,138044,0,2
0,12352982,186,176,1,0,21,17,12350355,0,3
1,104332,92,82,2,1,7,10,102488,0,2
1,4360,80,70,2,1,33,7,1803,0,2
0,3225151,59,49,1,0,1,4,3222519,1,2
1,1586214,6,1,4,1,22,21,1583362,1,4
0,2761440,139,129,1,0,21,17,2757968,1,3
1,373649,19,9,2,1,16,4,371237,1,2
0,11515016,183,173,1,0,21,17,11512266,1,3
0,2197321,43,33,1,0,1,4,2195324,1,2
0,2044656,136,126,1,0,21,17,2041244,0,3
0,866423,28,18,1,0,1,4,863911,1,2
0,2902813,126,116,1,0,8,15,2900168,1,2
0,1500121,36,26,1,0,1,4,1497505,1,2
