Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,0,301826,242,2,299487,0
0,0,125132,82,2,122370,1
1,0,387675,28,1,385183,0
0,0,736453,80,3,733583,0
0,1,190552,81,2,188093,1
0,0,1516533,43,2,1514173,1
0,0,476728,160,2,474101,0
0,0,54199,31,2,51578,1
0,0,988200,208,2,985546,1
0,0,1062895,233,2,1060310,1
0,0,246580,88,2,243767,0
0,0,758419,46,2,756089,0
0,0,488327,204,3,485541,0
1,0,322020,236,1,319249,0
0,0,33755,25,2,30969,0
0,0,423886,68,2,421607,1
0,0,993191,44,2,990858,1
1,0,1150558,194,1,1147775,1
0,0,1152306,222,2,1149583,0
0,0,1161129,167,2,1158613,0
1,0,32977,216,1,30248,1
0,0,33431,24,2,30843,1
0,0,504459,247,2,501763,1
0,0,1757922,190,2,1755496,1
0,0,553480,175,3,550610,0
0,0,16153,29,2,13502,0
0,0,355891,244,2,353552,0
0,0,309384,109,2,306937,0
0,0,25495,52,2,22811,0
0,0,8691,197,2,6085,1
0,0,200907,151,2,198367,0
0,0,15222,213,2,12538,1
0,0,867065,115,2,864531,0
0,0,1966199,102,2,1963551,1
0,0,557682,143,2,555076,0
0,0,1024944,232,2,1022305,0
0,0,556640,254,2,553878,0
0,0,1176004,166,2,1173581,0
0,0,156435,33,3,153649,1
0,0,447956,178,2,445458,1
0,0,735391,127,2,733043,0
0,0,1102343,226,2,1099539,0
0,0,1314205,91,2,1311887,0
0,0,1034195,210,2,1031508,1
0,0,650434,39,3,647633,1
0,0,1800605,107,2,1797939,1
0,0,187941,231,2,185287,0
1,0,17633,20,1,14982,0
0,0,4209,120,2,1423,0
0,0,198843,126,2,196225,0
0,0,1065877,200,2,1063010,0
0,0,432191,134,2,429708,0
0,0,536061,258,2,533287,0
0,0,568671,174,2,566338,1
1,0,1123469,221,1,1120611,0
0,0,443238,158,2,440629,0
0,0,422008,202,2,419294,0
0,0,125047,38,2,122324,1
0,0,50888,153,2,48174,1
1,0,107074,256,1,104540,0
0,0,622377,41,2,620053,0
0,0,404953,162,2,402317,0
0,0,352788,251,2,350182,1
0,0,185153,22,2,182502,0
1,0,389747,165,1,387120,0
0,0,373899,27,2,371611,1
0,0,475012,141,2,472298,0
0,0,7162,18,2,4697,0
0,0,378614,164,2,375975,0
0,0,23290,218,2,20606,1
0,0,9867,62,2,7462,0
0,0,473501,203,3,470631,0
0,0,1713823,7,2,1711409,0
0,0,381075,237,2,378301,0
0,0,14845,49,3,11996,0
