Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,0,301826,242,2,299487,0
1,0,32772,96,1,29866,1
0,0,373899,29,2,371611,1
0,0,721934,74,2,719244,1
0,0,428427,86,3,425755,0
0,0,1516533,43,2,1514173,1
0,0,465591,161,2,462814,0
0,0,54199,32,2,51578,1
0,0,988200,207,2,985546,1
0,0,1062895,234,2,1060310,1
1,0,199898,36,1,197364,1
0,0,404584,118,2,402206,0
0,0,473501,202,3,470631,0
0,0,246580,85,2,243767,0
0,0,33755,27,2,30969,0
0,0,355891,244,2,353552,0
0,0,993191,44,2,990858,1
1,0,1150558,192,1,1147775,1
0,0,1152306,222,2,1149583,0
0,0,1161129,166,2,1158613,0
1,0,32977,216,1,30248,1
0,0,33431,26,2,30843,1
0,0,184674,6,2,182293,0
0,0,1757922,188,2,1755496,1
0,0,553480,173,3,550610,0
0,0,16153,30,2,13502,0
0,0,292921,245,2,290183,1
0,0,256062,178,2,253732,0
0,0,25495,50,2,22811,0
0,0,8691,195,2,6085,1
0,0,180436,213,2,177890,1
0,0,15222,212,2,12538,1
0,0,867065,115,2,864531,0
0,0,1966199,102,2,1963551,1
0,0,546874,142,2,544250,0
0,0,1024944,233,2,1022305,0
0,0,519004,251,2,516413,0
0,0,1176004,165,2,1173581,0
0,0,82609,137,3,79808,1
0,0,447956,176,2,445458,1
0,0,735391,128,2,733043,0
0,0,1102343,226,2,1099539,0
0,0,1314205,88,2,1311887,0
0,0,1034195,209,2,1031508,1
0,0,204433,62,2,201761,1
0,0,1800605,107,2,1797939,1
0,0,125132,79,2,122370,1
1,0,17633,22,1,14982,0
0,0,4209,121,2,1423,0
0,0,187941,232,2,185287,0
0,0,1065877,198,2,1063010,0
0,0,425184,135,2,422410,0
0,0,513629,257,3,510834,0
0,0,568671,172,2,566338,1
1,0,1123469,221,1,1120611,0
1,0,432436,158,1,429818,0
0,0,218715,55,2,215884,1
1,0,86749,152,1,84020,1
1,0,396102,69,1,393418,0
1,0,107074,254,1,104540,0
0,0,622377,41,2,620053,0
1,0,389747,163,1,387120,0
0,0,422008,200,2,419294,0
0,0,185153,24,2,182502,0
0,0,378614,162,2,375975,0
0,0,309384,109,2,306937,0
0,0,585607,80,2,583331,1
0,0,7162,20,2,4697,0
0,0,650434,39,3,647633,1
0,0,23290,218,2,20606,1
0,0,9867,60,2,7462,0
1,0,442799,201,1,439932,1
0,0,1713823,8,2,1711409,0
0,0,700388,15,2,697620,0
