SportType,StageWinner,StageDate,NextStage,StartLocation,PreviousStage,StageNumber,StageDescription,StageType,RaceEvent,ProCyclingStatsRaceId
1,64,38,44,90,50,4.0,16,24,18,170991.0
1,91,159,168,95,167,1.0,16,23,53,293155.0
1,16,10,12,128,19,6.0,16,21,7,
1,27,114,131,118,129,4.0,16,24,43,255571.0
1,42,63,60,33,64,4.0,24,24,23,
1,98,89,103,114,104,4.0,28,25,30,210004.0
1,93,13,4,19,11,3.0,8,22,6,139124.0
1,71,68,79,83,83,5.0,27,21,25,181535.0
1,69,76,72,127,76,14.0,27,21,25,181545.0
1,26,152,156,18,154,13.0,16,24,49,279159.0
1,52,61,67,100,71,6.0,18,21,24,
1,85,36,35,9,40,7.0,16,24,14,163709.0
1,8,28,26,15,33,8.0,16,21,9,
1,94,8,10,96,17,4.0,16,21,7,
1,98,134,146,42,144,8.0,16,21,45,268339.0
1,37,144,175,106,141,21.0,16,25,45,268354.0
1,90,163,14,141,6,,2,0,8,139129.0
1,87,62,177,41,168,2.0,29,23,26,181010.0
1,75,19,20,139,28,4.0,16,21,11,
1,23,110,109,5,112,2.0,26,21,35,247209.0
1,16,9,11,38,18,5.0,16,21,7,
1,42,163,116,35,72,,5,12,34,210024.0
1,17,163,30,146,20,,1,12,10,149964.0
1,71,39,45,117,51,5.0,16,23,18,170992.0
1,73,58,64,50,68,3.0,19,21,24,
1,25,100,99,125,100,19.0,16,24,30,210021.0
1,37,141,141,120,138,15.0,16,25,45,268347.0
1,62,7,9,112,16,2.0,16,25,7,
1,56,83,106,155,167,1.0,31,22,33,209931.0
1,84,142,142,124,139,17.0,16,24,45,268350.0
1,15,98,97,101,98,16.0,16,25,30,210018.0
1,71,30,55,24,24,,21,16,16,163619.0
1,7,22,37,24,21,,20,16,10,149879.0
1,57,33,32,115,37,4.0,16,25,14,163706.0
1,95,18,19,152,27,3.0,16,27,11,
0,35,31,176,70,167,0.0,16,26,13,163662.0
1,68,162,173,12,166,9.0,16,25,52,290178.0
1,61,59,65,49,69,4.0,11,24,24,
1,59,103,111,50,113,3.0,16,23,36,247146.0
1,78,46,40,113,46,6.0,16,21,17,171031.0
1,81,94,93,143,94,12.0,16,24,30,210013.0
1,79,132,144,80,142,5.0,16,21,45,268336.0
1,2,87,101,35,92,2.0,16,28,30,210002.0
1,52,50,49,44,54,2.0,25,25,19,171068.0
1,42,77,73,27,77,16.0,27,24,25,181548.0
1,97,101,100,2,101,20.0,16,24,30,210022.0
1,43,163,83,45,42,,9,15,20,173869.0
1,81,97,96,81,97,15.0,16,24,30,210016.0
1,32,163,59,74,25,,21,19,15,164258.0
1,74,147,162,51,167,1.0,16,22,49,279147.0
1,77,116,124,104,167,0.0,16,26,41,255760.0
1,89,106,114,28,116,6.0,16,25,36,247149.0
1,65,1,2,24,1,,21,16,2,109369.0
1,53,0,0,156,0,5.0,16,25,0,
1,15,102,175,112,103,21.0,16,25,30,210023.0
1,96,53,52,151,57,6.0,25,25,19,171072.0
1,73,80,76,84,80,19.0,27,24,25,181551.0
1,70,65,62,53,66,6.0,24,24,23,
1,64,99,98,46,99,18.0,16,24,30,210020.0
1,32,163,147,104,108,,21,13,42,255766.0
1,38,72,68,10,87,9.0,27,21,25,181539.0
1,9,2,172,103,164,1.0,16,25,1,110914.0
1,30,108,128,65,110,,21,20,37,248760.0
1,76,109,108,89,167,1.0,26,22,35,247208.0
1,64,78,74,13,78,17.0,27,24,25,181549.0
1,21,34,33,22,38,5.0,16,24,14,163707.0
1,54,123,120,126,121,7.0,16,24,38,256068.0
