SportType,StageWinner,StageDate,NextStage,StartLocation,PreviousStage,StageNumber,StageDescription,StageType,RaceEvent,ProCyclingStatsRaceId
0,28,39,48,48,57,9.0,5,16,24,279155.0
0,27,45,45,35,42,,2,9,19,209948.0
0,11,23,39,2,45,4.0,3,19,18,
0,18,28,27,3,41,10.0,13,18,15,181541.0
0,0,4,4,30,4,2.0,5,21,2,
0,1,45,47,7,61,,0,12,21,255575.0
0,20,2,2,56,3,5.0,5,19,0,
0,22,34,33,4,37,17.0,13,18,15,181549.0
0,15,45,36,25,22,,8,11,12,172999.0
0,31,45,44,31,46,,8,6,20,247151.0
0,15,30,29,6,33,12.0,13,18,15,181543.0
0,15,22,38,27,44,3.0,14,16,18,
0,2,45,10,41,9,,8,0,3,
0,18,45,43,11,31,,1,8,19,210024.0
0,15,45,40,53,23,,4,1,17,181367.0
0,14,44,53,38,56,18.0,5,17,24,279164.0
0,12,7,7,16,8,6.0,5,19,2,
0,34,36,35,47,39,20.0,13,16,15,181552.0
0,21,21,37,45,43,2.0,6,18,18,
0,15,17,18,22,12,,8,3,8,149877.0
0,29,45,57,24,48,,8,1,21,256070.0
0,36,14,16,54,19,3.0,5,20,9,
0,24,32,31,46,35,14.0,13,15,15,181545.0
0,30,8,3,14,5,12.0,5,18,2,
0,13,41,50,5,53,13.0,5,18,24,279159.0
0,33,0,0,55,1,3.0,5,19,0,
0,26,12,14,22,11,,8,3,6,139024.0
0,4,37,58,23,40,21.0,13,19,15,181553.0
0,7,5,5,32,6,4.0,5,19,2,
0,15,45,46,39,47,,8,9,21,255766.0
0,3,1,1,8,2,4.0,5,19,0,
0,35,10,11,36,14,4.0,5,15,5,
0,27,45,56,19,51,,8,5,25,279178.0
0,25,26,25,20,28,6.0,11,18,13,
0,18,33,32,9,36,16.0,13,18,15,181548.0
0,15,43,52,40,55,17.0,5,19,24,279163.0
1,32,9,59,37,62,,10,14,26,
0,5,16,58,2,21,5.0,5,15,9,
0,15,29,28,0,32,11.0,13,18,15,181542.0
0,29,15,17,50,20,4.0,5,15,9,
0,6,35,34,51,38,18.0,13,19,15,181550.0
0,15,13,15,27,18,2.0,5,15,9,
0,26,31,30,29,34,13.0,13,19,15,181544.0
0,17,42,51,44,54,16.0,5,18,24,279162.0
0,9,25,24,21,27,5.0,11,18,13,
0,20,6,6,10,7,5.0,5,19,2,
0,6,20,22,33,25,4.0,12,19,11,171070.0
0,10,40,49,49,58,10.0,5,15,24,279156.0
0,1,27,58,34,29,7.0,11,18,13,
0,16,45,54,12,49,,8,8,23,268362.0
0,15,45,55,26,50,,8,10,23,268378.0
0,8,11,12,13,15,5.0,5,15,5,
0,15,19,21,17,60,1.0,12,16,11,171067.0
0,15,45,8,42,59,,8,0,1,
0,21,45,42,1,26,,8,13,16,180620.0
0,15,45,20,28,16,,8,13,7,
0,35,45,13,37,10,,9,7,4,114197.0
0,15,45,23,28,17,,8,13,10,164258.0
0,19,18,19,15,13,,8,4,8,149878.0
0,27,24,26,18,30,3.0,7,15,14,
0,28,38,58,52,52,8.0,5,16,22,
0,23,3,9,43,0,,8,2,1,
0,21,45,41,31,24,,8,6,17,180695.0
