Strand_Orientation,Genomic_Start_Position,Genomic_End_Position,Gene_Db_Id
1,3207,5471,136
0,3223,5583,97
0,454787,457048,88
0,476677,478833,231
1,3,2336,147
0,550654,552888,219
0,833647,835809,95
0,2336,4603,49
0,1067095,1069200,209
0,667,2907,36
0,3683,6046,152
1,73994,76342,177
0,1165567,1167843,143
1,22,1026,4
0,690150,692573,69
1,26149,27924,7
0,752403,754574,173
0,1155433,1157625,116
1,10912,12933,112
1,94266,96434,222
1,43330,45480,195
0,602554,604953,80
0,38,2152,10
0,760970,763015,83
1,1969,4215,71
0,478230,480713,38
1,112868,114439,9
1,2560,3201,59
1,61057,61722,221
0,42840,45278,100
1,11750,13918,121
0,560179,562476,171
1,53914,56175,84
1,1,1518,58
0,1006993,1009290,45
1,48507,50723,120
0,485114,487264,93
1,44773,47037,175
0,369323,371476,170
0,476408,477337,11
0,1832923,1835184,67
1,52601,53359,114
0,1,1287,19
1,439797,441740,91
1,79698,81519,12
1,69566,71686,213
0,704929,707127,48
1,62692,65232,218
0,775140,777368,224
1,921,3230,127
1,2,1669,47
1,3963,5540,44
1,370655,372955,230
1,2188577,2191081,87
1,8994,11060,140
1,1923,4184,235
1,40902,43304,156
1,111105,113111,165
1,56687,59089,41
0,1186812,1189025,188
0,803291,805063,178
0,1833030,1835456,204
1,5259,7454,52
0,610807,611448,110
0,509,2776,153
0,1202680,1204656,196
1,1761,4025,163
1,386,2650,24
1,558669,560447,98
1,333633,335828,154
0,478171,480279,203
1,5501,7012,6
1,10807,12909,141
1,9286,11646,123
0,1113876,1116077,150
1,74154,76316,29
0,495853,496899,101
1,12949,15153,205
0,1024990,1027491,76
1,168412,170211,122
0,796943,799420,225
0,375522,377705,96
1,2860,5046,158
0,913312,914046,63
0,243822,244454,157
0,393970,394758,20
0,572120,574603,168
0,2943,5117,217
0,250869,252998,130
0,1,1108,160
1,90784,92964,92
1,824,3133,51
0,468923,470842,187
0,1852,4059,30
1,2230,4593,1
0,687517,689616,82
0,596190,598394,167
0,182789,185005,118
0,505363,507624,191
0,456733,459000,172
0,121439,123424,232
1,50910,53099,223
1,2628,4883,42
1,3179,4516,53
1,14941,17178,106
1,80040,81116,3
0,701787,703891,72
1,77369,79561,117
1,1446,3704,22
1,297915,299939,227
1,112891,115059,159
0,3,827,13
1,26538,28523,81
0,545198,547726,133
0,17227,19404,198
0,1037046,1039862,77
0,1935421,1937904,25
0,50840,52834,182
0,26043,28514,108
0,2,1138,5
1,60651,62927,148
0,14127,16106,73
0,5362,7548,54
1,827244,828692,193
0,710958,711734,32
0,479794,482055,111
1,86993,89110,206
1,68619,71096,137
1,1,798,164
0,2325364,2326647,17
1,7598,9859,208
1,119534,120751,185
0,7252,9642,211
0,5011,7125,109
1,101,1699,85
0,3,1333,16
0,465892,468090,40
0,808763,811009,210
0,617003,619207,202
0,192110,194620,124
1,49749,52112,103
0,12933,14957,64
1,2,1621,65
0,811541,813661,180
0,558551,560608,179
0,959689,961848,151
0,914149,915393,62
1,4559,6868,183
1,47909,50074,189
0,485538,487691,31
0,4853,7225,105
0,666635,669010,131
1,101,2335,169
0,781,2976,162
0,1157084,1159648,142
1,140096,140815,228
1,1680,3637,161
1,14774,17152,135
0,1570,3774,18
1,6340,8253,102
0,476586,477141,197
1,1968,4334,94
1,18165,20192,201
0,634829,636865,79
1,389746,391932,8
0,1,1152,14
1,119982,122003,229
1,4204,6765,192
1,33460,35613,194
0,1171,3468,70
0,2351474,2352753,129
1,84366,85349,66
1,301437,303473,216
1,48072,49973,26
0,3849,6110,99
1,6806,9061,55
1,5838,6479,134
0,367785,369971,60
1,16912,19107,104
1,313945,316113,226
1,3093,5333,21
1,2307,4679,113
0,2150273,2152465,190
0,4,1347,23
1,732,3770,50
0,21104,23314,236
0,761027,763294,174
0,410220,411395,37
1,49540,51771,234
0,466913,469090,34
0,907241,909502,74
1,66007,68193,146
1,313523,315631,215
1,8418,10067,28
0,607077,609383,78
1,350539,351915,199
0,398004,400277,27
0,701878,702444,212
1,367296,369509,61
1,535,3147,43
0,525222,526037,39
1,55348,57522,125
0,1373202,1375691,119
1,754,3258,207
1,64094,66424,233
1,13717,16197,176
0,2638,4947,46
0,397290,399311,90
0,644707,646569,181
1,17801,20107,68
0,2121408,2123600,86
0,3723,5726,0
1,652312,654471,75
1,827212,828777,107
1,24536,27070,139
1,309482,311650,214
1,15441,16283,184
0,3845,5683,56
0,475453,477984,149
0,1176085,1178466,115
0,20729,22657,144
1,58898,60946,145
1,32440,34512,89
0,1026565,1028709,166
1,222371,224206,200
1,90979,92121,138
0,729406,731499,33
1,5182,7491,126
1,2,1036,15
1,11819,14203,57
0,3,1475,2
0,470270,471716,220
1,1907460,1909430,128
0,667156,669243,186
1,16532,18709,35
1,16122,18062,132
0,666520,668634,155
