Strand_Orientation,Genomic_Start_Position,Genomic_End_Position,Gene_Db_Id
0,1168695,1174010,188
0,127,7476,0
1,605538,609988,155
1,1158055,1168419,160
0,1158920,1169344,40
1,8548,18759,149
1,41772,52109,58
1,13358,18044,36
0,413739,424181,138
0,215040,225503,222
1,930293,940675,88
0,322282,330111,107
1,447770,458221,52
0,318764,328819,66
0,7588,18045,173
1,73238,83617,100
0,733188,743366,12
0,714922,723117,129
0,786038,796435,42
0,288610,296067,108
1,1,5595,7
0,810066,818767,118
0,563530,573981,156
1,380639,390898,218
1,2,6832,25
1,35644,46065,190
0,832124,842551,211
1,52823,63253,174
1,72588,78813,196
0,143326,149649,113
0,805796,816094,68
0,2172,11516,31
1,16478,26884,63
1,17262,22907,1
0,3,5929,148
0,183374,193120,183
0,1,9732,191
1,959784,970184,184
0,203258,213628,99
0,636820,647211,114
1,127910,138304,215
1,3220,13701,150
0,318795,328850,46
0,3,6482,4
0,2334792,2345195,165
0,13795,24168,110
1,449073,459416,64
0,2,3034,90
1,245186,252973,111
1,52593,62951,93
1,339083,347060,219
1,38978,45907,205
1,130814,141214,130
0,779023,789447,212
0,470489,475972,78
1,399029,409474,179
1,39092,47512,123
1,791817,802151,13
0,23431,33876,199
1,1709332,1717944,170
0,734937,745319,39
0,881293,891588,19
1,926063,934030,201
1,117093,127475,171
0,3,6144,65
1,20812,31191,119
0,2,7954,192
1,219184,229560,213
0,563645,571102,14
1,59128,69531,217
0,2601,13163,67
0,733,5956,21
1,1858,12411,133
1,1030,7614,2
1,44338,54831,125
0,2360422,2370774,163
1,30197,40663,197
1,14646,24830,101
1,69342,79790,207
1,55971,64484,127
1,117557,127990,147
1,28143,32850,186
0,204667,207695,54
1,25871,36235,216
1,5925,11492,32
1,1224493,1233807,177
0,20468,30892,75
1,50482,54812,6
0,306168,311779,49
1,43286,53674,203
1,14486,21015,77
0,1,5481,153
1,3028,9243,23
1,78604,89016,116
0,565420,574518,141
1,16665,27113,193
1,60752,71128,82
0,337195,347622,84
0,54806,65194,22
1,323,6388,121
0,232769,243214,167
0,31758,42086,37
0,4143,11147,33
1,14689,22103,169
0,231410,239506,159
0,208664,217558,3
0,1038856,1049310,61
0,3,8611,115
0,51870,62219,38
0,1460,11755,17
0,576509,586972,45
1,78117,88568,198
0,3143,13525,106
0,613279,623676,89
1,1098,11537,175
0,494840,505288,11
0,770171,780586,126
1,147781,158064,214
1,7990,12312,195
0,1342479,1352921,105
1,348857,353296,96
0,4539,13465,34
0,1137248,1147531,122
0,584655,595061,50
0,1038261,1048694,137
1,206012,214744,9
0,3,3341,189
1,1,7213,73
1,217409,225073,35
0,2,5392,79
0,600223,610602,140
0,541838,548110,151
0,36631,47046,60
0,2011656,2017022,5
0,556376,566844,202
1,33702,39653,24
1,1,5905,55
0,1014285,1020605,200
1,6891,17336,69
0,7666,18048,70
1,9304,19647,57
0,789632,796416,187
0,242332,252780,210
0,7759,18102,16
0,352,8750,10
0,222871,230403,209
0,628055,638425,172
1,26002,34341,15
0,2,5467,74
1,3,6239,135
1,1,5231,26
1,1291027,1301475,103
0,531839,536745,47
0,1340908,1351353,152
1,100946,107347,18
1,2,5029,28
1,71676,82139,162
1,529028,534898,112
1,91272,97751,81
0,1018586,1028641,20
0,53935,64329,97
1,2,6046,80
1,353619,364064,59
0,494255,501262,102
1,1382515,1392969,104
0,726108,736142,224
0,2987,13390,158
0,625292,635740,95
1,18715,29124,136
0,500484,510863,220
0,277652,288082,208
1,1905,12200,8
1,2049,12299,144
0,765552,775910,131
0,418893,424985,124
1,5433,11317,86
1,478468,487135,85
0,646543,656937,154
0,396354,400877,72
0,480062,490459,109
1,178087,188433,128
1,24017,34480,143
1,71757,76316,29
1,11901,22220,223
0,497998,508446,157
1,1674489,1684949,56
1,61794,72152,146
1,1,7036,194
1,30431,40882,91
1,4479,14711,134
0,890,6131,48
1,1,8139,178
1,4680,15047,120
1,556752,563694,142
1,36289,46671,98
0,131411,138943,51
1,589645,600090,181
0,646334,656716,87
0,45617,56068,176
0,2335691,2345983,164
1,13649,19621,53
1,21774,25728,92
1,50520,60872,206
0,688299,698669,83
0,535076,545365,221
1,1,6309,71
1,1776,12287,132
0,566630,572820,182
0,1200861,1211309,161
1,43140,53597,30
0,1726,7785,139
0,1838054,1848415,41
0,892584,902706,94
1,42064,52443,43
1,27714,34912,168
0,675331,685626,117
1,1581,11957,27
1,21127,31572,76
1,4158,12152,204
1,91621,102066,44
1,356759,364951,62
1,103,6015,145
1,561022,571446,180
0,3,9497,185
0,321641,332104,166
