CyclingDiscipline,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,TwitterUsername,BirthPlace,UciRiderId,NativeName,WeightKg,BirthDate,SportsTeam,LastName,FirstName,CitizenshipCountry,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
2,9,27757.0,8555.0,0,7,8,140279,6,5,40322,2,69.0,4,3,10,5,7,37083,783.0,187.0,8,7
1,10,48143.0,21971.0,8,10,1,168754,7,4,79462,4,,10,0,12,9,5,64280,16672.0,184.0,10,4
0,8,16884.0,1166.0,0,6,8,140390,6,1,22148,5,64.0,1,12,10,4,5,7721,157.0,176.0,5,6
2,14,62257.0,26197.0,6,14,8,181203,8,7,136296,7,65.0,12,4,7,13,3,105159,38937.0,177.0,11,3
2,3,74592.0,31263.0,1,1,8,241011,6,8,101278,5,,14,6,11,1,3,122630,72919.0,173.0,11,6
2,0,52879.0,19448.0,7,8,0,132428,5,10,73817,5,,8,14,9,6,2,71390,7695.0,184.0,9,6
2,1,8760.0,4179.0,5,0,5,140749,4,11,32691,5,78.0,5,2,6,0,6,19407,406.0,181.0,6,6
3,12,,17011.0,0,12,8,134430,6,9,75578,5,,0,7,0,11,6,65908,,,1,6
2,15,86654.0,29568.0,4,4,8,235390,6,13,148689,5,,11,9,10,8,0,154976,88703.0,184.0,11,6
0,7,3858.0,1831.0,0,5,7,140642,3,14,32112,1,73.0,3,8,1,4,1,11105,549.0,188.0,3,6
2,2,55192.0,19941.0,10,15,3,135398,9,3,86228,8,75.0,7,13,8,14,1,59790,10971.0,180.0,0,1
2,4,3935.0,1015.0,0,9,8,140117,6,2,93403,3,68.0,2,10,10,7,5,10543,1029.0,182.0,4,5
4,5,53630.0,19651.0,2,2,4,168753,0,12,78094,0,61.0,9,14,3,2,0,71432,16573.0,165.0,7,0
2,6,68529.0,24255.0,3,3,2,181748,1,6,112351,5,53.0,13,5,4,3,3,105237,37378.0,173.0,11,3
2,13,83295.0,28377.0,9,13,6,212377,2,0,587366,6,62.0,15,11,2,12,1,141854,84019.0,171.0,11,1
2,11,,9803.0,0,11,8,139811,6,15,582454,5,66.0,6,1,5,10,4,30128,700.0,183.0,2,2
