Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position
0,11996370,52,4,11994619
0,2176074,8,3,2173822
1,3263510,18,3,3262518
1,8175499,33,3,8174561
0,22028199,86,4,22026512
1,17714007,71,3,17711731
0,13837817,58,3,13836696
0,11464520,49,4,11462589
1,2409527,11,3,2408865
0,22756821,90,3,22754536
1,2956426,16,6,2955563
1,6650810,30,6,6649504
0,15552221,63,3,15549750
1,16554165,67,3,16551901
1,4287060,22,3,4285357
0,19956532,74,3,19954790
0,9613514,41,3,9612390
0,1047729,7,6,1047100
1,4795291,24,6,4794295
1,11372104,47,4,11370677
1,3332030,19,3,3330351
0,23802012,95,7,23801011
0,4118166,20,7,4116199
0,11898553,51,3,11896367
1,24301722,98,3,24299593
0,505867,3,1,504683
1,11725924,50,4,11723685
1,12836026,55,3,12834782
0,6392825,29,3,6390597
1,8798973,36,8,8796721
0,5271180,26,3,5270266
0,2564774,12,5,2562631
0,12688657,53,4,12687579
0,4868024,25,3,4867473
1,23305556,92,8,23304531
1,1016782,5,3,1014533
1,23794678,94,4,23793193
1,7967108,32,3,7965165
1,20342521,75,3,20341259
1,12831055,54,3,12829310
1,21130236,79,3,21127996
0,21705992,83,4,21705274
0,1021038,6,3,1018726
0,2207377,9,3,2205470
1,22366722,87,3,22365805
0,459187,2,4,458294
0,2569869,13,0,2567808
0,6168822,28,4,6167727
0,13567233,57,4,13566216
1,20495008,76,3,20492726
0,625564,4,5,623563
0,15485527,62,3,15483887
0,21997160,85,8,21996177
1,22435858,88,3,22433813
1,9268739,40,3,9267837
1,8804662,37,8,8802437
1,16505641,65,3,16503965
1,8184305,34,3,8183049
1,16508468,66,3,16506867
0,11181620,46,7,11179739
1,23838762,97,3,23836501
1,14857487,61,3,14855931
1,20509228,77,8,20508290
1,6934931,31,4,6934113
0,10143236,43,3,10141842
0,18034173,72,8,18033193
1,8793365,35,8,8792052
0,17420742,70,3,17418463
0,23802860,96,4,23802345
0,10089839,42,3,10088451
0,14023398,60,4,14022418
0,4681588,23,3,4679333
0,23589693,93,3,23588338
0,10376605,44,5,10374419
1,11448216,48,3,11446408
0,21479783,82,3,21478365
0,5580562,27,3,5579401
0,4172542,21,3,4171208
1,22708989,89,3,22707574
0,49903,0,3,48200
0,9015817,39,6,9013593
1,2921001,15,3,2918737
0,239835,1,4,239235
0,2995357,17,3,2993120
0,21301605,81,8,21300769
0,20802281,78,4,20801291
0,17296111,69,5,17294360
0,22780026,91,8,22779001
0,14022240,59,4,14021446
1,16563937,68,3,16562831
1,16426637,64,3,16424412
0,24595701,99,2,24593912
0,2719577,14,3,2718561
1,10637386,45,3,10636079
1,13398519,56,3,13396177
0,21783921,84,7,21781632
1,2408736,10,4,2407756
1,18548482,73,3,18546251
0,9006166,38,6,9005404
1,21274166,80,3,21272700
