Profession,Profile_Image,Official_Website,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Instagram_Handle,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Current_Team,Cyclist_Name,Memoire_Du_Cyclisme_Cyclist_Id,Biography,Nationality,Twitter_Handle,Birthplace,Representing_Country,Uci_Rider_Id,Languages,Weight_Kg,Birthdate,Olympedia_People_Id,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm,Freebase_Id
1,4,0,28091,9744,4,0,,140183,5,4,1205.0,0,0,6,0,0,55040,0,65.0,8,2,0,4,25921,768.0,0,1.8,4
0,1,0,53630,19651,1,1,40766.0,168753,10,1,,1,0,1,9,0,78094,0,61.0,13,5,4,1,71432,16573.0,1,165.0,8
0,13,2,6154,267,11,7,110646.0,140757,4,11,12313.0,12,0,9,6,0,25781,0,64.0,1,1,5,11,3175,339.0,7,170.0,7
0,7,0,45487,15789,7,4,7186.0,133565,10,7,54574.0,10,8,7,4,6,55607,4,72.0,7,5,9,7,62028,9234.0,6,183.0,11
0,14,0,27348,16688,14,0,,139704,2,14,29293.0,7,6,6,13,4,62555,3,74.0,10,5,14,14,35630,,5,180.0,0
0,8,0,58428,21992,8,6,23650.0,168776,8,8,,5,5,5,10,2,86895,3,,14,5,11,8,77835,16793.0,6,179.0,2
0,12,6,1761,11,13,0,226940.0,140750,9,13,1363.0,2,1,10,7,5,13978,3,82.0,2,4,1,13,2452,33.0,7,192.0,5
0,6,0,4878,1409,6,0,,140277,6,6,3813.0,4,2,6,3,1,252974,5,59.0,0,0,3,6,11912,72.0,7,170.0,3
0,10,7,51744,19238,3,0,38200.0,138396,11,3,,6,6,3,1,4,72932,3,70.0,11,5,6,3,66031,7720.0,3,177.0,1
0,0,0,8760,4179,0,3,42225.0,140749,1,0,6915.0,9,7,4,8,5,32691,3,78.0,4,3,8,0,19407,406.0,2,181.0,6
0,3,0,47066,16881,10,0,41605.0,140633,3,10,47478.0,11,3,0,14,3,59614,1,,9,5,2,10,32178,2530.0,7,175.0,10
0,11,5,49569,16438,12,0,,137352,7,12,55736.0,0,0,6,12,0,67841,0,70.0,5,5,13,12,67531,7900.0,4,180.0,13
0,5,1,20262,6797,5,0,,140295,0,5,10332.0,3,1,6,5,5,57114,3,67.0,3,5,12,5,33847,5297.0,7,176.0,12
0,2,3,46049,19242,2,2,,139823,4,2,39932.0,6,6,2,11,4,69149,3,80.0,12,5,10,2,43239,7730.0,2,183.0,14
0,9,4,8424,6784,9,5,226627.0,140342,9,9,6756.0,8,4,8,2,5,45024,2,82.0,6,5,7,9,18093,1007.0,7,188.0,9
