Profession,Profile_Image,Official_Website,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Instagram_Handle,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Current_Team,Cyclist_Name,Memoire_Du_Cyclisme_Cyclist_Id,Biography,Nationality,Twitter_Handle,Birthplace,Representing_Country,Uci_Rider_Id,Languages,Weight_Kg,Birthdate,Olympedia_People_Id,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm,Freebase_Id
0,0,0,53630,19651,0,3,40766.0,168753,9,0,,0,0,2,8,0,78094,0,61.0,11,4,3,0,71432,16573,1,165.0,3
0,12,0,41197,13297,9,0,1652.0,128514,4,9,60920.0,9,5,6,2,6,59637,3,,7,4,8,9,37218,14127,2,,0
0,6,0,45487,15789,3,5,7186.0,133565,9,3,54574.0,7,8,8,6,7,55607,6,72.0,3,4,6,3,62028,9234,6,183.0,8
0,2,6,56436,20917,10,1,5649.0,156570,7,10,67199.0,4,4,0,5,3,77380,2,78.0,10,4,0,10,71706,9746,6,180.0,10
0,8,3,6554,3447,5,0,,140784,10,5,12637.0,11,0,5,7,6,30299,0,72.0,2,1,4,5,14463,512,7,178.0,5
0,1,1,46049,19242,1,4,,139823,5,1,39932.0,3,6,3,10,5,69149,4,80.0,8,4,7,1,43239,7730,3,183.0,9
0,3,5,65955,26396,12,2,12337.0,189441,1,12,,2,2,7,0,1,92304,7,,12,4,7,12,110201,41293,4,186.0,10
0,9,0,171,311,7,0,,140861,9,7,140.0,8,9,5,3,6,14494,4,65.0,0,2,1,7,118,91,7,172.0,2
0,4,0,47066,16881,8,0,41605.0,140633,2,8,47478.0,10,3,1,11,2,59614,1,,6,4,2,8,32178,2530,7,175.0,6
1,7,0,48135,17635,4,0,,140634,3,4,29008.0,5,5,5,4,4,53903,3,74.0,4,4,7,4,38067,3118,7,182.0,7
0,11,0,52044,20798,6,6,9184.0,132438,6,6,66541.0,4,4,4,1,3,86938,2,70.0,9,3,10,6,71789,16643,5,183.0,10
0,10,4,26009,12193,11,7,1940308.0,140797,0,11,9096.0,6,7,9,12,6,54603,5,78.0,5,0,9,11,30229,784,0,184.0,4
1,5,2,10573,1849,2,0,,140695,8,2,15403.0,1,1,5,9,6,28865,4,63.0,1,4,5,2,5845,856,7,177.0,1
