HostCountry,RaceDate,EditionNumber,RaceType,StartLocation,RaceWinner,RaceName
2,39,119,11,11,11,46
2,65,121,11,11,33,71
0,22,104,11,1,33,24
0,28,83,5,53,52,30
8,67,49,4,39,10,61
0,11,103,11,1,0,17
4,25,15,11,46,33,35
9,55,44,11,0,5,76
4,7,13,11,46,24,16
0,49,103,11,10,4,54
4,8,110,11,30,24,13
9,23,36,11,41,16,29
0,61,48,11,8,22,62
4,18,14,1,46,52,23
4,59,105,11,42,0,70
4,3,109,11,30,50,5
0,42,72,10,22,49,41
0,45,78,11,16,11,58
4,19,101,11,29,4,21
2,12,117,0,11,40,14
0,67,17,11,48,46,27
0,17,72,11,25,26,20
6,67,2,2,3,17,6
0,64,112,11,50,48,72
0,16,75,11,16,23,22
10,14,8,13,9,12,15
2,51,90,11,15,48,56
3,67,34,3,20,23,8
0,67,49,11,49,43,47
0,9,81,11,12,3,11
8,67,46,11,39,42,25
2,67,69,8,44,19,2
3,13,58,11,14,38,9
0,29,105,11,1,26,36
0,5,74,11,16,53,78
0,67,92,11,45,33,52
1,4,9,11,31,36,4
0,30,72,10,18,47,31
0,21,60,11,27,24,18
9,52,25,11,34,45,73
3,40,61,11,14,44,38
2,63,22,11,13,21,68
9,67,73,11,26,2,49
0,27,45,11,8,44,28
0,33,77,11,16,52,45
0,47,85,6,53,9,55
0,24,73,11,25,29,32
7,67,80,11,40,32,79
2,41,45,11,17,25,40
0,57,29,11,2,1,66
11,50,2,11,47,34,57
4,26,112,11,30,23,33
9,32,68,11,51,51,50
0,38,106,11,1,33,48
0,58,13,11,23,20,67
3,43,25,11,19,30,37
2,48,39,11,37,16,60
2,20,84,11,36,36,19
9,56,39,11,52,37,63
0,34,74,11,25,13,42
0,1,52,10,5,52,1
4,60,115,11,35,22,69
2,31,118,11,11,14,34
2,67,50,11,4,6,26
0,0,52,7,32,41,0
0,37,84,11,53,7,39
3,15,24,11,19,12,10
2,2,115,11,11,18,3
0,6,71,11,25,8,12
3,66,61,9,14,35,65
9,53,21,11,38,39,75
0,44,71,10,54,28,51
0,62,66,11,21,33,64
5,67,27,11,24,45,59
0,67,15,11,6,27,7
4,35,103,11,28,31,43
0,46,20,11,7,15,53
0,10,74,12,43,33,77
9,54,21,11,33,15,74
4,36,113,11,30,32,44
