Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
1,447558,84,84,2,20,447142
0,9446,79,79,2,3,7647
0,5255,73,73,3,32,2763
0,994934,12,12,2,10,993237
1,2113129,5,5,2,1,2112008
1,339503,95,95,2,16,338613
0,571876,60,60,2,36,570902
0,409340,94,94,0,9,408633
0,747945,61,61,3,38,745645
0,415,76,76,3,17,74
0,34900,81,81,2,42,34403
1,1568049,34,34,3,22,1567459
0,796821,75,75,2,44,795886
0,677663,24,24,2,1,676746
1,1037381,92,92,2,26,1036476
1,434997,7,7,0,18,434554
0,787501,70,70,2,10,786539
1,514049,83,83,3,0,513210
0,1751697,6,6,1,6,1751281
0,767190,27,27,2,35,766081
0,155295,90,90,2,12,154171
0,14817,15,15,4,17,14209
0,74492,20,20,2,37,73803
0,1021876,58,58,2,6,1021316
0,1605890,77,77,2,6,1605162
0,310242,37,37,2,16,309811
0,1067748,78,78,2,16,1067248
0,810033,68,68,2,10,808633
0,524283,29,29,2,29,523744
0,1162532,40,40,2,6,1161927
0,796791,69,69,2,37,795304
1,1226536,45,45,2,1,1225625
0,292232,52,52,0,7,291777
0,493953,85,85,2,16,493609
1,579,47,47,4,17,1
0,1575106,51,51,2,26,1574483
1,1285729,44,44,2,1,1284860
0,738027,49,49,2,35,736090
1,624101,25,25,2,28,623469
1,6256,13,13,3,17,4343
1,3678,43,43,2,31,1996
0,415202,8,8,0,19,414870
0,456990,38,38,2,19,456034
1,26464,57,57,2,16,24623
0,43740,66,66,0,5,43105
0,556441,28,28,0,27,555500
0,302448,35,35,2,16,301999
0,408301,93,93,2,1,407363
1,14261,88,88,3,2,11517
1,69017,91,91,5,33,68592
1,1643722,32,32,2,39,1642802
1,84542,19,19,2,4,84111
1,2665,11,11,3,17,1541
0,1145346,89,89,2,15,1144930
1,1078009,0,0,2,16,1077569
1,598,63,63,4,17,2
0,743148,41,41,0,10,742618
1,1445532,21,21,2,39,1444765
1,828817,3,3,0,41,828224
1,1493,80,80,2,23,471
1,752839,23,23,2,1,752246
1,2418,10,10,2,24,715
1,405646,54,54,2,16,404846
0,1735532,71,71,3,25,1734645
1,995699,86,86,3,10,995106
1,2026309,9,9,0,22,2025506
1,483,18,18,2,4,1
0,1708125,2,2,3,14,1707238
1,571767,74,74,2,39,570709
0,888037,87,87,2,44,886754
1,18905,65,65,3,17,17574
0,1735953,72,72,0,34,1735636
1,846780,4,4,2,6,844948
1,3924,64,64,2,13,2239
0,287968,36,36,0,40,286817
0,776048,26,26,2,44,775092
1,15756,46,46,2,35,14755
0,232541,30,30,2,33,231249
0,322283,56,56,2,43,321357
1,75990,1,1,2,30,74263
0,156954,97,97,2,21,155782
1,389254,82,82,2,0,388238
0,12112,17,17,0,17,11726
1,3821,14,14,3,17,1521
0,1680779,33,33,2,1,1680060
1,11816,48,48,3,17,9516
0,446968,59,59,2,1,445976
1,1658775,31,31,2,25,1658077
0,1430208,22,22,2,1,1429318
0,1217,96,96,2,21,24
1,145136,62,62,2,6,143469
0,703062,67,67,2,6,702091
1,1786875,50,50,2,26,1786159
0,1000,42,42,2,8,2
0,457660,39,39,0,11,457121
1,2307,53,53,2,2,1621
0,309976,55,55,3,16,309383
0,11716,16,16,0,17,11321
