Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,1169344,40,40,1,25,1158920
1,7614,2,0,0,2,1030
1,609988,156,156,1,124,605538
0,1211309,161,161,1,132,1200861
1,71128,80,80,1,17,60752
1,18759,150,150,3,74,8548
1,52109,55,55,1,60,41772
1,18044,36,36,1,9,13358
0,424181,137,137,1,64,413739
0,225503,222,222,1,116,215040
0,1026196,140,140,3,35,1015775
0,330111,108,108,1,71,322282
1,458221,50,50,1,110,447770
0,328819,64,64,1,68,318764
0,18045,172,172,1,65,7588
1,83617,100,100,1,89,73238
0,743366,13,13,3,92,733188
0,775910,130,130,1,91,765552
1,22103,169,169,1,52,14689
0,332104,166,166,1,52,321641
1,7780,9,9,2,123,2
0,818767,119,119,1,121,810066
0,573981,157,157,1,124,563530
1,459416,61,61,1,139,449073
1,5380,25,25,3,26,2
1,214744,10,10,3,38,206012
1,31572,74,74,1,24,21127
1,63253,173,173,1,76,52823
0,286931,190,190,1,97,283691
0,149649,114,114,2,25,143326
1,14171,178,178,2,59,4392
1,11492,31,31,1,56,5925
1,26884,60,60,1,51,16478
1,45907,205,205,2,16,38978
0,13390,159,159,1,125,2987
0,193120,183,183,2,96,183374
0,9732,191,191,1,18,1
1,1233807,176,176,3,136,1224493
1,62951,93,93,1,85,52593
1,970184,184,184,1,83,959784
1,138304,215,215,1,49,127910
1,13701,151,151,1,79,3220
0,328850,46,46,1,14,318795
1,5595,7,7,2,137,1
0,213628,99,99,1,129,203258
0,24168,111,111,3,22,13795
1,31191,120,120,1,53,20812
0,3034,90,90,2,86,2
1,347060,219,219,2,139,339083
1,127990,148,148,3,122,117557
1,390898,218,218,1,71,380639
1,60872,206,206,1,21,50520
1,141214,129,129,1,39,130814
0,842551,211,211,1,6,832124
0,475972,76,76,2,82,470489
1,534898,112,112,2,103,529028
1,47512,123,123,1,14,39092
0,2345983,164,164,1,21,2335691
0,33876,199,199,1,69,23431
0,2017022,5,5,2,101,2011656
0,796435,41,41,3,135,786038
0,908777,37,37,1,102,898398
0,1020605,200,200,3,19,1014285
1,25728,92,92,3,39,21774
0,13163,65,65,1,48,2601
0,789447,212,212,3,113,779023
0,7954,192,192,2,66,2
1,229560,213,213,1,93,219184
0,1028641,19,19,1,100,1018586
1,69531,217,217,1,49,59128
0,5243,68,68,1,45,2
0,9826,22,22,2,114,2831
1,12411,132,132,3,3,1858
0,6482,4,4,2,66,3
1,78813,196,196,1,140,72588
1,12312,195,195,2,7,7990
1,40663,197,197,1,125,30197
1,24830,101,101,1,39,14646
0,288082,208,208,1,94,277652
1,64484,127,127,2,97,55971
1,127475,170,170,1,88,117093
1,32850,186,186,1,100,28143
0,207695,52,52,1,111,204667
1,36235,216,216,1,50,25871
0,11147,32,32,2,117,4143
0,1351353,153,153,3,136,1340908
0,30892,73,73,1,124,20468
0,745319,39,39,1,134,734937
1,353296,96,96,2,7,348857
0,7476,0,1,2,103,127
1,21015,75,75,1,62,14486
0,5481,154,154,2,37,1
1,5231,26,26,1,133,1
1,78745,63,63,1,1,68291
0,574518,141,141,3,98,565420
1,27113,193,193,3,138,16665
0,647211,115,115,3,136,636820
1,802151,14,14,1,115,791817
0,65194,21,21,1,41,54806
1,6388,122,122,1,128,323
0,296067,109,109,3,73,288610
0,62219,38,38,1,133,51870
1,19188,33,33,1,15,11071
1,34912,168,168,1,132,27714
0,239506,160,160,2,68,231410
0,217558,3,3,3,72,208664
1,52443,43,43,3,19,42064
0,5929,149,149,1,12,3
1,35770,42,42,3,61,25298
0,5956,20,20,1,134,733
0,586972,45,45,1,11,576509
1,88568,198,198,1,55,78117
0,13525,107,107,3,97,3143
0,623676,89,89,1,21,613279
1,11537,174,174,1,84,1098
0,505288,12,12,1,130,494840
1,39653,24,24,1,60,33702
1,158064,214,214,1,99,147781
1,54831,125,125,1,97,44338
1,1392969,104,104,1,0,1382515
0,2345195,165,165,1,140,2334792
0,5893,35,35,1,13,1
0,1174010,188,188,2,100,1168695
0,595061,48,48,3,88,584655
1,89016,117,117,1,13,78604
1,487135,84,84,1,109,478468
0,3341,189,189,2,90,3
0,5467,72,72,2,75,2
1,225073,34,34,1,39,217409
1,6046,78,78,2,41,2
0,610602,139,139,1,126,600223
0,548110,152,152,1,78,541838
0,8611,116,116,1,47,3
1,940675,88,88,1,34,930293
0,566844,202,202,3,78,556376
1,94486,145,145,1,54,84056
1,19647,54,54,1,108,9304
1,1142692,87,87,2,28,1136952
1,17336,67,67,1,77,6891
1,6309,69,69,3,21,1
0,6144,62,62,1,42,3
0,796416,187,187,1,5,789632
0,252780,210,210,1,112,242332
0,6275,17,17,3,47,3
1,9243,23,23,3,10,3028
0,230403,209,209,1,64,222871
0,638425,171,171,1,45,628055
1,54812,6,6,1,106,50482
0,5690,77,77,3,127,3
1,6239,134,134,2,60,3
0,47046,57,57,3,67,36631
0,1352921,106,106,1,46,1342479
0,536745,47,47,1,104,531839
0,1415129,8,8,3,136,1406220
