Gender,Birth_Date,First_Name,Entity_Type,Birthplace,Languages,Profession
1,49,35,0,34,6,26
1,28,20,0,2,7,6
1,8,12,0,49,3,14
1,57,51,0,6,7,6
1,23,34,0,15,6,0
1,14,17,0,45,3,37
1,65,18,0,11,7,34
1,56,8,0,31,7,4
1,36,39,0,50,7,6
1,11,49,0,31,6,26
1,40,10,0,29,1,26
1,39,32,0,53,7,32
0,20,34,0,48,7,25
1,26,34,0,56,6,0
1,34,38,0,3,6,0
1,74,30,0,13,7,6
1,12,5,0,38,0,9
1,7,2,0,20,6,0
1,47,20,0,12,7,6
1,2,47,0,10,2,3
1,68,8,0,37,7,20
1,13,33,0,44,8,19
1,30,0,0,2,7,6
1,54,27,0,0,6,1
1,78,7,0,6,7,6
1,35,40,0,31,6,0
1,69,43,0,33,7,6
1,15,22,0,18,7,18
1,21,37,0,6,7,7
1,33,34,0,41,9,37
1,10,9,0,58,5,23
1,22,19,0,24,3,28
1,17,31,0,17,6,22
1,37,8,0,6,7,6
1,32,39,0,4,6,30
1,53,6,0,28,6,15
1,38,44,0,6,7,6
1,9,42,0,42,7,12
1,19,36,0,1,6,17
1,51,6,0,31,6,0
1,5,25,0,8,6,26
0,79,34,0,54,6,0
1,6,3,0,55,0,33
1,70,12,0,42,7,6
1,64,47,0,57,7,31
1,18,16,0,5,7,11
0,46,50,0,26,7,25
1,29,13,0,4,6,0
1,44,14,0,9,6,0
1,58,33,0,51,6,0
0,76,34,0,42,6,0
0,16,28,0,31,7,36
1,4,29,0,36,4,21
1,52,23,0,40,8,0
1,0,34,0,25,5,24
1,42,46,0,22,7,8
1,25,41,0,30,6,0
1,73,44,0,7,7,26
1,43,34,0,21,6,0
1,1,34,0,23,4,16
1,48,14,0,3,6,0
1,24,34,0,31,6,35
1,75,34,0,42,6,6
1,45,23,0,27,8,0
1,55,48,0,43,6,0
1,31,0,0,50,7,6
1,60,32,0,47,7,11
1,27,24,0,33,7,6
1,77,1,0,6,7,10
1,79,34,1,31,6,2
1,59,34,0,46,6,27
1,72,4,0,6,6,6
1,63,32,0,35,7,5
1,3,34,0,16,6,11
1,66,21,0,52,7,6
1,67,45,0,6,7,6
1,50,11,0,19,6,0
1,62,23,0,32,8,0
1,41,15,0,39,6,29
1,71,44,0,42,6,6
1,61,26,0,14,7,13
