GeneClassification,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
1,3818,116,116,1,68,2061,1
0,497232,52,52,0,1,497002,0
1,1362603,65,65,1,33,1360342,0
1,10034,9,9,1,42,9492,0
1,705460,53,53,1,22,703286,0
1,720,117,117,1,47,1,0
1,560632,56,56,1,16,560198,0
1,161676,77,77,1,11,160684,1
1,2942,36,36,1,55,882,1
1,53693,60,60,1,27,52560,1
1,1058918,107,107,1,31,1056777,0
1,1193345,103,103,1,29,1191366,0
0,591642,58,58,0,14,591283,1
1,2356776,5,5,1,35,2355799,0
1,38921,63,63,1,10,36609,1
1,82404,8,8,1,36,80149,1
1,3053,22,22,1,49,873,0
1,501852,62,62,1,30,499696,1
1,110965,129,129,1,7,109046,0
1,454212,110,110,1,22,451945,1
1,1166328,33,33,1,32,1164352,1
1,8796,46,46,1,4,6766,1
0,302402,47,47,0,11,301785,1
1,2832,55,55,1,58,619,0
1,26356,44,44,1,56,24182,1
1,628270,39,39,1,14,627785,1
1,60797,32,32,1,15,58671,1
1,85717,41,41,1,3,84713,1
1,29015,29,29,1,53,27780,1
1,479217,78,78,1,13,477172,0
1,395040,109,109,1,22,392911,1
1,2179419,98,98,1,34,2176948,1
1,742170,79,79,1,22,739927,0
1,195717,4,4,1,6,194815,0
1,9199,102,102,1,65,7001,1
1,606833,38,38,1,35,604902,0
1,53186,23,23,1,0,51024,0
0,12912,2,2,0,40,12295,0
1,5374,106,106,1,66,4073,1
1,346367,43,43,1,22,344166,1
0,551749,34,34,0,16,551012,0
1,656983,72,72,1,29,654773,0
0,81636,75,75,0,12,81217,1
1,18169,7,7,1,15,16115,1
1,2355697,99,99,1,35,2354525,0
1,160581,125,125,1,11,159610,1
0,610706,89,89,0,10,610452,0
0,356850,24,24,0,38,356083,1
1,246323,69,69,1,25,244452,1
1,258202,86,86,1,24,255983,1
1,802663,61,61,1,26,801878,0
1,628874,59,59,1,14,628374,1
1,1105132,104,104,1,29,1103840,1
0,1157244,30,30,0,28,1157023,0
1,2001346,67,67,1,34,1998842,0
1,122127,119,119,1,69,120202,0
1,32651,28,28,1,52,31587,1
1,576256,1,1,1,16,575726,0
1,13846,11,11,1,43,12761,0
1,69895,3,3,1,20,67685,1
1,292285,127,127,1,23,290090,1
1,522056,128,128,1,13,520707,0
1,967593,57,57,1,35,965515,1
1,18788,27,27,1,39,16752,1
1,1431,21,21,1,48,1,0
1,843337,66,66,1,21,841178,0
1,27802,123,123,1,71,25553,1
0,521,0,0,0,50,3,1
1,149082,120,120,1,69,147823,0
1,630544,12,12,1,17,630077,0
1,114991,82,82,1,3,114542,1
1,2356,6,6,1,41,188,0
0,116089,76,76,0,2,115388,1
1,5373,101,101,1,64,3175,0
1,414917,90,90,1,17,412986,0
1,590889,94,94,1,14,588715,1
1,879776,20,20,1,24,877512,0
1,16562,25,25,1,24,16113,1
1,551038,40,40,1,14,548948,0
1,573072,92,92,1,16,571858,0
1,20468,93,93,1,5,18309,1
1,194168,87,87,1,16,192141,0
1,804175,48,48,1,22,801998,0
1,7341,15,15,1,44,5542,1
1,1092022,122,122,1,34,1090076,1
1,853635,113,113,1,29,852247,0
1,6731,37,37,1,26,4560,1
1,24063,88,88,1,63,21859,0
0,569,74,74,0,60,3,1
1,605835,112,112,1,29,604711,1
0,477141,105,105,0,5,476586,0
1,47761,115,115,1,68,45575,0
1,80858,13,13,1,35,80019,1
1,111044,130,130,1,8,109113,0
1,40865,17,17,1,20,38190,1
1,17708,31,31,1,54,16425,1
0,393868,85,85,0,9,393167,0
1,238993,70,70,1,23,236726,1
1,5239,51,51,1,57,3059,1
1,2117,26,26,1,51,3,1
1,45873,83,83,1,62,43711,1
1,305003,100,100,1,22,302736,0
1,724179,14,14,1,17,722086,0
1,564263,35,35,1,34,562332,1
1,487684,132,132,1,17,485708,0
1,9794,121,121,1,70,7884,1
1,395811,50,50,1,19,393328,0
1,399746,91,91,1,17,397836,0
1,510087,18,18,1,29,508918,0
1,5081,19,19,1,10,2874,1
1,630340,42,42,1,18,629867,0
1,45587,118,118,1,69,43530,1
1,12118,54,54,1,45,9896,0
1,603844,95,95,1,14,602780,1
1,28251,114,114,1,67,27310,0
1,15656,49,49,1,1,13635,1
1,551317,80,80,1,17,549344,0
1,2323,68,68,1,59,1850,0
1,17469,84,84,1,46,15220,0
1,2747,81,81,1,61,2046,0
1,1525088,97,97,1,33,1523784,1
1,1220025,96,96,1,33,1218841,0
1,1560715,16,16,1,35,1558235,1
1,8315,10,10,1,29,7779,1
1,415880,45,45,1,23,413892,0
0,352533,108,108,0,37,352018,1
1,429,126,126,1,72,1,0
1,640806,111,111,1,9,638620,0
1,216636,71,71,1,23,214564,1
1,61722,124,124,1,34,61057,1
1,149675,131,131,1,8,147582,0
0,875271,73,73,0,29,874933,0
1,1428134,64,64,1,33,1426182,0
