profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,instagram_handle,social_media_followers,pro_cycling_stats_cyclist_id,current_team,cyclist_name,memoire_du_cyclisme_cyclist_id,nationality,twitter_handle,birthplace,uci_rider_id,languages,weight_kg,birthdate,first_name,cycling_archives_cyclist_id,surname,first_cycling_rider_id,height_cm,freebase_id,cycling_discipline
1,30,57472.0,21342.0,33,24,317302.0,178184.0,4,33,,4,19,10,91656.0,7,62.0,26,32,66785.0,25,23097.0,170.0,32,3
1,11,22663.0,5789.0,8,7,1529344.0,140869.0,16,8,12014.0,9,29,27,43936.0,6,69.0,7,8,22017.0,13,713.0,186.0,15,3
1,11,22663.0,5789.0,8,7,1529344.0,140869.0,16,8,12014.0,9,29,27,43936.0,6,69.0,7,8,22017.0,13,713.0,186.0,15,3
1,5,41075.0,10536.0,3,4,8232.0,140489.0,14,3,42346.0,6,2,32,60455.0,4,68.0,10,3,46549.0,25,948.0,183.0,24,3
1,35,30398.0,9794.0,4,0,37720.0,140493.0,11,4,31964.0,18,27,28,62315.0,7,63.0,11,4,43241.0,35,2277.0,175.0,23,0
1,32,15757.0,2321.0,30,0,105592.0,140747.0,27,30,19065.0,11,17,4,28366.0,7,75.0,4,29,10533.0,36,29.0,190.0,13,3
1,13,65688.0,24926.0,9,9,465450.0,198937.0,12,9,,2,6,40,95844.0,11,60.0,40,9,100412.0,4,58275.0,175.0,32,3
1,4,8760.0,4179.0,2,14,42225.0,140749.0,7,2,6915.0,12,11,34,32691.0,7,78.0,9,2,19407.0,18,406.0,181.0,17,3
1,2,69634.0,26526.0,34,26,5000.0,194619.0,20,34,,15,20,19,149727.0,10,66.0,41,33,115790.0,28,45992.0,176.0,32,3
0,15,47965.0,17988.0,39,19,,138125.0,24,39,,1,18,39,70962.0,2,74.0,25,37,64279.0,22,8377.0,1.85,32,1
1,36,56672.0,22018.0,35,0,52940.0,168758.0,15,35,,17,38,15,86735.0,3,,35,34,74063.0,15,16639.0,183.0,7,4
1,13,65688.0,24926.0,9,9,465450.0,198937.0,12,9,,2,6,40,95844.0,11,60.0,40,9,100412.0,4,58275.0,175.0,32,3
1,22,55710.0,21145.0,20,17,20655.0,132339.0,34,20,69005.0,15,35,21,86863.0,10,70.0,32,20,71405.0,23,16687.0,185.0,18,3
1,27,39004.0,,31,21,47028.0,138497.0,19,31,65024.0,6,7,31,66298.0,4,,21,30,60878.0,12,89540.0,,29,2
1,24,27794.0,12923.0,27,15,156620.0,140821.0,27,27,28843.0,13,32,9,58528.0,8,65.0,15,26,36053.0,19,2961.0,176.0,21,3
1,6,55192.0,19941.0,43,33,31137.0,135398.0,30,43,58156.0,1,41,16,86228.0,7,75.0,18,41,59790.0,20,10971.0,180.0,4,3
1,31,39842.0,12843.0,29,20,1311517.0,140292.0,5,29,52504.0,2,16,36,67388.0,11,58.0,14,28,57418.0,29,2276.0,166.0,27,3
1,29,52044.0,20798.0,24,18,9184.0,132438.0,17,24,66541.0,7,14,3,86938.0,5,70.0,29,24,71789.0,32,16643.0,183.0,32,3
1,38,,16895.0,38,28,16372.0,140066.0,2,38,,1,22,23,53352.0,2,78.0,12,37,21913.0,9,1970.0,190.0,6,3
