profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,instagram_handle,social_media_followers,pro_cycling_stats_cyclist_id,current_team,cyclist_name,memoire_du_cyclisme_cyclist_id,nationality,twitter_handle,birthplace,uci_rider_id,languages,weight_kg,birthdate,first_name,cycling_archives_cyclist_id,surname,first_cycling_rider_id,height_cm,freebase_id,cycling_discipline
0,1,56070.0,20777,10,8,203494.0,179769,18,10,,1,5,6,86568,9,71.0,17,10,79781,10,18575,180.0,14,5
0,3,69634.0,26526,24,18,5000.0,194619,15,24,,10,12,5,149727,8,66.0,25,24,115790,13,45992,176.0,14,3
0,26,54395.0,20730,26,21,252749.0,168961,4,26,,0,15,2,75859,1,70.0,18,26,74709,24,18258,187.0,2,1
0,13,6679.0,2086,4,2,170534.0,140786,2,4,12728.0,4,0,15,22143,3,82.0,1,4,9414,4,377,184.0,8,3
0,15,47066.0,16881,21,0,41605.0,140633,10,21,47478.0,3,2,25,59614,2,,9,20,32178,0,2530,175.0,9,3
0,18,69190.0,25740,16,12,,196424,19,16,,2,14,3,112082,0,,23,15,115868,20,38195,175.0,14,3
0,17,,26392,14,10,,193131,3,14,,0,11,10,148275,5,69.0,24,14,89152,12,45363,176.0,14,3
0,5,47686.0,17534,15,11,8603.0,140333,17,15,45660.0,11,20,11,59773,9,72.0,10,21,37589,5,2325,183.0,12,0
0,24,56386.0,21267,19,0,,160236,10,19,,3,11,22,72160,2,76.0,15,18,73209,16,17210,182.0,3,5
0,21,,7943,20,0,,137486,6,20,,9,11,24,55401,7,,2,19,40355,10,17301,,14,2
0,22,26009.0,12193,22,16,1940308.0,140797,7,22,9096.0,9,21,26,54603,7,78.0,7,22,30229,15,784,184.0,6,2
0,7,8760.0,4179,2,13,42225.0,140749,5,2,6915.0,7,8,18,32691,5,78.0,3,2,19407,6,406,181.0,5,3
0,4,61538.0,24057,11,0,,177672,22,11,,5,11,21,91640,4,82.0,21,11,79184,2,27099,193.0,14,5
0,14,40668.0,10220,3,0,2217.0,140476,1,3,55142.0,5,1,1,71284,4,,4,3,45724,11,3147,174.0,14,3
0,9,62573.0,23503,6,4,54522.0,181270,23,6,,1,18,17,92264,9,63.0,20,6,91205,9,27124,174.0,14,3
0,16,39897.0,12748,13,20,1741.0,138849,15,13,52489.0,10,7,9,64864,8,67.0,8,13,54755,18,3050,173.0,0,3
0,11,68529.0,24255,8,6,29548.0,181748,8,8,,3,4,8,112351,2,53.0,22,8,105237,3,37378,173.0,14,3
1,19,39287.0,13240,9,7,66281.0,140835,12,9,10495.0,5,19,4,55029,4,67.0,5,9,21075,21,1310,178.0,7,5
0,2,,31598,18,15,,240123,11,18,,12,11,14,361433,5,,26,17,148738,17,102733,183.0,14,3
0,25,47214.0,16722,25,19,34792.0,140674,16,25,46202.0,0,13,16,64531,5,71.0,11,25,52973,23,6228,183.0,10,0
0,10,46049.0,19242,7,5,,139823,12,7,39932.0,6,3,20,69149,5,80.0,16,7,43239,10,7730,183.0,11,1
0,0,16289.0,5,0,1,470645.0,140924,14,0,19443.0,11,17,12,14575,5,61.0,0,0,7005,19,38,177.0,4,3
0,6,,24316,1,0,,181239,9,1,,8,16,23,97280,6,67.0,19,1,104872,22,37281,186.0,14,0
0,23,56041.0,20719,23,17,127549.0,174582,20,23,66232.0,10,22,19,88889,8,65.0,6,23,72449,14,18655,177.0,13,4
0,8,,19953,5,3,9081.0,137740,0,5,56690.0,3,9,7,81980,2,76.0,13,5,77405,7,14737,189.0,1,3
0,12,52116.0,19994,12,9,21760.0,132360,13,12,62863.0,3,6,13,75170,2,55.0,14,12,67513,8,10990,173.0,14,3
0,20,60237.0,21439,17,14,16255.0,137850,21,17,,3,10,0,88951,2,69.0,12,16,92418,1,22268,184.0,14,1
