Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,38827,224,224,1,35924,3,1
0,3779,181,181,0,1517,0,0
0,9869,52,52,0,8244,0,1
1,825842,309,309,1,823350,3,0
0,502030,128,128,0,499289,0,0
1,79193,76,76,1,76656,3,1
1,7137,319,319,1,4348,3,0
1,7245,290,290,1,4687,3,1
0,66235,246,246,0,64469,0,1
1,21822,316,316,1,18838,3,1
0,104384,70,70,0,101526,0,1
0,77950,16,16,0,74987,0,1
1,510295,140,140,1,507728,3,1
1,847503,310,310,1,845194,3,0
1,16574,221,221,1,14088,3,1
1,181574,313,313,1,180063,3,1
1,625252,227,227,1,622190,3,0
1,981807,277,277,1,979324,3,1
1,16715,184,184,1,14439,3,1
0,3108,209,209,0,115,0,0
1,2940,211,211,1,73,3,1
1,2351295,263,263,1,2348338,3,0
1,4799,270,270,1,2103,3,0
0,86361,186,186,0,83876,0,1
1,225780,77,77,1,223900,3,0
1,578138,97,97,1,576360,3,0
1,504140,267,267,1,500865,3,0
1,636457,212,212,1,635763,3,0
1,847195,161,161,1,845501,3,0
1,492362,26,26,1,490971,3,0
1,236472,222,222,1,233641,3,0
0,779582,201,201,0,776703,0,0
0,5320,122,122,0,4310,0,1
1,3857,102,102,1,1095,3,1
0,650247,99,99,0,648161,0,0
1,12394,303,303,1,9605,3,0
1,976,19,19,1,2,3,1
1,13435,271,271,1,10745,3,0
0,2274,49,49,0,1,0,0
1,628999,141,141,1,626735,3,0
1,13990,113,113,1,11384,3,1
0,14595,64,64,0,12280,0,1
1,11256,252,252,1,8914,3,1
1,2327020,262,262,1,2324351,3,0
1,5339,50,50,1,2904,3,1
0,65081,82,82,0,62292,0,1
0,1335,244,244,0,1,1,1
0,805554,312,312,0,804478,0,0
0,782600,202,202,0,781197,0,0
0,955,154,154,0,2,1,1
1,1573917,164,164,1,1571158,3,0
0,1995400,173,173,0,1993454,0,0
0,794113,240,240,0,793295,1,0
1,644271,95,95,1,641242,3,1
0,56433,247,247,0,54619,1,1
1,654938,251,251,1,652152,3,0
1,1032018,48,48,1,1029001,3,0
0,1140600,194,194,0,1138639,0,0
1,411506,56,56,1,408474,3,0
1,924785,235,235,1,922281,3,1
0,4734,121,121,0,2191,0,0
0,8397,14,14,0,5578,0,1
0,764760,200,200,0,762982,0,0
1,3210,21,21,1,616,3,1
1,587182,273,273,1,584897,3,1
0,4421,30,30,0,3684,0,1
0,9939,55,55,0,8926,0,0
0,606712,236,236,0,603989,0,0
1,21218,239,239,1,18921,3,1
0,2501,81,81,0,102,1,1
1,7457,213,213,1,4911,3,1
0,490870,44,44,0,489493,0,0
1,4073,4,4,1,1218,3,0
1,110366,248,248,1,107442,3,1
1,22430,43,43,1,19944,3,1
1,15107,261,261,1,12237,3,1
1,41742,306,306,1,39727,3,1
0,663320,257,257,0,660522,0,0
0,58458,112,112,0,55432,0,1
1,486237,23,23,1,483109,3,0
1,353345,137,137,1,350952,3,0
0,9141,219,219,0,8410,0,0
1,2693,280,280,1,396,3,0
1,44770,24,24,1,42977,3,1
0,18183,232,232,0,15433,0,0
1,5678,126,126,1,4257,3,1
0,655728,166,166,0,653962,0,0
0,33262,307,307,0,31331,0,1
0,791878,119,119,0,790079,0,0
1,760085,241,241,1,757590,3,0
0,1852491,172,172,0,1847980,0,0
1,130785,103,103,1,128263,3,0
1,122539,188,188,1,120197,3,1
0,594892,225,225,0,591674,0,0
0,571445,196,196,0,567813,0,0
1,690966,178,178,1,687994,3,0
1,18751,108,108,1,16475,3,1
1,582823,20,20,1,581135,3,0
0,67475,296,296,0,65139,0,1
1,25743,229,229,1,24748,3,1
1,71114,193,193,1,69705,3,1
0,103187,323,323,0,101616,1,0
0,702008,179,179,0,700188,0,0
1,585311,226,226,1,582390,3,0
1,2325261,41,41,1,2323705,3,0
1,491613,132,132,1,488857,3,1
1,12191,230,230,1,9909,3,1
1,7825,89,89,1,5795,3,0
1,59561,139,139,1,57681,3,1
0,4036,62,62,0,1289,0,1
1,3158,253,253,1,408,3,1
0,1434052,152,152,0,1432280,0,0
1,29749,159,159,1,26915,3,1
1,430057,183,183,1,427406,3,0
1,10910,87,87,1,8910,3,0
0,30562,278,278,0,28739,1,1
1,7313,234,234,1,4734,3,0
0,4216,131,131,0,1460,0,1
1,4679,182,182,1,1893,3,0
1,10460,75,75,1,8049,3,1
1,28755,101,101,1,25951,3,1
1,2892,66,66,1,97,3,0
1,912033,71,71,1,909235,3,0
1,15683,255,255,1,12888,3,0
1,30617,147,147,1,28410,3,1
0,75311,148,148,0,73533,0,1
1,14564,59,59,1,12819,3,1
1,706189,13,13,1,704129,3,0
0,120500,322,322,0,118605,0,0
1,26060,258,258,1,23298,3,1
0,201879,299,299,0,200095,0,0
0,8589,28,28,0,6541,0,1
0,1385359,151,151,0,1383590,0,0
1,688837,86,86,1,685982,3,0
0,54516,92,92,0,53479,0,1
1,1443,18,18,1,1,3,1
1,201254,157,157,1,198909,3,0
1,670094,36,36,1,667467,3,0
1,628364,98,98,1,625434,3,0
0,10587,180,180,0,8119,0,1
0,61849,45,45,0,60071,0,1
0,39476,268,268,0,36720,0,1
0,3597,233,233,0,1834,0,0
1,5025,156,156,1,2677,3,1
0,20670,138,138,0,18052,0,1
1,829858,117,117,1,827087,3,0
1,2071578,162,162,1,2068987,3,0
1,411543,242,242,1,408877,3,0
1,848494,160,160,1,847454,3,0
1,8756,143,143,1,5919,3,1
0,169188,305,305,0,166855,0,1
0,7010,291,291,0,4233,0,1
1,492103,127,127,1,489575,3,0
1,14953,302,302,1,12005,3,1
0,427483,287,287,0,425420,0,0
1,570499,250,250,1,567725,3,0
0,36437,100,100,0,35517,0,1
1,68621,189,189,1,67503,3,1
1,245943,60,60,1,244298,3,0
1,556405,238,238,1,554000,3,1
0,8383,218,218,0,7271,0,0
1,873816,169,169,1,871123,3,0
0,20605,214,214,0,20087,1,0
1,2350211,165,165,1,2347587,3,0
1,14712,220,220,1,11650,3,0
1,14455,88,88,1,11690,3,0
0,1137976,135,135,0,1133828,0,0
1,96498,206,206,1,94816,3,1
1,83774,185,185,1,82602,3,1
1,3538,292,292,1,857,3,1
1,483389,320,320,1,481422,3,0
0,85945,308,308,0,83153,0,1
1,6970,57,57,1,4526,3,0
0,22871,3,3,0,21810,0,1
0,2258,46,46,0,3,1,1
0,728090,35,35,0,725151,0,0
0,1739,11,11,0,3,1,1
0,258722,217,217,0,256827,0,0
1,8963,175,175,1,6399,3,1
1,145152,314,314,1,142906,3,1
1,572075,300,300,1,569139,3,0
0,2028848,177,177,0,2027736,2,0
1,33122,281,281,1,30594,3,1
1,690828,274,274,1,688522,3,0
0,45706,259,259,0,43370,0,1
1,588116,2,2,1,586977,3,0
0,4613,115,115,0,1626,0,1
0,12865,289,289,0,9965,0,1
1,4342,80,80,1,1385,3,1
1,9360,254,254,1,6577,3,0
0,367390,215,215,0,364778,1,0
0,25602,133,133,0,22921,0,1
0,563158,321,321,0,560651,0,0
0,467624,168,168,0,464685,0,0
0,2010044,10,10,0,2009265,2,0
0,1225,51,51,0,1,0,1
1,9553,110,110,1,7784,3,0
1,33240,53,53,1,30436,3,1
1,197559,191,191,1,195199,3,1
1,2762,130,130,1,822,3,0
0,447897,285,285,0,446350,1,0
1,36839,204,204,1,34572,3,1
1,1721524,40,40,1,1718519,3,1
0,21702,58,58,0,18811,0,0
1,517997,129,129,1,514713,3,0
1,1984663,163,163,1,1981777,3,0
1,5794,134,134,1,3014,3,0
1,16034,124,124,1,13233,3,0
1,1133115,269,269,1,1130755,3,1
0,968,7,7,0,3,0,0
1,1174681,74,74,1,1172813,3,0
0,3158,5,5,0,342,0,1
1,648458,158,158,1,645735,3,0
1,28068,63,63,1,25282,3,1
0,1171911,145,145,0,1168945,0,0
0,2772,317,317,0,301,0,1
1,265804,199,199,1,263906,3,0
0,496864,167,167,0,494066,0,0
1,1626838,106,106,1,1624217,3,0
1,29971,142,142,1,27197,3,1
