WeightKg,ProfileImage,BirthDate,SportsTeam,CycleBaseCyclistId,CqRankingMaleCyclistId,LastName,FirstName,FirstCyclingRiderId,HeightCm,CommonsCategory,ProCyclingStatsCyclistId,BirthPlace,UciRiderId,FreebaseId,CyclingArchivesCyclistId
4,10,8,3,62257.0,26197.0,6,9,38937.0,177.0,10,181203,5,136296,8,105159
7,6,3,2,27757.0,8555.0,7,4,783.0,187.0,5,140279,3,40322,7,37083
1,2,7,9,53630.0,19651.0,2,1,16573.0,165.0,1,168753,7,78094,5,71432
9,0,4,1,8760.0,4179.0,5,0,406.0,181.0,0,140749,6,32691,4,19407
9,7,6,2,26009.0,12193.0,8,6,784.0,184.0,7,140797,10,54603,6,30229
2,9,10,7,83295.0,28377.0,1,8,84019.0,171.0,9,212377,0,587366,8,141854
8,4,2,5,3858.0,1831.0,0,3,549.0,188.0,3,140642,8,32112,1,11105
6,1,1,6,3935.0,1015.0,7,5,1029.0,182.0,6,140117,2,93403,2,10543
0,3,9,4,68529.0,24255.0,3,2,37378.0,173.0,2,181748,4,112351,8,105237
3,5,0,8,16884.0,1166.0,7,3,157.0,176.0,4,140390,1,22148,3,7721
5,8,5,0,,9803.0,4,7,700.0,183.0,8,139811,9,582454,0,30128
