WeightKg,ProfileImage,BirthDate,SportsTeam,CycleBaseCyclistId,CqRankingMaleCyclistId,LastName,FirstName,FirstCyclingRiderId,HeightCm,CommonsCategory,ProCyclingStatsCyclistId,BirthPlace,UciRiderId,FreebaseId,CyclingArchivesCyclistId
1,11,6,7,10573.0,1849.0,11,7,856.0,177.0,7,140695,15,28865,4,5845
6,6,10,12,43391.0,7948.0,4,15,865.0,179.0,14,139845,6,59022,2,61694
13,7,2,0,6679.0,2086.0,5,2,377.0,184.0,2,140786,11,22143,14,9414
3,16,3,11,19648.0,4021.0,0,16,163.0,170.0,16,140742,8,45562,8,20378
12,3,9,2,8760.0,4179.0,9,1,406.0,181.0,1,140749,14,32691,11,19407
9,13,4,1,1661.0,2440.0,2,8,790.0,178.0,8,140780,9,28331,13,10109
5,1,12,5,27587.0,8079.0,16,14,7871.0,178.0,13,140146,4,54970,0,36946
7,4,15,4,50824.0,18498.0,10,4,16154.0,187.0,4,138830,16,63841,10,58906
2,9,5,10,18673.0,4744.0,1,10,1864.0,175.0,10,140485,3,30730,12,22746
8,2,0,13,12542.0,10.0,13,0,179.0,184.0,0,140365,10,11372,7,3676
0,0,16,9,47767.0,18714.0,3,3,16752.0,169.0,3,137724,13,68950,16,38737
11,14,1,11,12798.0,270.0,14,13,666.0,190.0,12,140619,7,14576,6,3926
6,10,7,3,19255.0,3891.0,15,6,716.0,183.0,6,140196,2,32532,3,11292
5,1,12,5,27587.0,8079.0,16,14,7871.0,178.0,13,140146,4,54970,0,36946
13,15,11,7,8424.0,6784.0,8,11,1007.0,188.0,11,140342,1,45024,15,18093
0,0,16,9,47767.0,18714.0,3,3,16752.0,169.0,3,137724,13,68950,16,38737
4,5,14,6,,13311.0,12,12,6584.0,172.0,15,136289,0,64979,1,59421
10,8,8,6,6978.0,4377.0,6,5,31.0,181.0,5,140865,12,198213,5,18964
5,12,13,8,29720.0,10454.0,7,9,812.0,176.0,9,140453,5,55042,9,22193
