Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position
0,1160395,347,347,3,1159709
0,18293,404,404,3,17649
0,7200,135,135,4,6637
0,55025,359,359,4,54438
0,1464254,88,88,4,1463646
1,494817,204,204,4,494134
0,2016292,329,329,4,2015537
0,9057,388,388,4,8128
0,4555,132,132,4,3962
0,683253,98,98,4,682675
0,844685,368,368,3,844098
0,112468,401,401,1,111971
0,4870,340,340,4,4217
0,2682,265,265,4,1954
1,163066,8,8,4,162521
0,1955674,332,332,4,1955171
1,756041,99,99,4,755460
1,1368555,309,309,4,1367977
1,1487064,92,92,4,1486369
1,36247,72,72,4,35642
0,265007,259,259,4,264339
0,120884,34,34,2,120498
1,1921473,108,108,4,1920904
0,458814,352,352,4,458125
0,308712,370,370,4,308044
0,548591,227,227,2,548190
0,1604078,116,116,4,1603452
0,85370,61,61,4,84681
0,17407,262,262,4,16820
0,1033564,299,299,4,1032920
0,1738968,27,27,3,1738420
1,6677,379,379,4,6162
1,278070,223,223,4,277438
0,1731530,336,336,4,1730895
0,477620,207,207,4,476973
0,567879,381,381,2,567310
0,10321,126,126,4,9749
0,1686468,112,112,4,1685914
0,7629,231,231,4,6979
0,1645,356,356,4,1004
1,376974,55,55,4,376393
1,807869,24,24,3,807330
1,426818,138,138,4,426186
1,39701,52,52,4,39237
0,307213,260,260,4,306524
1,782,46,46,4,129
1,1132814,317,317,4,1132212
1,30799,73,73,4,30158
1,159847,67,67,4,159101
1,717564,271,271,4,716974
1,1637787,114,114,4,1637185
0,487905,171,171,4,487330
1,356421,430,430,3,355831
0,1932015,107,107,4,1931470
0,2027,39,39,4,1341
0,1743790,335,335,4,1743146
0,515441,208,208,4,514617
1,1118634,319,319,4,1117975
0,347837,17,17,3,347313
0,250738,323,323,4,250097
1,1579,3,3,4,1004
0,570400,76,76,4,569783
1,552848,146,146,4,552180
0,52129,266,266,4,51491
1,19103,380,380,3,18480
0,4829,258,258,4,4128
1,599763,234,234,4,598996
0,430625,12,12,4,430509
0,1148872,410,410,4,1148204
0,339516,226,226,4,338926
1,1581481,216,216,4,1580900
1,1081012,406,406,4,1080440
0,15668,344,344,4,15015
1,6518,304,304,4,5874
1,26110,306,306,4,25487
1,504309,428,428,3,503911
1,668902,150,150,4,668282
0,1995197,218,218,4,1994529
0,216763,322,322,4,216122
1,588625,158,158,3,587969
0,416038,383,383,4,415541
1,463493,101,101,3,462885
1,14001,394,394,4,13402
0,385637,20,20,3,384969
1,602338,320,320,4,601643
1,1845,389,389,2,1489
0,314714,123,123,4,314181
0,1473130,87,87,4,1472456
1,1134002,408,408,4,1133424
0,444695,31,31,4,444042
0,42175,386,386,4,41594
0,9261,128,128,4,8539
0,382637,57,57,4,382086
1,35038,303,303,4,34388
0,410050,249,249,4,409331
1,13194,349,349,3,12661
1,641578,83,83,4,640880
1,320021,423,423,4,319437
0,70385,300,300,4,69732
0,2893,384,384,4,2228
1,36160,19,19,4,35462
1,628319,185,185,3,627354
1,1066542,405,405,4,1065931
0,438865,351,351,4,438233
0,331967,154,154,4,331098
0,499409,366,366,3,498789
0,262228,37,37,4,261515
0,340144,413,413,4,339536
0,224418,168,168,4,223792
0,17055,48,48,4,16375
1,1049,286,286,4,204
1,807166,153,153,4,806492
1,874302,276,276,3,873739
1,281,10,10,5,3
0,16035,342,342,4,15472
1,301818,280,280,4,301183
1,6125,11,11,4,5631
0,578960,77,77,4,578253
0,1670681,28,28,4,1670067
0,544317,148,148,1,543658
0,278450,245,245,4,277617
0,482096,255,255,4,481446
0,16573,166,166,4,15977
0,1236,125,125,4,691
1,2152710,106,106,4,2152117
0,218124,167,167,4,217234
1,497850,296,296,4,497083
1,653543,84,84,4,652923
0,729959,96,96,4,729363
1,350824,414,414,2,350453
1,584282,133,133,4,583626
0,425782,142,142,2,425384
0,1261581,324,324,3,1260970
0,160801,403,403,4,160181
0,10872,104,104,3,10210
1,412598,282,282,4,411981
