StrandOrientation,GenomicEndPosition,GeneDbId,ChromosomeLocation,EncodedProtein,GenomicStartPosition
0,12460992,117,13,38,12457699
1,21664027,170,13,37,21662360
1,14716347,126,13,40,14714348
0,24261916,182,13,22,24259394
1,16959828,143,13,37,16958119
0,22507853,175,13,23,22506750
0,5694837,86,13,37,5693386
0,4347332,75,13,31,4345470
1,19111241,156,13,37,19109871
1,189059,56,13,37,186996
1,7321944,29,1,42,7320766
1,5535594,82,13,37,5533789
0,16126477,136,13,20,16125630
0,16125431,135,13,19,16124496
1,6407978,88,13,19,6406782
1,22866651,177,13,38,22865183
1,6962,185,10,25,4240
0,22420594,174,13,37,22418891
0,6622485,89,13,19,6621288
0,517377,186,11,23,516034
1,740910,58,13,37,739147
1,4478317,21,1,42,4476602
0,6731177,90,13,25,6730012
0,8345450,99,13,19,8343849
1,1163943,62,13,20,1162260
0,166610,3,2,33,159343
0,12044915,45,1,43,12043926
1,7308392,95,13,23,7307190
0,11814846,113,13,21,11812601
0,14246569,121,13,37,14244689
0,15525233,53,1,0,15523344
1,10367781,108,13,37,10366297
1,19353997,157,13,19,19353143
1,11228364,111,13,20,11227465
0,4821949,22,1,3,4818629
1,802447,11,7,19,797690
0,6404545,26,1,2,6402818
1,3890743,20,1,5,3888761
1,7536063,33,1,43,7534078
0,4110404,74,13,35,4109244
1,7085743,94,13,19,7084628
0,14417657,125,13,19,14416290
1,10471813,41,1,6,10470053
1,17169188,145,13,37,17167599
1,17204565,146,13,37,17202847
0,901193,59,13,23,900303
0,7485958,32,1,11,7483058
1,4986283,79,13,20,4984864
1,11930294,114,13,37,11928846
0,1138017,61,13,20,1136944
0,11141122,110,13,20,11139777
0,3552202,18,1,12,3549812
1,14297622,122,13,37,14294152
1,16271105,138,13,34,16270171
1,19098062,155,13,19,19092804
1,1488889,8,3,18,1488146
1,720767,1,0,18,720270
1,954065,60,13,24,950709
0,8446783,36,1,10,8444390
0,4961093,78,13,20,4960051
0,6830368,91,13,19,6828929
0,11411332,112,13,20,11410333
1,15699505,132,13,19,15698438
0,2395872,70,13,40,2393881
1,1946524,66,13,30,1945502
0,15368259,129,13,19,15366826
0,14309948,123,13,36,14308893
0,4686426,76,13,22,4684330
1,7223642,27,1,1,7222040
0,10863636,109,13,37,10862464
0,13110183,49,1,2,13108690
0,1537359,16,1,6,1535937
1,6917763,93,13,20,6916226
1,14082326,120,13,19,14081394
0,9633706,104,13,20,9632528
1,5758988,24,1,0,5757861
1,81654,9,6,18,80512
1,23853903,180,13,37,23852545
1,16962662,144,13,19,16961430
1,174089,4,2,33,167799
1,3888303,19,1,42,3887290
1,12055523,115,13,20,12054483
1,99081,2,2,33,91365
1,7438734,97,13,19,7437391
0,4822884,23,1,17,4821965
0,15575248,131,13,19,15573908
0,13113318,50,1,9,13110727
1,9950434,107,13,20,9949362
1,8353309,100,13,23,8351207
1,21338975,167,13,23,21337707
1,16290323,139,13,39,16287284
1,8749,187,12,23,7319
1,24325727,183,13,19,24324600
1,14737741,52,1,14,14736827
0,8123260,35,1,29,8119900
0,22034406,172,13,20,22033199
0,7470439,31,1,0,7468958
1,8082833,98,13,24,8078484
1,1555909,17,1,7,1553879
0,18805214,151,13,20,18803756
0,16044124,134,13,37,16042352
1,1377494,64,13,42,1376007
1,7409936,30,1,5,7408131
1,19092299,154,13,19,19091385
0,8477276,37,1,16,8475756
1,3748838,73,13,19,3747495
1,16306157,140,13,20,16305157
1,7726763,34,1,42,7725846
0,12245091,116,13,20,12243976
0,20537413,161,13,19,20536571
0,3991758,6,4,2,3988690
0,5564839,83,13,38,5563799
1,11526257,43,1,8,11525184
1,9713721,105,13,20,9711766
0,21494170,168,13,19,21492995
0,16917457,142,13,38,16914834
0,22370663,173,13,38,22368995
1,9818594,39,1,0,9817575
1,15205645,128,13,41,15204587
0,1190069,63,13,38,1189272
1,6206204,25,1,43,6205003
0,196430,5,2,33,190759
1,6273200,87,13,20,6272185
0,3320883,71,13,23,3319447
1,1394797,65,13,20,1393953
0,20921047,165,13,38,20919837
0,23094018,178,13,20,23092635
1,2196289,69,13,31,2194207
1,5133342,7,5,33,5130638
0,1681418,12,8,20,1679283
0,13085487,48,1,13,13081270
0,19533804,158,13,21,19532201
0,9534947,103,13,26,9531795
1,1115867,10,9,20,1114074
1,15572469,130,13,20,15571309
1,157156,55,13,19,156131
0,20629260,162,13,19,20624929
0,9897110,106,13,21,9895189
0,20644984,164,13,20,20643740
0,21910490,171,13,38,21909174
1,13184258,51,1,29,13181388
1,11528056,44,1,0,11526539
1,5654798,85,13,21,5652840
1,10166666,40,1,3,10162488
1,18902845,152,13,20,18901746
1,16194865,137,13,37,16193285
1,19068634,153,13,19,19067516
1,17510816,149,13,19,17509830
1,24166126,181,13,19,24164795
1,20643501,163,13,24,20641411
1,15718387,133,13,37,15717122
0,12991286,47,1,29,12990102
1,9281160,38,1,29,9279771
0,2148612,68,13,19,2147431
0,1535813,15,1,42,1533903
1,12080076,46,1,4,12076498
0,20186152,160,13,19,20185019
1,14784791,127,13,37,14783577
1,23555821,179,13,19,23554982
0,17302256,147,13,30,17300595
0,17931183,150,13,20,17930112
1,8501731,101,13,20,8500823
0,7252507,28,1,15,7251456
0,14313028,124,13,36,14311819
1,22703905,176,13,21,22702368
1,690524,0,0,18,690027
1,10473550,42,1,2,10471814
0,13564907,118,13,20,13563621
1,9395484,102,13,19,9394522
1,13800591,119,13,27,13799374
1,5418484,81,13,32,5417666
1,4787700,77,13,19,4786735
1,6835055,92,13,20,6834118
1,1983400,67,13,30,1981871
0,19933346,159,13,38,19929547
0,578294,57,13,37,576495
1,21500635,169,13,37,21499448
0,21207146,166,13,19,21206232
0,7436601,96,13,28,7431780
1,24417944,184,13,37,24416316
1,990467,14,1,13,986793
1,17430624,148,13,35,17429500
0,39504,54,13,20,38457
0,5631591,84,13,23,5630353
0,1988897,13,8,20,1987326
0,3668916,72,13,44,3665455
1,16629275,141,13,19,16628019
1,5310760,80,13,19,5309435
