StrandOrientation,GenomicEndPosition,GeneDbId,ChromosomeLocation,EncodedProtein,GenomicStartPosition
0,12460992,118,12,37,12457699
1,21664027,171,12,36,21662360
1,14716347,127,12,39,14714348
0,24261916,183,12,20,24259394
1,16959828,144,12,36,16958119
0,22507853,176,12,21,22506750
1,5808507,87,12,18,5806811
0,4686426,76,12,20,4684330
1,19111241,157,12,36,19109871
0,578294,57,12,36,576495
1,7409936,29,1,5,7408131
0,5564839,83,12,37,5563799
0,16126477,137,12,18,16125630
0,16125431,136,12,17,16124496
1,6496823,89,12,22,6495699
1,22866651,178,12,37,22865183
0,517377,186,10,21,516034
0,22420594,175,12,36,22418891
0,6623857,90,12,18,6622859
0,404271,187,11,18,403456
0,901193,59,12,21,900303
1,4478317,21,1,41,4476602
0,6731177,91,12,24,6730012
0,8345450,100,12,17,8343849
0,1190069,63,12,37,1189272
0,166610,3,2,32,159343
1,12080076,45,1,4,12076498
1,7308392,96,12,21,7307190
0,11814846,114,12,19,11812601
0,14246569,122,12,36,14244689
1,15526762,53,1,5,15525344
1,10367781,109,12,36,10366297
1,19353997,158,12,17,19353143
1,11228364,112,12,18,11227465
0,4821949,22,1,3,4818629
1,802447,11,7,17,797690
0,6404545,26,1,2,6402818
1,3890743,20,1,5,3888761
1,7726763,33,1,41,7725846
0,4347332,75,12,30,4345470
1,7085743,95,12,17,7084628
0,14417657,126,12,17,14416290
1,10473550,41,1,2,10471814
1,17169188,146,12,36,17167599
1,17204565,147,12,36,17202847
1,954065,60,12,23,950709
1,7536063,32,1,42,7534078
1,5310760,80,12,17,5309435
1,11930294,115,12,36,11928846
1,1163943,62,12,18,1162260
0,11141122,111,12,18,11139777
0,3552202,18,1,11,3549812
1,14297622,123,12,36,14294152
1,16271105,139,12,33,16270171
1,19098062,156,12,17,19092804
1,1488889,8,3,16,1488146
1,720767,1,0,16,720270
0,1138017,61,12,18,1136944
0,8477276,36,1,14,8475756
1,4986283,79,12,18,4984864
0,6830368,92,12,17,6828929
0,11411332,113,12,18,11410333
1,15699505,133,12,17,15698438
0,3320883,71,12,21,3319447
1,1981630,67,12,29,1980224
0,15368259,130,12,17,15366826
0,14309948,124,12,35,14308893
1,4787700,77,12,17,4786735
1,7223642,27,1,1,7222040
0,10863636,110,12,36,10862464
0,13113318,49,1,9,13110727
0,1537359,16,1,6,1535937
1,6917763,94,12,18,6916226
1,14082326,121,12,17,14081394
0,9633706,105,12,18,9632528
1,5758988,24,1,0,5757861
1,81654,9,6,16,80512
1,23853903,181,12,36,23852545
1,16962662,145,12,17,16961430
1,174089,4,2,32,167799
1,3888303,19,1,41,3887290
1,12055523,116,12,18,12054483
1,99081,2,2,32,91365
1,7438734,98,12,17,7437391
0,4822884,23,1,15,4821965
0,15575248,132,12,17,15573908
1,13184258,50,1,28,13181388
1,9950434,108,12,18,9949362
1,8353309,101,12,21,8351207
1,21338975,168,12,21,21337707
1,16290323,140,12,38,16287284
0,39504,54,12,18,38457
1,24325727,184,12,17,24324600
0,15525233,52,1,0,15523344
0,8224507,35,1,19,8221779
0,22034406,173,12,18,22033199
0,7485958,31,1,10,7483058
1,8082833,99,12,23,8078484
1,1555909,17,1,7,1553879
0,18805214,152,12,18,18803756
0,16044124,135,12,36,16042352
0,1384983,65,12,18,1383800
0,7470439,30,1,0,7468958
1,19092299,155,12,17,19091385
1,9281160,37,1,28,9279771
1,4054701,74,12,21,4053424
1,16306157,141,12,18,16305157
0,8123260,34,1,28,8119900
0,12245091,117,12,18,12243976
0,20537413,162,12,17,20536571
0,3991758,6,4,2,3988690
0,5631591,84,12,21,5630353
1,11528056,43,1,0,11526539
1,9713721,106,12,18,9711766
0,21494170,169,12,17,21492995
