Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
1,0,1160395,347,3,1,1159709,0
1,0,18293,404,3,1,17649,0
0,0,7200,134,4,0,6637,0
0,0,55025,359,4,0,54438,0
0,0,1464254,88,4,0,1463646,0
0,0,494817,202,4,0,494134,1
0,0,2016292,329,4,0,2015537,0
0,0,9057,388,4,0,8128,0
0,0,4555,132,4,0,3962,0
0,0,683253,98,4,0,682675,0
1,0,844685,368,3,1,844098,0
1,0,112468,401,1,1,111971,0
0,0,4870,340,4,0,4217,0
0,0,2682,263,4,0,1954,0
0,0,163066,7,4,0,162521,1
0,0,1955674,332,4,0,1955171,0
0,0,756041,99,4,0,755460,1
0,0,1368555,309,4,0,1367977,1
0,0,1487064,92,4,0,1486369,1
1,0,44362,300,3,1,43754,1
0,0,265007,257,4,0,264339,0
0,0,128464,416,2,0,128075,0
0,0,1921473,108,4,0,1920904,1
0,0,458814,352,4,0,458125,0
0,0,316703,371,4,0,316059,0
0,0,548591,225,2,0,548190,0
0,0,1604078,116,4,0,1603452,0
0,0,85370,61,4,0,84681,0
0,0,17407,260,4,0,16820,0
0,0,1033564,297,4,0,1032920,0
1,0,1738968,27,3,1,1738420,0
0,0,6677,379,4,0,6162,1
0,0,278070,221,4,0,277438,1
0,0,1731530,336,4,0,1730895,0
0,0,477620,205,4,0,476973,0
0,0,567879,381,2,0,567310,0
0,0,10321,126,4,0,9749,0
0,0,1686468,112,4,0,1685914,0
0,0,7629,229,4,0,6979,0
0,0,1645,356,4,0,1004,0
0,0,376974,55,4,0,376393,1
1,0,807869,24,3,1,807330,1
0,0,426818,136,4,0,426186,1
0,0,39701,52,4,0,39237,1
0,0,307213,258,4,0,306524,0
0,0,782,46,4,0,129,1
0,0,1132814,317,4,0,1132212,1
0,0,36247,72,4,0,35642,1
0,0,170789,68,4,0,170208,1
0,0,717564,269,4,0,716974,1
0,0,1637787,114,4,0,1637185,1
0,0,487905,169,4,0,487330,0
1,0,628319,183,3,1,627354,1
0,0,1932015,107,4,0,1931470,0
0,0,2027,39,4,0,1341,0
0,0,1743790,335,4,0,1743146,0
0,0,515441,206,4,0,514617,0
