GeneSubclass,GeneDescription,OrthologId,GenomicEndPosition,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,0,23,65081,87,0,23,62292,1
1,0,183,4679,185,1,133,1893,0
1,0,13,308397,303,1,57,305485,0
1,0,69,847503,312,1,38,845194,0
0,0,136,502030,132,0,0,499289,0
1,0,95,79193,80,1,3,76656,1
1,0,139,2449,0,1,151,11,0
0,0,138,7010,291,0,147,4233,1
1,0,127,491613,135,1,39,488857,1
1,0,26,21822,317,1,13,18838,1
1,0,83,3014,97,1,65,228,1
1,0,92,639965,257,1,22,637563,0
1,0,90,570499,251,1,25,567725,0
1,0,156,7457,214,1,39,4911,1
1,0,91,6673,232,1,138,3815,0
0,0,104,716265,36,0,28,713932,0
1,0,82,29749,162,1,27,26915,1
1,0,142,1133115,271,1,51,1130755,1
1,0,134,60671,177,1,45,58218,1
1,0,151,2940,212,1,135,73,1
0,0,19,8383,219,0,136,7271,0
0,0,181,17724,293,0,58,14986,1
1,0,171,13435,273,1,143,10745,0
0,0,160,359419,74,0,15,357746,0
1,0,4,510295,142,1,25,507728,1
1,0,90,628364,102,1,25,625434,0
1,0,27,504140,268,1,2,500865,0
1,0,26,636457,213,1,13,635763,0
1,0,1,848494,163,1,33,847454,0
1,0,165,492362,28,1,1,490971,0
1,0,46,236472,223,1,3,233641,0
0,0,93,782600,206,0,29,781197,0
1,0,107,7188,126,1,120,4384,0
1,0,108,8831,112,1,118,6234,1
1,0,90,654938,252,1,25,652152,0
1,0,105,984,305,1,150,31,0
1,0,104,1094,24,1,74,159,1
0,0,131,24358,274,0,143,21590,0
0,0,89,1225,53,0,78,1,1
1,0,121,628999,144,1,12,626735,0
0,0,111,36463,117,0,16,33455,1
1,0,132,28068,65,1,66,25282,1
1,0,67,3158,254,1,92,408,1
1,0,130,2351295,265,1,57,2348338,0
0,0,29,9939,57,0,101,8926,0
1,0,75,10214,241,1,24,7875,1
1,0,14,9052,246,1,141,7148,1
0,0,45,811998,313,0,38,810235,0
1,0,110,4342,85,1,30,1385,1
1,0,86,3790,210,1,88,806,0
1,0,13,1721524,41,1,57,1718519,1
0,0,152,2010044,11,0,55,2009265,0
0,0,141,4119,43,0,32,967,1
1,0,13,1008775,190,1,57,1006142,0
0,0,163,66235,247,0,39,64469,1
1,0,35,556405,239,1,26,554000,1
1,0,167,8756,146,1,44,5919,1
0,0,60,4216,134,0,46,1460,1
1,0,172,430057,187,1,31,427406,0
0,0,153,1137976,138,0,56,1133828,0
0,0,84,1204,128,0,86,2,0
0,0,106,8397,16,0,9,5578,1
0,0,135,779582,205,0,29,776703,0
1,0,144,976,21,1,73,2,1
1,0,21,690828,275,1,35,688522,0
1,0,6,3258,40,1,76,436,0
1,0,178,6116,58,1,102,4224,1
0,0,12,606712,237,0,12,603989,0
1,0,8,688837,90,1,24,685982,0
1,0,114,9121,288,1,37,6152,1
1,0,127,33240,55,1,39,30436,1
0,0,54,490870,47,0,1,489493,0
1,0,168,4777,19,1,69,2027,1
0,0,76,26225,207,0,64,24447,1
1,0,73,783456,83,1,32,780772,0
1,0,159,15107,263,1,2,12237,1
0,0,16,169188,307,0,43,166855,1
1,0,35,683526,258,1,22,681076,0
1,0,11,63873,309,1,16,60922,1
0,0,60,1185502,70,0,46,1183688,0
1,0,13,644271,100,1,57,641242,1
1,0,135,16574,222,1,137,14088,1
0,0,154,3713,284,0,96,2106,0
1,0,119,59561,141,1,49,57681,1
0,0,2,3597,234,0,139,1834,0
1,0,101,5794,137,1,122,3014,0
1,0,91,665511,169,1,17,663544,0
1,0,164,41742,308,1,43,39727,1
1,0,21,829858,121,1,35,827087,0
0,0,24,794113,242,0,31,793295,0
0,0,79,169312,67,0,54,166550,0
1,0,74,471708,199,1,19,469507,0
1,0,77,144749,119,1,14,141924,1
1,0,35,625252,229,1,26,622190,0
1,0,74,582823,22,1,19,581135,0
0,0,62,702008,181,0,30,700188,0
1,0,28,9553,115,1,84,7784,0
1,0,142,648458,160,1,20,645735,0
0,0,152,1917064,174,0,55,1914173,1
1,0,77,122539,191,1,14,120197,1
1,0,105,71114,196,1,4,69705,1
0,0,117,103187,322,0,9,101616,0
1,0,172,411506,59,1,31,408474,0
0,0,116,594892,227,0,26,591674,0
1,0,85,2350211,167,1,58,2347587,0
1,0,133,912033,75,1,39,909235,0
1,0,77,25743,231,1,14,24748,1
1,0,112,1182,94,1,114,1,1
0,0,59,4231,136,0,50,1391,1
0,0,152,14595,66,0,66,12280,1
1,0,47,9360,255,1,93,6577,0
1,0,10,14953,302,1,52,12005,1
1,0,44,88710,161,1,27,87850,1
1,0,172,760085,243,1,31,757590,0
