GeneSubclass,GeneDescription,OrthologId,GenomicEndPosition,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
1,0,24,38827,226,1,25,35924,1
1,0,185,4679,184,1,135,1893,0
1,0,13,308397,304,1,59,305485,0
1,0,69,825842,311,1,40,823350,0
0,0,139,502030,133,0,0,499289,0
1,0,97,79193,80,1,3,76656,1
1,0,142,2449,0,1,153,11,0
0,0,141,7010,292,0,149,4233,1
0,0,166,66235,248,0,41,64469,1
1,0,26,21822,318,1,13,18838,1
1,0,83,3014,98,1,67,228,1
0,0,5,77950,18,0,24,74987,1
1,0,4,510295,143,1,27,507728,1
1,0,69,847503,312,1,40,845194,0
1,0,92,6673,233,1,140,3815,0
1,0,9,181574,315,1,30,180063,1
1,0,36,625252,229,1,28,622190,0
1,0,145,1133115,271,1,53,1130755,1
1,0,137,60671,177,1,47,58218,1
1,0,154,2940,213,1,137,73,1
0,0,19,8383,220,0,138,7271,0
0,0,184,17724,294,0,60,14986,1
1,0,174,13435,273,1,145,10745,0
0,0,163,86361,189,0,15,83876,1
1,0,4,225780,81,1,27,223900,0
1,0,4,578138,102,1,27,576360,0
1,0,27,504140,268,1,2,500865,0
1,0,26,636457,214,1,13,635763,0
1,0,1,847195,165,1,35,845501,0
1,0,168,492362,28,1,1,490971,0
1,0,46,236472,224,1,3,233641,0
0,0,138,779582,204,0,31,776703,0
1,0,110,7188,127,1,122,4384,0
1,0,111,8831,113,1,120,6234,1
0,0,51,650247,104,0,27,648161,0
1,0,108,984,306,1,152,31,0
1,0,107,1094,24,1,76,159,1
0,0,133,24358,274,0,145,21590,0
0,0,90,1225,54,0,80,1,1
1,0,124,628999,145,1,12,626735,0
1,0,11,13990,118,1,16,11384,1
1,0,134,28068,66,1,68,25282,1
1,0,67,3158,255,1,94,408,1
1,0,132,2351295,265,1,59,2348338,0
0,0,29,9939,58,0,103,8926,0
0,0,23,65081,87,0,25,62292,1
1,0,14,9052,247,1,143,7148,1
0,2,180,805554,314,0,40,804478,0
0,0,94,782600,205,0,31,781197,0
1,0,86,3790,211,1,90,806,0
1,0,13,1721524,42,1,59,1718519,1
