Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,13580138,100,100,2,13578653,1
0,10821920,84,84,2,10820229,0
0,6956172,54,54,2,6955569,0
1,8422594,65,65,3,8420066,0
0,9310089,75,75,2,9309220,0
0,10429864,78,78,5,10428729,1
0,3221626,27,27,5,3220494,0
0,2102690,15,15,11,2100093,1
0,20867515,143,143,1,20866022,0
0,12246771,92,92,2,12245099,0
0,2680808,19,19,16,2679423,0
0,1401408,10,10,1,1400647,0
0,20915947,144,144,1,20914958,1
0,9221896,74,74,5,9220525,1
0,6842720,53,53,5,6840311,1
1,6638754,52,52,4,6637225,0
0,15741,0,0,19,14537,1
0,18735986,133,133,15,18734498,0
0,5596435,43,43,2,5595701,0
0,9311660,76,76,1,9310200,0
1,17401205,123,123,13,17399302,1
0,23649517,155,155,2,23648664,1
0,6441604,51,51,2,6440312,0
0,12849258,96,96,2,12848426,1
1,20479303,141,141,6,20477665,0
0,2737107,20,20,5,2736457,1
0,981427,6,6,5,980799,0
1,3054496,24,24,4,3053067,0
0,2642795,18,18,16,2641014,0
1,3802426,31,31,13,3800009,0
0,14451589,108,108,1,14449142,0
0,23514561,154,154,1,23513521,1
0,15398283,113,113,1,15396637,1
0,4910787,39,39,5,4909550,1
0,12488986,93,93,2,12486822,1
0,18766836,134,134,2,18765534,1
0,7776355,59,59,1,7775540,1
0,3511059,30,30,5,3509868,0
0,18932862,135,135,2,18931125,0
0,8066513,61,61,5,8065765,0
0,13391838,99,99,5,13390600,1
0,2579015,16,16,11,2576673,0
0,14931220,111,111,1,14928527,0
0,11473094,86,86,1,11472201,1
0,13980614,105,105,2,13979644,1
0,34835,165,165,20,33567,1
0,7857029,60,60,1,7856016,1
0,4365383,34,34,24,4363173,1
0,13813861,101,101,1,13812362,0
0,11600931,88,88,2,11599714,1
1,8836279,70,70,7,8834339,1
0,8643477,66,66,5,8642485,1
0,14939089,112,112,5,14937890,0
