GeneSubclassType,ChromosomeId,GenomicStartPosition,OrthologId,GeneInstanceType,GeneLabel,EncodedProtein,StrandOrientation,GeneDbId,GenomicEndPosition
0,5,1703508,7,0,47,1,1,47,1705144
0,6,53133,2,0,48,1,0,48,54957
0,2,872511,0,0,41,1,1,41,874319
0,0,1260604,5,0,4,1,0,4,1261983
0,0,4416284,1,0,35,1,1,35,4418034
0,0,3964801,1,0,24,1,1,24,3965674
0,0,4144386,1,0,29,1,0,29,4145997
0,0,2952465,1,0,13,1,1,13,2953340
0,0,4707062,1,0,38,1,1,38,4707601
0,0,4015935,1,0,26,1,1,26,4017111
0,2,796885,0,0,40,1,1,40,798411
0,0,3936227,1,0,23,1,0,23,3937241
0,0,2394004,1,0,8,1,0,8,2395606
1,0,4339886,9,1,34,2,0,34,4341282
0,0,4232789,1,0,33,1,0,33,4234162
0,0,914965,1,0,2,1,0,2,917137
0,0,2770137,1,0,11,1,1,11,2771710
0,0,4059784,1,0,27,1,1,27,4060369
0,0,1454651,1,0,5,1,1,5,1456287
0,0,4599985,1,0,37,1,1,37,4600964
0,0,1103569,1,0,3,1,1,3,1105108
0,7,2095675,3,0,49,1,1,49,2097745
1,5,1698625,11,1,46,2,1,46,1700933
0,0,2507047,1,0,10,1,0,10,2508561
0,0,3526712,1,0,21,1,1,21,3528276
0,0,3495227,1,0,20,1,0,20,3496914
0,0,3269676,1,0,18,1,0,18,3271296
1,8,42551,8,1,51,2,0,51,44050
0,0,2313339,1,0,7,1,0,7,2315025
0,0,4014381,1,0,25,1,1,25,4015651
1,1,905684,10,1,39,2,1,39,907105
0,3,90714,6,0,42,1,0,42,92277
0,0,4157052,1,0,30,1,0,30,4158085
0,0,3886138,1,0,22,1,0,22,3887699
0,0,4539142,1,0,36,1,1,36,4541207
0,4,1032385,4,0,45,0,1,45,1033869
0,0,833885,1,0,0,1,0,0,835425
0,0,3141240,1,0,15,1,0,15,3142830
0,0,881349,1,0,1,1,0,1,883039
1,0,3325112,9,1,19,2,0,19,3326940
0,0,4187051,1,0,32,1,0,32,4188678
0,0,4117583,1,0,28,1,1,28,4119656
0,3,1498652,6,0,44,1,1,44,1500138
0,0,3159785,1,0,17,1,0,17,3161088
0,9,3113944,3,0,52,1,1,52,3115737
0,0,1908369,1,0,6,1,0,6,1909978
0,0,3143730,1,0,16,1,0,16,3143900
0,0,2851395,1,0,12,1,0,12,2852635
0,8,5803,7,0,50,1,0,50,7182
0,0,4173019,1,0,31,1,0,31,4175028
0,0,3044252,1,0,14,1,1,14,3044928
0,9,3117877,3,0,53,1,1,53,3119358
0,0,2493068,1,0,9,1,1,9,2494675
0,3,103073,6,0,43,1,0,43,105840
