Languages,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,Birthplace,UciRiderId,NativeName,WeightKg,Birthdate,OlympediaPeopleId,FirstName,RaceParticipation,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId
3,15,56672.0,22018.0,17,52940.0,168758.0,6,86735.0,6,,10,143136.0,17,6,74063.0,16639.0,183.0,0
6,4,19630.0,10023.0,3,28543.0,140233.0,3,54679.0,2,61.0,3,,3,6,22431.0,794.0,175.0,3
4,17,54848.0,20156.0,11,12312.0,132359.0,12,86812.0,2,64.0,7,,11,3,67163.0,15752.0,180.0,1
3,16,3083.0,3366.0,16,24074.0,140270.0,10,30329.0,2,63.0,2,132502.0,16,0,15181.0,568.0,175.0,5
2,6,16313.0,3333.0,5,134950.0,140752.0,9,44513.0,0,74.0,1,126409.0,5,6,18746.0,150.0,181.0,2
4,9,58116.0,22910.0,14,15237.0,170625.0,4,99713.0,5,78.0,11,142862.0,14,1,81488.0,27111.0,186.0,9
7,0,,24316.0,0,,181239.0,17,97280.0,7,67.0,12,146238.0,0,4,104872.0,37281.0,186.0,9
9,13,39842.0,12843.0,9,1311517.0,140292.0,15,67388.0,1,58.0,6,141955.0,9,0,57418.0,2276.0,166.0,7
3,11,30026.0,7147.0,13,140921.0,140611.0,8,57601.0,4,62.0,0,132499.0,13,6,32008.0,563.0,172.0,4
4,5,69332.0,25704.0,4,,181190.0,16,112353.0,2,73.0,14,,4,4,105160.0,37717.0,190.0,9
1,7,69190.0,25740.0,6,,196424.0,5,112082.0,2,,15,,6,4,115868.0,38195.0,175.0,9
6,14,71935.0,28298.0,1,,192457.0,1,98774.0,2,66.0,16,,1,4,114071.0,45987.0,176.0,9
9,12,92920.0,31654.0,7,20671.0,240140.0,0,415141.0,2,,17,,7,5,140379.0,114659.0,183.0,9
8,10,56041.0,20719.0,12,127549.0,174582.0,14,88889.0,3,65.0,4,135863.0,12,3,72449.0,18655.0,177.0,8
5,3,56436.0,20917.0,10,5649.0,156570.0,7,77380.0,2,78.0,8,,10,4,71706.0,9746.0,180.0,9
9,2,62573.0,23503.0,2,54522.0,181270.0,13,92264.0,2,63.0,13,141954.0,2,2,91205.0,27124.0,174.0,9
4,1,,22909.0,15,,163164.0,2,89412.0,2,,9,,15,4,84023.0,20105.0,,9
0,8,43388.0,14319.0,8,67673.0,140293.0,11,68367.0,2,63.0,5,,8,6,58588.0,2278.0,173.0,6
